,date,symbol,volume,start,stop,initial_imb,paired_imb,direction,open_price,spread_at_open,close_price,moc_close_price,close_status,spread_at_close,max_pnl_time,max_pnl_price,min_pnl_time,min_pnl_price,position_size,reverse_count,imbBeforeReversePct,imbAfterReversePct,deltaImbPct,delta_move,delta_move_pct,position_pnl
14,2020-11-20,BEKE,2534283,2020-11-20 15:59:14,2020-11-20 16:00:00,-372834,554278,Long,60.27,0.17999999999999972,60.79,60.8,moc,0.0,2020-11-20 15:59:25.576769,60.8,2020-11-20 15:59:14.572293,60.17,100.0,1,-14.711616658439487,5.906246461030595,20.617863119470083,0.529999999999994,0.8793761407001726,52.9999999999994
15,2020-11-20,BEN,4314745,2020-11-20 15:59:50,2020-11-20 16:00:00,-10162,217535,Long,20.57,0.010000000000001563,20.57,20.59,moc,0.0,2020-11-20 15:59:56.014116,20.6,2020-11-20 15:59:50.255717,20.57,572.0,3,-0.23551797383159376,1.149175675503419,1.3846936493350128,0.019999999999999574,0.09722897423431975,11.439999999999756
16,2020-11-20,BK,5548280,2020-11-20 15:59:14,2020-11-20 16:00:00,-2899,555041,Long,37.8,0.00999999999999801,37.87,37.88,moc,0.0,2020-11-20 15:59:55.911158,37.88,2020-11-20 15:59:14.598184,37.79,1322.751322751323,1,-0.05225042715940796,0.9582248913176696,1.0104753184770776,0.0800000000000054,0.21164021164022595,105.82010582011299
17,2020-11-20,BKR,8066351,2020-11-20 15:59:50,2020-11-20 16:00:00,-13311,549948,Long,18.18,0.00999999999999801,18.2,18.21,moc,0.0,2020-11-20 15:59:56.175958,18.22,2020-11-20 15:59:50.117705,18.17,2750.27502750275,7,-0.16501885425020557,1.6871197397683289,1.8521385940185344,0.030000000000001137,0.16501650165017126,82.50825082508563
18,2020-11-20,BRK.B,4901750,2020-11-20 15:55:00,2020-11-20 15:56:00,-59065,645942,Long,227.21,0.0800000000000125,227.1,,market,0.060000000000002274,2020-11-20 15:55:16.547023,227.19,2020-11-20 15:55:39.259253,227.09,100.0,1,-1.204977814046004,0.19454276533890957,1.3995205793849135,-0.11000000000001364,-0.04841336208794227,-11.000000000001364
19,2020-11-20,BRX,3390245,2020-11-20 15:57:56,2020-11-20 15:58:56,-4158,213231,Long,16.67,0.010000000000001563,16.66,,market,0.010000000000001563,2020-11-20 15:57:56.250256,16.67,2020-11-20 15:57:56.248549,16.66,2999.4001199760046,4,-0.12264600345992693,1.095555041007361,1.2182010444672877,-0.010000000000001563,-0.059988002399529464,-29.994001199764735
20,2020-11-20,BWA,2898581,2020-11-20 15:55:00,2020-11-20 15:56:00,43241,162672,Short,37.49,0.01999999999999602,37.46,,market,0.00999999999999801,2020-11-20 15:55:05.024592,37.46,2020-11-20 15:55:00.586520,37.51,100.0,1,1.4917989181602997,-0.04712650776362641,-1.5389254259239262,0.030000000000001137,0.08002133902374269,3.0000000000001137
21,2020-11-20,CAG,2489607,2020-11-20 15:56:33,2020-11-20 15:57:33,-17242,483941,Long,35.86,0.00999999999999801,35.86,,market,0.00999999999999801,2020-11-20 15:56:45.979977,35.88,2020-11-20 15:56:33.594244,35.85,1321.0,1,-0.6925591067184499,0.7373854588294457,1.4299445655478955,0.0,0.0,0.0
22,2020-11-20,CAH,2116865,2020-11-20 15:59:50,2020-11-20 16:00:00,-3699,232584,Long,51.81,0.020000000000003126,51.84,51.86,moc,0.0,2020-11-20 15:59:57.105825,51.86,2020-11-20 15:59:50.262193,51.79,700.0,3,-0.1747395322800462,1.8990818970505914,2.0738214293306374,0.04999999999999716,0.09650646593321204,34.99999999999801
23,2020-11-20,CB,2137712,2020-11-20 15:59:15,2020-11-20 16:00:00,15193,359570,Short,148.65,0.15000000000000568,148.93,148.88,moc,0.0,2020-11-20 15:59:15.258145,148.7,2020-11-20 15:59:56.496058,149.0,100.0,1,0.7107131362877693,-0.5069906516874116,-1.2177037879751809,-0.22999999999998977,-0.15472586612848285,-22.999999999998977
