,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-07-09,0 days 15:57:16.608148,181691,10.57,10.56,9013,16061,-1007,2578
1,AA,2020-07-09,0 days 15:57:17.610489,178698,10.57,10.56,9555,15313,2193,-1007
2,AA,2020-07-09,0 days 15:57:41.669137,179127,10.57,10.56,8677,11487,1764,-2036
3,AA,2020-07-09,0 days 15:57:48.685832,181691,10.57,10.56,8832,12095,-736,964
4,AA,2020-07-09,0 days 15:57:52.695473,180727,10.57,10.56,7621,11841,364,-936
5,AA,2020-07-09,0 days 15:59:32.940347,252877,10.55,10.54,20488,7499,1011,-4289
6,ABB,2020-07-09,0 days 15:57:36.490112,21920,24.24,24.23,12825,9922,-20,80
7,ABB,2020-07-09,0 days 15:59:20.745885,22611,24.23,24.22,12495,12654,-329,692
8,ABBV,2020-07-09,0 days 15:55:00.184539,434924,97.86,97.85,300,795,2209,-75807
9,ABBV,2020-07-09,0 days 15:55:41.284398,438579,97.85,97.84,400,500,118,-1003
10,ABBV,2020-07-09,0 days 15:55:44.291353,438776,97.85,97.84,337,1620,-2031,118
11,ABBV,2020-07-09,0 days 15:57:15.509958,449610,97.85,97.83,500,909,807,-73
12,ABBV,2020-07-09,0 days 15:57:16.512374,448469,97.88,97.87,1018,100,-1141,807
13,ABBV,2020-07-09,0 days 15:57:40.570389,456669,97.88,97.87,201,900,-1326,474
14,ABBV,2020-07-09,0 days 15:57:41.572876,455997,97.88,97.87,798,700,672,-1326
15,ABBV,2020-07-09,0 days 15:57:45.582956,456669,97.9,97.89,804,100,-1928,672
16,ABBV,2020-07-09,0 days 15:57:46.584978,455997,97.9,97.89,1009,110,672,-1928
17,ABBV,2020-07-09,0 days 15:57:48.589582,456669,97.9,97.89,551,898,-1328,672
18,ABBV,2020-07-09,0 days 15:57:57.612044,458269,97.91,97.89,802,1286,-2053,1347
19,ABBV,2020-07-09,0 days 15:57:58.613943,457422,97.9,97.89,1191,710,120,-2053
20,ABBV,2020-07-09,0 days 15:57:59.616707,458269,97.89,97.88,748,607,-953,120
21,ABBV,2020-07-09,0 days 15:58:00.620055,457422,97.89,97.88,606,500,847,-953
22,ABBV,2020-07-09,0 days 15:58:07.637327,459169,97.89,97.88,200,800,-1620,6080
23,ABBV,2020-07-09,0 days 15:58:08.639612,458289,97.88,97.87,100,1009,880,-1620
24,ABBV,2020-07-09,0 days 15:58:26.683539,457604,97.92,97.91,500,700,-300,427
25,ABBV,2020-07-09,0 days 15:58:27.685848,457204,97.91,97.9,102,1200,400,-300
26,ABBV,2020-07-09,0 days 15:59:38.859398,462020,98.02,98.0,200,1831,-43818,1239
27,ABBV,2020-07-09,0 days 15:59:42.869471,465698,97.98,97.96,700,2052,-46222,46949
28,ABBV,2020-07-09,0 days 16:00:00.905175,482023,98.18,97.8,100,111,41384,-9281
29,ABEV,2020-07-09,0 days 15:55:00.078486,120416,2.79,2.78,429107,90046,-19627,1328
30,ABEV,2020-07-09,0 days 15:58:48.628976,146450,2.78,2.77,154195,579700,2949,-20398
31,ABR,2020-07-09,0 days 15:58:44.765538,87142,7.57,7.56,2205,2315,-559,1965
32,ABR,2020-07-09,0 days 15:58:45.767708,81901,7.57,7.56,1995,2421,4941,-559
33,ABT,2020-07-09,0 days 15:55:00.078324,298285,93.65,93.64,201,805,87380,-25601
34,ABT,2020-07-09,0 days 15:55:14.111355,385415,93.61,93.6,200,300,-11795,87305
35,ABT,2020-07-09,0 days 15:55:15.113541,374776,93.57,93.54,400,300,10639,-11795
36,ABT,2020-07-09,0 days 15:55:40.176456,386003,93.44,93.39,668,200,-8389,12242
37,ABT,2020-07-09,0 days 15:55:41.177555,379292,93.42,93.4,300,100,6711,-8389
38,ABT,2020-07-09,0 days 15:57:48.482322,390313,93.53,93.51,400,746,6540,-1679
