,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-08-27,0 days 15:56:49.511693,253774,14.85,14.84,17025,12853,-525,1175
1,AA,2020-08-27,0 days 15:57:01.540642,248467,14.86,14.85,27206,7777,5307,-793
2,AA,2020-08-27,0 days 15:57:36.625394,253775,14.86,14.85,28506,7389,-892,1477
3,AA,2020-08-27,0 days 15:57:37.627744,249078,14.85,14.84,18790,9917,4697,-892
4,AA,2020-08-27,0 days 15:58:07.701761,253805,14.85,14.84,1821,23707,-1403,1796
5,AA,2020-08-27,0 days 15:58:08.703991,250108,14.85,14.84,1298,22394,3666,-1403
6,AA,2020-08-27,0 days 15:59:41.919359,289511,14.85,14.84,12810,17265,-10600,39930
7,AA,2020-08-27,0 days 15:59:42.921244,287954,14.85,14.84,11793,16496,1526,-10600
8,AA,2020-08-27,0 days 15:59:44.927559,289511,14.86,14.85,28934,18141,-9213,1526
9,AA,2020-08-27,0 days 15:59:46.932028,287924,14.86,14.85,28623,13019,2902,-4213
10,AA,2020-08-27,0 days 15:59:47.933811,290857,14.86,14.85,39116,14002,-667,2902
11,AA,2020-08-27,0 days 15:59:48.937293,289424,14.86,14.85,38599,12702,1402,-667
12,ABBV,2020-08-27,0 days 15:59:35.825783,470360,94.35,94.34,1932,698,20,-280
13,ABBV,2020-08-27,0 days 15:59:36.827825,464680,94.37,94.36,300,1764,-6151,20
14,ABBV,2020-08-27,0 days 15:59:45.850716,470831,94.35,94.34,999,936,1225,-4509
15,ABBV,2020-08-27,0 days 15:59:48.857317,469595,94.34,94.33,2300,400,-765,1696
16,ABEV,2020-08-27,0 days 15:55:00.056241,44754,2.3,2.29,902003,577967,-23147,10292
17,ABEV,2020-08-27,0 days 15:57:20.386578,67901,2.3,2.29,963098,615548,5199,-10534
18,ABT,2020-08-27,0 days 15:59:40.729421,651249,111.32,111.31,631,696,1762,-487
19,ABT,2020-08-27,0 days 15:59:41.729545,652042,111.36,111.35,935,249,-5070,1762
20,ABT,2020-08-27,0 days 15:59:43.733751,652296,111.33,111.32,1399,436,639,-4821
21,ABT,2020-08-27,0 days 15:59:44.737028,655517,111.37,111.36,1300,245,-1595,639
22,ABT,2020-08-27,0 days 15:59:45.739307,658612,111.37,111.34,1596,646,433,-1595
23,ABT,2020-08-27,0 days 15:59:46.740886,652694,111.36,111.34,900,445,-502,433
24,AEG,2020-08-27,0 days 15:59:36.764601,18939,2.74,2.73,285142,450770,13416,-15884
25,AEG,2020-08-27,0 days 15:59:37.767084,18055,2.74,2.73,267642,451370,-884,13416
26,AEO,2020-08-27,0 days 15:59:06.767637,175241,12.06,12.05,9456,13800,16599,-1905
27,AEO,2020-08-27,0 days 15:59:22.804502,244840,12.06,12.05,12515,19088,-4013,5495
28,AEO,2020-08-27,0 days 15:59:40.848507,258247,12.04,12.03,34904,12511,4695,-4005
29,AEO,2020-08-27,0 days 15:59:41.849408,255723,12.04,12.03,25112,16134,-2524,4695
30,AEO,2020-08-27,0 days 15:59:45.860076,254459,12.04,12.03,28410,14079,6622,-7445
31,AEO,2020-08-27,0 days 15:59:46.861989,251612,12.04,12.03,25162,22681,-5173,6622
32,AEP,2020-08-27,0 days 15:55:04.056715,145425,78.33,78.3,1100,810,-112,3098
33,AEP,2020-08-27,0 days 15:55:24.106899,145537,78.33,78.32,2012,100,51,-112
34,AEP,2020-08-27,0 days 15:55:30.121810,145688,78.35,78.34,660,100,-7733,67
35,AEP,2020-08-27,0 days 15:55:31.124618,144021,78.35,78.34,100,1000,1467,-7733
36,AEP,2020-08-27,0 days 15:55:41.148062,145488,78.37,78.36,2447,275,-490,1437
37,AEP,2020-08-27,0 days 15:55:42.150313,143978,78.37,78.36,400,734,1510,-490
38,AEP,2020-08-27,0 days 15:58:04.492855,164644,78.35,78.34,396,215,-562,1638
39,AEP,2020-08-27,0 days 15:58:05.496270,162006,78.35,78.34,591,414,1587,-562
40,AEP,2020-08-27,0 days 15:59:05.642256,166007,78.43,78.41,1000,100,-313,858
41,AEP,2020-08-27,0 days 15:59:13.661174,167049,78.45,78.44,200,310,179,-715
42,AEP,2020-08-27,0 days 15:59:17.670138,169006,78.46,78.43,1738,1367,-1585,415
43,AEP,2020-08-27,0 days 15:59:35.714484,169666,78.38,78.37,200,700,1448,-152
44,AEP,2020-08-27,0 days 15:59:42.731393,171214,78.39,78.38,300,881,-752,548
