,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-10-13,0 days 15:56:09.235564,158750,12.72,12.71,2145,14011,-2874,826
1,AA,2020-10-13,0 days 15:56:10.235191,151824,12.72,12.71,1745,14011,6926,-2874
2,AA,2020-10-13,0 days 15:57:37.239825,155263,12.73,12.72,1681,13653,3517,-864
3,AA,2020-10-13,0 days 15:58:00.241607,146659,12.73,12.72,481,15710,-250,6558
4,AA,2020-10-13,0 days 15:58:05.240388,140409,12.73,12.72,5100,7500,4858,-250
5,AA,2020-10-13,0 days 15:59:39.242807,156088,12.73,12.72,4645,14253,-1049,4751
6,AA,2020-10-13,0 days 15:59:41.244264,156593,12.72,12.71,9906,4500,3916,-1049
7,ABBV,2020-10-13,0 days 15:56:15.236700,518819,87.93,87.92,400,1755,12418,-4371
8,ABBV,2020-10-13,0 days 15:56:16.236727,513804,87.94,87.93,2215,1224,-5015,12418
9,ABBV,2020-10-13,0 days 15:58:08.240664,521468,87.9,87.89,1700,1000,626,-3928
10,ABBV,2020-10-13,0 days 15:58:09.241291,518690,87.9,87.89,1200,1500,-12585,626
11,ABBV,2020-10-13,0 days 15:59:01.244380,522795,87.92,87.91,1827,1180,4897,-5430
12,ABBV,2020-10-13,0 days 15:59:02.244326,519322,87.92,87.91,910,1380,-3826,4897
13,ABBV,2020-10-13,0 days 15:59:09.243694,525641,87.91,87.9,2944,530,5444,-2615
14,ABBV,2020-10-13,0 days 15:59:10.244872,525133,87.91,87.9,900,1299,-508,5444
15,ABBV,2020-10-13,0 days 15:59:34.240973,530384,87.92,87.91,320,2799,4361,-4745
16,ABBV,2020-10-13,0 days 15:59:35.241203,526570,87.92,87.91,200,2399,-3814,4361
17,ABBV,2020-10-13,0 days 15:59:40.242480,519045,87.92,87.91,400,1575,-11339,6817
18,ABBV,2020-10-13,0 days 15:59:41.242696,530384,87.91,87.9,945,502,7717,-11339
19,ABBV,2020-10-13,0 days 15:59:42.242117,528801,87.91,87.9,100,1410,-1583,7717
