,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-11-09,0 days 15:55:22.350217,225322,15.76,15.75,4497,2831,-5801,4699
1,AA,2020-11-09,0 days 15:55:25.354811,222915,15.75,15.74,4763,2200,2407,-5801
2,AA,2020-11-09,0 days 15:55:26.351069,217922,15.75,15.74,3983,2007,-4993,2407
3,AA,2020-11-09,0 days 15:55:48.352588,231423,15.75,15.74,5101,2900,5000,-6500
4,AA,2020-11-09,0 days 15:55:49.351299,226023,15.75,15.74,1201,4272,-5400,5000
5,AA,2020-11-09,0 days 15:56:07.355000,218915,15.73,15.72,2138,2572,-4300,6800
6,AA,2020-11-09,0 days 15:58:29.361551,231322,15.76,15.75,2021,6342,-4583,2617
7,AA,2020-11-09,0 days 15:58:35.363822,227697,15.74,15.73,1221,3100,3625,-4583
8,AA,2020-11-09,0 days 15:58:38.359697,224422,15.73,15.72,1300,3821,-3275,225
9,AA,2020-11-09,0 days 15:58:52.358486,224722,15.72,15.71,2403,4681,-2975,1425
10,AA,2020-11-09,0 days 15:59:14.361960,234023,15.73,15.72,1559,6348,6259,-7361
11,AA,2020-11-09,0 days 15:59:15.361758,231882,15.73,15.72,759,6448,-2141,6259
12,AA,2020-11-09,0 days 15:59:21.360024,234023,15.73,15.72,3137,5907,19771,-2141
13,AA,2020-11-09,0 days 15:59:22.358982,233394,15.73,15.72,2495,7207,-629,19771
14,AA,2020-11-09,0 days 15:59:27.360229,234023,15.74,15.73,4400,1000,4471,-629
15,AA,2020-11-09,0 days 15:59:28.359135,233394,15.74,15.73,4700,700,-629,4471
16,ABBV,2020-11-09,0 days 15:55:00.105013,946711,95.65,95.61,650,204,-7476,121583
17,ABBV,2020-11-09,0 days 15:56:51.109800,1022420,95.42,95.39,500,201,268,-23242
18,ABBV,2020-11-09,0 days 15:57:06.110774,1015491,95.39,95.38,100,110,-9242,1138
19,ABBV,2020-11-09,0 days 15:59:46.114047,1215073,95.13,95.1,400,100,2911,-3075
20,ABBV,2020-11-09,0 days 15:59:48.114135,1212042,95.16,95.12,400,600,-14945,2902
21,ABBV,2020-11-09,0 days 15:59:58.112785,1222396,95.17,95.12,100,300,-17147,4145
22,ABEV,2020-11-09,0 days 15:55:17.276814,73402,2.66,2.65,361913,509800,22026,-12134
