,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-07-29,0 days 15:59:21.935012,130186,13.2,13.19,18493,6088,14156,-1721
1,AA,2020-07-29,0 days 15:59:22.937980,127942,13.2,13.19,15293,8983,-2244,14156
2,AA,2020-07-29,0 days 15:59:50.012608,130015,13.2,13.19,16272,7368,-1171,30929
3,ABBV,2020-07-29,0 days 15:59:20.793076,1194032,96.94,96.93,1941,692,9308,-21415
4,ABBV,2020-07-29,0 days 15:59:21.795312,1190240,96.95,96.94,499,244,-3792,9308
5,ABBV,2020-07-29,0 days 15:59:39.838776,1195398,96.98,96.97,2235,150,304,-18896
6,ABBV,2020-07-29,0 days 15:59:50.866642,1185720,96.97,96.96,200,1456,-9689,44811
7,ABT,2020-07-29,0 days 15:58:54.646303,348384,102.38,102.37,1215,465,-199,101
8,ABT,2020-07-29,0 days 15:58:57.653797,348283,102.38,102.37,500,900,101,-199
9,ABT,2020-07-29,0 days 15:59:02.665758,347123,102.4,102.39,900,1214,2011,-4289
10,ABT,2020-07-29,0 days 15:59:10.685955,349330,102.41,102.4,300,800,-1008,62
11,ABT,2020-07-29,0 days 15:59:32.729183,362500,102.47,102.46,500,1100,2,-2498
12,ABT,2020-07-29,0 days 15:59:36.739582,362502,102.48,102.46,1033,3645,-5777,2
13,ACI,2020-07-29,0 days 15:57:38.462208,66830,15.35,15.34,2400,1372,-2834,1566
14,ACI,2020-07-29,0 days 15:57:39.464472,65264,15.35,15.34,2401,3003,1566,-2834
15,ACI,2020-07-29,0 days 15:59:09.684351,76479,15.38,15.37,2279,200,-185,3215
16,ACI,2020-07-29,0 days 15:59:15.689401,74964,15.38,15.37,2846,500,1515,-985
17,ACI,2020-07-29,0 days 15:59:40.749650,76479,15.37,15.35,3038,1300,-585,1515
18,ACI,2020-07-29,0 days 15:59:48.767416,75564,15.37,15.35,4654,661,915,-585
19,ADM,2020-07-29,0 days 15:59:02.703411,323263,43.02,43.01,899,2122,721,-449
20,ADM,2020-07-29,0 days 15:59:15.733677,331207,43.04,43.03,1223,938,2147,-7349
21,ADM,2020-07-29,0 days 15:59:18.740423,333158,43.05,43.04,1500,400,-5476,1951
22,ADM,2020-07-29,0 days 15:59:36.784877,340054,43.05,43.04,537,3019,14104,-576
23,ADM,2020-07-29,0 days 15:59:37.787164,334958,43.05,43.04,900,3059,-5096,14104
24,AEM,2020-07-29,0 days 15:55:47.288116,42953,73.22,73.21,226,700,-807,162
25,AEM,2020-07-29,0 days 15:56:02.324732,42952,73.25,73.22,300,216,1,-207
26,AEM,2020-07-29,0 days 15:56:30.391761,42801,73.25,73.21,1121,1351,-151,1
27,AEM,2020-07-29,0 days 15:57:42.563463,44704,73.25,73.23,725,283,320,-80
28,AEM,2020-07-29,0 days 15:57:43.563291,44224,73.25,73.23,1045,412,-480,320
29,AEM,2020-07-29,0 days 15:57:51.582778,44704,73.25,73.24,345,300,602,-480
30,AEM,2020-07-29,0 days 15:57:55.592553,44704,73.25,73.22,741,300,102,-198
31,AEM,2020-07-29,0 days 15:57:56.594948,44406,73.25,73.22,741,300,-298,102
32,AEM,2020-07-29,0 days 15:58:09.627920,44904,73.3,73.25,800,2438,2,-450
33,AEM,2020-07-29,0 days 15:58:10.629758,44506,73.3,73.25,900,2343,-298,2
34,AEM,2020-07-29,0 days 15:59:39.838734,46851,73.37,73.33,2081,400,302,-198
35,AEM,2020-07-29,0 days 15:59:40.842244,46653,73.37,73.33,2281,400,-98,302
36,AEO,2020-07-29,0 days 15:55:00.205726,336942,10.64,10.63,16350,9944,-5081,176366
37,AEO,2020-07-29,0 days 15:55:35.290174,349462,10.63,10.62,20244,9267,2484,-1316
38,AEO,2020-07-29,0 days 15:55:36.292712,348546,10.63,10.62,19752,9279,-916,2484
39,AEO,2020-07-29,0 days 15:56:12.378460,357541,10.62,10.61,21480,12616,79,-1921
40,AEO,2020-07-29,0 days 15:56:36.436205,357620,10.62,10.61,24127,9325,-221,79
41,AEO,2020-07-29,0 days 15:57:34.576298,357841,10.61,10.6,23593,9226,3279,-33
42,AEO,2020-07-29,0 days 15:57:35.578538,356920,10.61,10.6,20938,9226,-733,3279
43,AEO,2020-07-29,0 days 15:58:11.666076,357846,10.62,10.61,18508,33895,9174,-7026
44,AEO,2020-07-29,0 days 15:58:12.669586,350820,10.62,10.61,20852,33474,-7026,9174
45,AEO,2020-07-29,0 days 15:58:15.676224,357846,10.62,10.61,28628,17581,7774,-7026
46,AEO,2020-07-29,0 days 15:58:16.679208,356020,10.62,10.61,27228,17681,-1826,7774
47,AEO,2020-07-29,0 days 15:59:06.800788,362746,10.63,10.62,24005,49683,9919,-576
48,AEP,2020-07-29,0 days 15:55:11.116120,188092,84.68,84.66,535,1478,-229,6034
49,AEP,2020-07-29,0 days 15:55:30.164387,148842,84.68,84.67,1217,1399,39574,-326
50,AEP,2020-07-29,0 days 15:59:40.749850,204351,84.84,84.83,2922,945,-89,519
51,AEP,2020-07-29,0 days 15:59:41.751850,204240,84.83,84.82,600,400,111,-89
52,AEP,2020-07-29,0 days 15:59:44.758726,204351,84.84,84.83,800,100,-1133,111
53,AEP,2020-07-29,0 days 15:59:46.764840,203376,84.82,84.8,847,100,1275,-3106
54,AEP,2020-07-29,0 days 15:59:48.767818,204651,84.81,84.79,1000,100,-1532,1275
55,AEP,2020-07-29,0 days 15:59:50.774014,196824,84.8,84.79,300,400,7827,-104
56,AER,2020-07-29,0 days 15:55:00.207671,36828,28.32,28.3,773,200,272,-1724
57,AER,2020-07-29,0 days 15:55:51.332454,38075,28.33,28.31,302,401,325,-75
58,AER,2020-07-29,0 days 15:58:25.703705,39487,28.41,28.4,500,880,943,-757
59,AER,2020-07-29,0 days 15:59:34.868650,40747,28.48,28.47,3300,650,-116,484
60,AER,2020-07-29,0 days 15:59:38.878845,40263,28.45,28.43,500,500,484,-116
