,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-03-19,0 days 15:57:03.470598,222222,65.78,65.69,430,370,11464,-1036
1,A,2020-03-19,0 days 15:57:04.472481,222057,65.75,65.69,20,371,-165,11464
2,A,2020-03-19,0 days 15:57:41.560604,223711,65.66,65.59,3471,300,448,-352
3,A,2020-03-19,0 days 15:57:42.563435,223559,65.66,65.59,3371,317,-152,448
4,A,2020-03-19,0 days 15:57:55.594305,223711,65.74,65.64,153,302,248,-252
5,A,2020-03-19,0 days 15:57:56.597038,223459,65.74,65.65,153,100,-552,248
6,A,2020-03-19,0 days 15:58:14.642266,224504,65.76,65.72,224,147,955,-345
7,A,2020-03-19,0 days 15:58:15.645266,224159,65.76,65.72,443,347,-345,955
8,A,2020-03-19,0 days 15:58:35.692589,225504,65.85,65.76,1611,3,655,-445
9,A,2020-03-19,0 days 15:58:56.743407,224211,65.8,65.75,100,28,1648,-452
10,A,2020-03-19,0 days 15:58:57.746766,223959,65.8,65.75,100,28,-252,1648
11,A,2020-03-19,0 days 15:59:04.764246,225295,65.79,65.75,300,1,422,-578
12,AA,2020-03-19,0 days 15:55:39.188161,193170,5.86,5.85,21627,16301,-2570,7330
13,AA,2020-03-19,0 days 15:55:40.190889,186640,5.86,5.85,22227,16301,6530,-2570
14,AAN,2020-03-19,0 days 15:55:19.158403,278191,18.47,18.44,200,20,3186,-2914
15,AAN,2020-03-19,0 days 15:55:59.255325,278530,18.29,18.27,457,200,3247,-2953
16,AAN,2020-03-19,0 days 15:56:00.257641,281777,18.28,18.27,503,200,-2162,3247
17,AAN,2020-03-19,0 days 15:56:01.258673,279039,18.26,18.22,463,400,2738,-2162
18,AAN,2020-03-19,0 days 15:56:10.281716,281980,18.22,18.19,200,600,-8458,3841
19,AAN,2020-03-19,0 days 15:56:11.282510,279325,18.2,18.17,300,300,2655,-8458
20,AAN,2020-03-19,0 days 15:56:51.379450,282980,18.29,18.26,300,251,-9276,16016
21,AAN,2020-03-19,0 days 15:56:52.382042,280156,18.29,18.26,400,251,2824,-9276
22,AAN,2020-03-19,0 days 15:58:01.551094,283301,18.08,18.05,10,186,-8480,4102
23,AAN,2020-03-19,0 days 15:58:02.553246,280481,18.11,18.05,602,86,2820,-8480
24,AAN,2020-03-19,0 days 15:58:25.609218,283179,18.14,18.08,885,200,-8902,3980
25,AAN,2020-03-19,0 days 15:58:26.611419,280381,18.14,18.08,1085,200,2798,-8902
26,AAN,2020-03-19,0 days 15:59:01.696575,283279,18.08,18.05,35,437,-8602,3980
27,AAN,2020-03-19,0 days 15:59:02.699151,281081,18.08,18.05,35,521,2198,-8602
28,AAN,2020-03-19,0 days 15:59:17.728611,289832,18.12,18.1,101,800,-9849,3585
29,AAN,2020-03-19,0 days 15:59:18.724313,287081,18.12,18.07,401,493,2751,-9849
30,AAN,2020-03-19,0 days 15:59:34.763599,289745,18.23,18.14,100,1100,-10051,2857
31,AAN,2020-03-19,0 days 15:59:35.765717,274414,18.23,18.16,500,948,15331,-10051
