,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-07-28,0 days 15:55:43.389101,110875,12.95,12.94,10507,12569,3276,-1324
1,AA,2020-07-28,0 days 15:55:44.390741,106151,12.95,12.94,11107,11869,-4724,3276
2,AA,2020-07-28,0 days 15:56:29.499888,110875,12.93,12.92,18046,6875,3776,-2424
3,AA,2020-07-28,0 days 15:56:30.501938,104651,12.93,12.92,16507,8655,-6224,3776
4,AA,2020-07-28,0 days 15:57:34.656121,110875,12.93,12.92,13350,7041,2676,-3524
5,AA,2020-07-28,0 days 15:57:35.658444,106851,12.93,12.92,12136,7654,-4024,2676
6,AA,2020-07-28,0 days 15:58:45.829610,119406,12.93,12.92,8941,11418,2763,-7242
7,AA,2020-07-28,0 days 15:58:46.831677,114869,12.93,12.92,6705,13218,-2937,2763
8,AA,2020-07-28,0 days 15:59:03.874016,120558,12.93,12.92,5408,12200,1160,-3872
9,AA,2020-07-28,0 days 15:59:15.902296,121718,12.93,12.92,7623,12764,-182,458
10,AA,2020-07-28,0 days 15:59:21.916788,122426,12.93,12.92,12626,10841,597,-708
11,AA,2020-07-28,0 days 15:59:37.957326,123023,12.94,12.93,13007,22897,-1907,597
12,AA,2020-07-28,0 days 15:59:40.964247,124930,12.94,12.93,16107,16738,153,-1707
13,AA,2020-07-28,0 days 15:59:48.983681,121848,12.92,12.91,21407,5695,-600,2700
14,ABBV,2020-07-28,0 days 15:55:24.230802,298867,96.59,96.58,900,839,355,-3735
15,ABBV,2020-07-28,0 days 15:55:36.259957,302754,96.6,96.59,476,3132,-713,3887
16,ABBV,2020-07-28,0 days 15:55:37.262181,302367,96.6,96.59,772,2452,387,-713
17,ABBV,2020-07-28,0 days 15:56:02.322646,303328,96.61,96.6,1225,1269,-2723,537
18,ABBV,2020-07-28,0 days 15:56:03.325312,301851,96.6,96.59,334,3172,1477,-2723
19,ABBV,2020-07-28,0 days 15:57:01.465139,302557,96.63,96.61,1110,1100,-3266,2928
20,ABBV,2020-07-28,0 days 15:57:09.484505,305023,96.61,96.6,1157,927,174,-1175
21,ABBV,2020-07-28,0 days 15:58:04.612551,320491,96.65,96.64,1917,450,-2091,3809
22,ABBV,2020-07-28,0 days 15:58:05.614968,319082,96.64,96.63,941,1209,1409,-2091
23,ABBV,2020-07-28,0 days 15:58:58.743402,328306,96.55,96.54,563,1006,-3746,10803
24,ABBV,2020-07-28,0 days 15:58:59.746157,326752,96.53,96.52,591,502,1554,-3746
25,ABBV,2020-07-28,0 days 15:59:25.810458,319859,96.69,96.67,700,1049,3849,-1251
26,ABBV,2020-07-28,0 days 15:59:31.826805,319845,96.76,96.74,600,900,-14964,683
27,ABBV,2020-07-28,0 days 15:59:47.863194,332858,96.76,96.74,500,900,25934,-908
28,ABBV,2020-07-28,0 days 15:59:48.866353,321750,96.8,96.78,525,1800,-11108,25934
29,ABT,2020-07-28,0 days 15:56:22.267614,263002,99.83,99.8,1122,866,7321,-2030
30,ABT,2020-07-28,0 days 15:56:23.269918,257323,99.86,99.84,624,300,-5679,7321
31,ABT,2020-07-28,0 days 15:57:14.393689,264030,99.83,99.82,100,380,3791,-5560
32,ABT,2020-07-28,0 days 15:57:15.395907,258321,99.85,99.83,200,380,-5709,3791
33,ABT,2020-07-28,0 days 15:59:16.689409,274052,99.94,99.93,565,721,8756,-8861
34,ABT,2020-07-28,0 days 15:59:17.691512,270308,99.94,99.93,952,809,-3744,8756
35,ABT,2020-07-28,0 days 15:59:20.699705,274052,99.92,99.89,1200,715,17576,-40
36,ABT,2020-07-28,0 days 15:59:21.702145,270837,99.92,99.91,1218,200,-3215,17576
37,ABT,2020-07-28,0 days 15:59:39.746998,304904,100.03,100.01,200,1540,7299,-13101
38,ABT,2020-07-28,0 days 15:59:40.748645,302890,100.05,100.04,1234,100,-1883,7299
39,ABT,2020-07-28,0 days 15:59:41.750791,301073,100.01,100.0,600,300,1917,-1883
40,ABT,2020-07-28,0 days 15:59:43.755587,290394,100.01,100.0,301,400,-874,11646
41,ABT,2020-07-28,0 days 15:59:45.760819,279421,99.98,99.97,910,100,14829,-474
42,ABT,2020-07-28,0 days 15:59:46.761881,278750,99.99,99.98,600,500,-3974,14829
43,ABT,2020-07-28,0 days 15:59:47.764063,282724,99.95,99.94,700,100,698,-3974
44,ABT,2020-07-28,0 days 15:59:48.767459,281922,99.98,99.96,913,100,-802,698
45,ACI,2020-07-28,0 days 15:57:22.411638,44969,15.05,15.04,1405,10634,-4786,696
46,ACI,2020-07-28,0 days 15:57:23.414229,42855,15.05,15.04,1405,10534,314,-4786
47,ACI,2020-07-28,0 days 15:59:04.660483,47777,15.05,15.03,8065,16367,2192,-2408
48,ACI,2020-07-28,0 days 15:59:07.667311,49969,15.06,15.05,1100,9140,-108,1692
49,ACI,2020-07-28,0 days 15:59:10.675008,46177,15.06,15.05,500,1800,3792,-2466
50,ACI,2020-07-28,0 days 15:59:16.689498,47611,15.07,15.06,600,600,-766,1592
51,ACI,2020-07-28,0 days 15:59:17.691555,46177,15.07,15.06,600,1900,1434,-766
52,ACI,2020-07-28,0 days 15:59:34.734023,44989,15.09,15.07,598,1629,262,-1694
53,ADM,2020-07-28,0 days 15:55:50.240882,194181,42.64,42.63,1391,3095,6939,-20083
54,ADM,2020-07-28,0 days 15:55:51.243718,191320,42.65,42.64,1935,1001,-2861,6939
55,ADM,2020-07-28,0 days 15:58:54.687128,212972,42.63,42.62,2180,1562,164,-244
56,ADM,2020-07-28,0 days 15:58:56.691761,213136,42.63,42.62,1600,4086,-454,164
57,ADM,2020-07-28,0 days 15:59:03.710961,213860,42.64,42.63,2072,2187,292,-2868
58,ADM,2020-07-28,0 days 15:59:07.719594,203784,42.65,42.64,2343,319,-10036,5826
59,ADM,2020-07-28,0 days 15:59:19.749464,223691,42.64,42.63,4234,841,631,-4307
60,ADM,2020-07-28,0 days 15:59:26.767449,224522,42.66,42.65,1131,3274,-609,791
61,AEM,2020-07-28,0 days 15:57:00.462523,28139,75.0,74.99,576,396,-612,288
62,AEM,2020-07-28,0 days 15:58:38.695002,28605,75.08,75.05,102,1350,673,-461
63,AEM,2020-07-28,0 days 15:58:39.697525,28078,75.09,75.07,806,200,-527,673
64,AEM,2020-07-28,0 days 15:58:54.733632,28605,75.1,75.09,200,300,271,-462
65,AEM,2020-07-28,0 days 15:58:55.736181,28276,75.1,75.09,200,300,-329,271
66,AEM,2020-07-28,0 days 15:59:02.754298,28605,75.1,75.09,400,400,301,-29
67,AEM,2020-07-28,0 days 15:59:24.807292,29425,75.15,75.14,211,973,-59,1041
68,AEM,2020-07-28,0 days 15:59:35.834407,29784,75.18,75.15,622,584,241,-259
69,AEO,2020-07-28,0 days 15:57:10.503336,259724,9.83,9.82,16770,10254,1465,-79
70,AEO,2020-07-28,0 days 15:57:26.542134,241489,9.83,9.82,18979,6811,-18245,1455
71,AEO,2020-07-28,0 days 15:59:06.788370,266334,9.82,9.81,17245,28575,906,-6211
72,AEO,2020-07-28,0 days 15:59:26.835931,267240,9.82,9.81,17535,31466,-845,352
73,AEO,2020-07-28,0 days 15:59:37.865008,268985,9.82,9.81,21349,51423,4125,-1745
74,AEO,2020-07-28,0 days 15:59:40.873469,264810,9.82,9.81,22788,48379,-75,26325
75,AEP,2020-07-28,0 days 15:56:29.284508,109307,84.93,84.92,1364,2600,-2218,14226
76,AES,2020-07-28,0 days 15:56:21.314770,234235,15.22,15.21,14077,10468,492,-1208
77,AES,2020-07-28,0 days 15:56:23.319669,223544,15.22,15.21,13177,10268,-10691,1309
