,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,ABBV,2020-10-09,0 days 15:59:46.257614,693448,87.7,87.69,1023,100,3420,-6375
1,ABBV,2020-10-09,0 days 15:59:48.257604,688168,87.71,87.69,500,300,-5280,3420
2,ABEV,2020-10-09,0 days 15:59:36.251711,153176,2.47,2.46,496439,553133,-89365,105035
3,ABEV,2020-10-09,0 days 15:59:37.251020,147841,2.47,2.46,496439,552933,5335,-89365
4,ABEV,2020-10-09,0 days 15:59:46.253535,153176,2.47,2.46,465157,530077,-33204,5335
5,ABEV,2020-10-09,0 days 15:59:47.252077,149780,2.47,2.46,477871,529452,3396,-33204
6,ABT,2020-10-09,0 days 15:55:00.238244,368938,109.37,109.34,300,1019,13423,-14562
7,ABT,2020-10-09,0 days 15:55:40.242497,385355,109.43,109.4,516,500,-760,6779
8,ABT,2020-10-09,0 days 15:55:41.241709,378164,109.39,109.36,316,200,8167,-760
9,ABT,2020-10-09,0 days 15:57:37.245406,386571,109.37,109.35,300,249,7267,-33
10,ABT,2020-10-09,0 days 15:58:07.247968,393665,109.36,109.34,109,100,-4107,6293
11,ABT,2020-10-09,0 days 15:58:08.247817,390634,109.38,109.35,100,200,3031,-4107
12,ACB,2020-10-09,0 days 15:59:02.244875,70671,5.03,5.02,20784,1271,-1182,2412
13,ACB,2020-10-09,0 days 15:59:05.245507,71853,5.03,5.02,17884,2187,1447,-1182
14,ACB,2020-10-09,0 days 15:59:07.245224,73300,5.03,5.02,18704,2087,-5756,1447
15,ACB,2020-10-09,0 days 15:59:08.245374,69856,5.03,5.02,18204,2087,3444,-5756
16,ADT,2020-10-09,0 days 15:59:05.250999,121723,8.37,8.36,9401,4183,12803,-1904
17,ADT,2020-10-09,0 days 15:59:06.252167,119226,8.37,8.36,9401,4183,-2497,12803
18,ADT,2020-10-09,0 days 15:59:37.251059,122016,8.37,8.36,15258,8863,3258,-504
19,ADT,2020-10-09,0 days 15:59:38.251561,120474,8.37,8.36,15258,8163,-1542,3258
20,ADT,2020-10-09,0 days 15:59:44.251881,122016,8.37,8.36,15018,7789,3758,-1542
21,AEG,2020-10-09,0 days 15:57:09.240533,6162,3.03,3.02,171715,58668,-1038,1762
22,AEO,2020-10-09,0 days 15:55:00.293033,165450,15.34,15.33,3842,2045,-5274,27177
23,AEO,2020-10-09,0 days 15:59:27.301189,178304,15.32,15.31,4049,4200,-4539,3861
24,AES,2020-10-09,0 days 15:55:54.266119,939534,19.3,19.29,7712,3667,-9782,760
25,AES,2020-10-09,0 days 15:57:03.266219,954204,19.3,19.29,7805,3566,14874,-12926
26,AES,2020-10-09,0 days 15:57:04.265389,944178,19.3,19.29,2120,5766,-10026,14874
27,AES,2020-10-09,0 days 15:58:02.267555,951670,19.28,19.27,6310,3656,-3620,3710
28,AES,2020-10-09,0 days 15:58:09.267855,960737,19.31,19.3,7600,3390,-1453,3647
29,AES,2020-10-09,0 days 15:59:15.270679,969037,19.31,19.3,3700,5700,196029,-5230
30,AFL,2020-10-09,0 days 15:59:07.244936,299969,38.07,38.06,642,2937,9301,-5986
31,AFL,2020-10-09,0 days 15:59:08.245172,297970,38.07,38.06,332,4633,-1999,9301
32,AFL,2020-10-09,0 days 15:59:12.245574,300615,38.07,38.06,498,4401,2641,-1881
33,AFL,2020-10-09,0 days 15:59:13.245647,299056,38.07,38.06,498,5011,-1559,2641
34,AFL,2020-10-09,0 days 15:59:14.245752,300615,38.07,38.06,1564,2435,8041,-1559
35,AG,2020-10-09,0 days 15:55:00.262801,69989,10.57,10.56,25928,13025,-38389,37264
36,AG,2020-10-09,0 days 15:59:01.270135,80091,10.57,10.56,26682,19043,841,-3725
37,AG,2020-10-09,0 days 15:59:04.269764,78332,10.57,10.56,13856,25793,-1759,841
38,AG,2020-10-09,0 days 15:59:05.270916,80091,10.57,10.56,9006,28823,1280,-1759
39,AG,2020-10-09,0 days 15:59:06.271706,81371,10.57,10.56,8737,28823,-14811,1280
40,AGS,2020-10-09,0 days 15:58:08.267468,7734,3.44,3.41,568,1849,411,-214
41,AGS,2020-10-09,0 days 15:59:46.268555,8389,3.44,3.41,568,1463,116,-44
42,AGS,2020-10-09,0 days 15:59:47.266713,8305,3.44,3.41,568,1463,-84,116
43,AIG,2020-10-09,0 days 15:59:15.270936,643229,29.92,29.91,985,5435,40532,-2595
44,AIG,2020-10-09,0 days 15:59:16.269961,626825,29.93,29.92,3168,2516,-17049,40532
45,AIG,2020-10-09,0 days 15:59:46.268555,700410,29.96,29.95,6276,800,34418,-5018
46,AIG,2020-10-09,0 days 15:59:47.266713,697096,29.96,29.95,6114,1200,-2503,34418
47,ALK,2020-10-09,0 days 15:57:18.250875,154373,38.74,38.73,202,907,-244,256
48,ALK,2020-10-09,0 days 15:57:36.251762,151517,38.76,38.75,500,200,2856,-1744
49,ALK,2020-10-09,0 days 15:59:05.256693,134795,38.72,38.7,700,997,-13631,1647
50,ALK,2020-10-09,0 days 15:59:12.256806,144001,38.72,38.71,500,1097,2447,-506
51,ALK,2020-10-09,0 days 15:59:34.255250,150155,38.7,38.69,860,1140,-6602,392
52,ALK,2020-10-09,0 days 15:59:35.255846,148957,38.7,38.69,860,1130,1198,-6602
53,ALK,2020-10-09,0 days 15:59:43.256260,150155,38.7,38.69,1713,1398,-69,1045
54,ALLY,2020-10-09,0 days 15:59:25.301751,369467,27.86,27.85,4800,3636,14990,-8396
55,ALLY,2020-10-09,0 days 15:59:26.300975,364457,27.86,27.85,5750,654,-1210,14990
56,ALLY,2020-10-09,0 days 15:59:34.301944,369467,27.86,27.85,4200,3290,11658,-810
57,ALLY,2020-10-09,0 days 15:59:45.303707,373499,27.86,27.85,1188,3990,20088,-3142
58,ALLY,2020-10-09,0 days 15:59:46.303532,371887,27.86,27.85,1002,3890,-2820,20088
59,ALLY,2020-10-09,0 days 15:59:48.303235,378739,27.86,27.85,602,3890,4835,-2756
60,AM,2020-10-09,0 days 15:59:26.637713,225875,5.95,5.94,14127,6235,-4598,2602
61,AM,2020-10-09,0 days 15:59:44.639527,230473,5.95,5.94,11816,7383,2,-3498
62,AM,2020-10-09,0 days 15:59:46.639318,230004,5.95,5.94,15816,7634,-2356,17131
63,AMC,2020-10-09,0 days 15:59:45.253599,36197,4.06,4.05,42289,1235,7874,-9326
64,AMC,2020-10-09,0 days 15:59:46.253307,35671,4.06,4.05,41779,1235,-526,7874
65,AMCR,2020-10-09,0 days 15:55:00.236310,588232,11.42,11.41,8765,17333,15240,-200771
66,AMCR,2020-10-09,0 days 15:59:05.245214,634450,11.41,11.4,24287,11793,-75452,13337
67,AMCR,2020-10-09,0 days 15:59:07.244982,621602,11.41,11.4,27487,12780,4148,-3952
68,AMCR,2020-10-09,0 days 15:59:12.245614,627913,11.41,11.4,22573,12079,-15590,4153
69,AMCR,2020-10-09,0 days 15:59:13.245685,625303,11.41,11.4,30973,12079,2610,-15590
70,AMCR,2020-10-09,0 days 15:59:34.243987,736179,11.41,11.4,36647,8269,-19654,6988
71,AMCR,2020-10-09,0 days 15:59:35.244002,727733,11.41,11.4,30508,8569,8446,-19654
72,AMRX,2020-10-09,0 days 15:59:05.245461,77232,4.74,4.73,1913,2412,-821,565
73,AMT,2020-10-09,0 days 15:57:45.266029,253691,245.06,244.98,120,436,-1123,9077
74,AMT,2020-10-09,0 days 15:57:46.266203,250614,245.06,244.99,120,153,3077,-1123
75,AMT,2020-10-09,0 days 15:59:04.269794,253663,245.06,244.93,100,400,-202,298
76,AMT,2020-10-09,0 days 15:59:06.271819,251718,245.06,244.94,100,201,1945,-655
77,AMT,2020-10-09,0 days 15:59:12.270720,254352,245.01,244.95,200,100,-26,305
78,AMT,2020-10-09,0 days 15:59:14.270577,254693,245.01,244.95,100,100,893,-26
79,AMT,2020-10-09,0 days 15:59:15.270936,255956,245.01,244.92,100,100,-1404,893
80,AMT,2020-10-09,0 days 15:59:16.269945,255560,245.01,244.88,100,300,396,-1404
81,AMT,2020-10-09,0 days 15:59:21.266307,256033,244.94,244.76,100,100,-49653,165
82,AMWL,2020-10-09,0 days 15:58:13.244879,19685,32.65,32.61,329,400,-1418,491
83,AMWL,2020-10-09,0 days 15:58:14.244538,18503,32.65,32.61,319,400,1182,-1418
84,AMWL,2020-10-09,0 days 15:59:16.247791,19470,32.72,32.65,306,100,-723,538
85,ANF,2020-10-09,0 days 15:55:26.293635,72696,16.38,16.37,3141,2533,4929,-96
86,ANF,2020-10-09,0 days 15:58:05.298530,87975,16.37,16.36,2803,870,-2085,765
87,ANF,2020-10-09,0 days 15:58:06.298232,85760,16.37,16.36,2903,870,1715,-2085
88,ANF,2020-10-09,0 days 15:59:08.301774,83482,16.37,16.36,2855,822,491,-1809
89,ANF,2020-10-09,0 days 15:59:09.301429,84473,16.37,16.36,3055,816,-6246,491
90,AOS,2020-10-09,0 days 15:55:00.262906,184727,57.18,57.17,945,1713,-2021,27946
91,AOS,2020-10-09,0 days 15:57:08.265764,191455,57.13,57.12,1250,540,1116,-1060
92,AOS,2020-10-09,0 days 15:57:09.266702,189671,57.13,57.12,1250,440,-1784,1116
93,AOS,2020-10-09,0 days 15:59:01.270135,195209,57.15,57.14,200,880,6421,-785
94,AOS,2020-10-09,0 days 15:59:02.269613,194038,57.16,57.14,100,1601,-1171,6421
95,AOS,2020-10-09,0 days 15:59:06.271737,186300,57.17,57.15,100,1118,1990,-1580
96,AOS,2020-10-09,0 days 15:59:14.270548,196586,57.2,57.18,500,459,-855,1436
97,AOS,2020-10-09,0 days 15:59:46.268168,199157,57.19,57.17,500,459,7967,-113
98,AR,2020-10-09,0 days 15:59:46.267971,552992,3.71,3.7,40660,31422,-18336,2403
99,ASAN,2020-10-09,0 days 15:58:09.248068,10649,25.71,25.69,195,100,156,-644
100,ASAN,2020-10-09,0 days 15:58:10.247732,9905,25.71,25.69,195,100,-744,156
101,ATI,2020-10-09,0 days 15:55:00.292696,103682,9.41,9.4,2730,4264,3456,-55023
102,ATI,2020-10-09,0 days 15:55:01.291897,100700,9.41,9.4,3230,4266,-2982,3456
103,ATI,2020-10-09,0 days 15:56:37.297926,112386,9.41,9.4,2652,5592,249,-951
104,ATI,2020-10-09,0 days 15:57:13.296020,112635,9.41,9.4,3362,4324,-3701,249
105,ATI,2020-10-09,0 days 15:59:15.302214,125696,9.41,9.4,5660,4002,1791,-3922
106,ATI,2020-10-09,0 days 15:59:16.301338,122987,9.41,9.4,5151,4473,-2709,1791
107,ATUS,2020-10-09,0 days 15:59:07.301268,169389,27.22,27.21,3500,1600,1439,-1261
108,ATUS,2020-10-09,0 days 15:59:13.301528,170828,27.21,27.2,7799,1182,-3012,788
109,ATUS,2020-10-09,0 days 15:59:14.302137,170711,27.21,27.2,8001,882,117,-3012
110,AU,2020-10-09,0 days 15:55:00.262987,79000,27.93,27.92,3408,1600,-68742,36862
111,AU,2020-10-09,0 days 15:55:01.262195,77642,27.91,27.9,1900,1300,1358,-68742
112,AU,2020-10-09,0 days 15:56:07.266203,79037,27.94,27.93,1465,2000,-4324,1476
113,AU,2020-10-09,0 days 15:57:04.265507,79301,27.91,27.9,652,3094,336,-364
114,AU,2020-10-09,0 days 15:57:09.266702,80037,27.91,27.9,534,6233,-673,736
115,AU,2020-10-09,0 days 15:58:04.267619,81210,27.91,27.9,3890,2491,882,-683
116,AU,2020-10-09,0 days 15:58:06.267309,82492,27.91,27.9,2990,2391,-320,882
117,AU,2020-10-09,0 days 15:59:06.271791,89601,27.94,27.93,748,3285,303,-2497
118,AU,2020-10-09,0 days 15:59:11.270875,91301,27.95,27.94,957,2888,281,-1319
119,AU,2020-10-09,0 days 15:59:34.266415,91022,27.94,27.93,1763,2818,176,-224
120,AU,2020-10-09,0 days 15:59:46.268185,96409,27.94,27.93,1257,2911,-3172,3412
121,AU,2020-10-09,0 days 15:59:47.266670,96395,27.94,27.93,1844,1911,14,-3172
122,AVTR,2020-10-09,0 days 15:55:00.237073,145725,24.46,24.45,1518,4016,-3704,16922
123,AVTR,2020-10-09,0 days 15:57:37.242366,163628,24.42,24.41,4507,300,132,-1368
124,AVTR,2020-10-09,0 days 15:57:38.242918,161160,24.43,24.42,1151,1525,-2468,132
125,AVTR,2020-10-09,0 days 15:59:14.247498,181706,24.48,24.47,748,584,6025,-4214
126,AVTR,2020-10-09,0 days 15:59:15.247402,178331,24.48,24.47,748,1484,-3375,6025
127,AVTR,2020-10-09,0 days 15:59:28.247392,213106,24.47,24.46,1710,1741,1576,-2701
128,AVTR,2020-10-09,0 days 15:59:36.245729,210232,24.48,24.47,1100,1308,-2874,1576
129,AVTR,2020-10-09,0 days 15:59:42.247525,223088,24.49,24.48,2200,638,17525,-1971
130,AVTR,2020-10-09,0 days 15:59:47.246662,221587,24.49,24.48,646,1918,-1868,6132
131,AVTR,2020-10-09,0 days 15:59:48.247560,223455,24.49,24.48,407,1418,1558,-1868
132,AVTR,2020-10-09,0 days 15:59:50.250097,218996,24.49,24.48,410,718,-4459,2041
133,AVYA,2020-10-09,0 days 15:59:46.247232,115276,18.56,18.55,1827,1212,29,-5833
134,AXL,2020-10-09,0 days 15:57:41.214364,48697,6.85,6.84,3014,4703,3666,-4534
135,AXL,2020-10-09,0 days 15:57:42.214429,44163,6.85,6.84,2987,4703,-4534,3666
136,AXL,2020-10-09,0 days 15:59:02.217585,48383,6.86,6.85,6568,1328,269,-587
137,AXL,2020-10-09,0 days 15:59:41.216250,51305,6.86,6.85,6394,4300,259,-1153
