,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-11-25,0 days 15:55:00.233255,304449,114.36,114.33,1403,200,-30003,13898
1,A,2020-11-25,0 days 15:57:45.236323,362377,114.37,114.36,819,100,688,-2312
2,A,2020-11-25,0 days 15:58:05.237698,361947,114.47,114.45,100,100,-630,670
3,A,2020-11-25,0 days 15:59:23.240666,399935,114.5,114.48,357,100,3713,-2214
4,A,2020-11-25,0 days 15:59:27.240676,399548,114.53,114.5,400,100,-13287,3213
5,A,2020-11-25,0 days 15:59:28.240719,399935,114.53,114.5,300,100,111,-13287
6,A,2020-11-25,0 days 15:59:45.244624,405490,114.41,114.35,1100,100,-877,5576
7,A,2020-11-25,0 days 15:59:46.243306,406367,114.39,114.35,571,100,923,-877
8,A,2020-11-25,0 days 15:59:50.244949,401786,114.47,114.42,200,500,-5836,6119
9,AA,2020-11-25,0 days 15:58:01.243604,213784,20.35,20.34,3457,730,-2985,4024
10,AA,2020-11-25,0 days 15:59:28.243928,228652,20.34,20.33,300,2901,-6238,745
11,AA,2020-11-25,0 days 15:59:50.244443,188063,20.34,20.32,4000,5560,42393,-7307
12,ABB,2020-11-25,0 days 15:55:00.243140,171498,26.54,26.53,11510,6229,679,-87294
13,ABB,2020-11-25,0 days 15:56:31.245795,169807,26.55,26.54,7524,17236,-2030,240
14,ABB,2020-11-25,0 days 15:58:13.247938,180982,26.54,26.53,22736,3300,-633,2067
15,ABB,2020-11-25,0 days 15:58:29.249502,192515,26.55,26.54,6588,21931,7109,-633
16,ABB,2020-11-25,0 days 15:59:28.251503,196113,26.56,26.55,5168,18598,-5324,573
17,ABB,2020-11-25,0 days 15:59:46.254803,219468,26.56,26.55,13114,11820,13765,-5455
18,ABB,2020-11-25,0 days 15:59:47.252922,218833,26.56,26.55,10514,13461,-635,13765
19,ABBV,2020-11-25,0 days 15:59:01.241660,1045347,104.01,104.0,300,310,118040,-164132
20,ABBV,2020-11-25,0 days 15:59:15.242180,813343,104.07,104.06,550,200,-195030,76060
21,ABBV,2020-11-25,0 days 15:59:22.242818,991115,104.02,104.01,100,300,32397,-168341
22,ABBV,2020-11-25,0 days 15:59:46.244948,1096274,104.18,104.16,281,150,-9399,579
23,ABBV,2020-11-25,0 days 15:59:47.243990,1093173,104.18,104.16,100,200,7108,-9399
24,ABEV,2020-11-25,0 days 15:59:37.259399,221103,2.77,2.76,936997,177524,-128195,7905
25,ABEV,2020-11-25,0 days 15:59:38.259472,213198,2.77,2.76,943983,178624,7905,-128195
26,ABEV,2020-11-25,0 days 15:59:46.261773,225203,2.76,2.75,700477,795588,-21872,17522
27,ABEV,2020-11-25,0 days 15:59:47.260170,218775,2.76,2.75,700477,752788,6428,-21872
28,ABT,2020-11-25,0 days 15:55:00.247918,317916,106.24,106.22,834,532,-26226,71294
29,ABT,2020-11-25,0 days 15:56:08.250981,352015,106.14,106.12,205,1100,143,-3157
30,ABT,2020-11-25,0 days 15:56:25.251643,352479,106.15,106.13,762,638,2718,-321
31,ABT,2020-11-25,0 days 15:56:48.253127,353567,106.19,106.16,600,820,-2544,1256
32,ABT,2020-11-25,0 days 15:57:33.253989,355732,106.13,106.11,500,1376,4915,-185
33,ABT,2020-11-25,0 days 15:59:49.260383,437158,106.4,106.36,949,300,-11480,8481
34,ACB,2020-11-25,0 days 15:59:59.237903,46166,8.71,8.7,4847,3450,-22524,8173
35,ADM,2020-11-25,0 days 15:56:10.246146,402162,50.46,50.45,2172,900,14687,-3013
36,ADM,2020-11-25,0 days 15:57:12.245231,416480,50.49,50.48,1907,100,-893,7907
37,ADM,2020-11-25,0 days 15:57:54.246716,436327,50.51,50.5,1347,160,5642,-15204
38,ADM,2020-11-25,0 days 15:59:07.250864,460431,50.56,50.54,700,1683,-6903,4058
39,ADM,2020-11-25,0 days 15:59:17.251323,477353,50.54,50.53,512,300,7878,-15910
40,ADM,2020-11-25,0 days 15:59:24.251901,494004,50.57,50.55,1539,300,-3779,7248
41,ADM,2020-11-25,0 days 15:59:48.254119,511333,50.51,50.5,1142,353,5159,-11196
42,ADM,2020-11-25,0 days 15:59:50.256396,444192,50.51,50.5,1007,116,-64889,8957
43,ADT,2020-11-25,0 days 15:55:00.249106,62838,8.01,8.0,4903,10689,-1328,2862
44,ADT,2020-11-25,0 days 15:57:41.254393,65826,8.01,8.0,8760,7317,195,-1705
45,ADT,2020-11-25,0 days 15:57:42.255317,64221,8.01,8.0,8760,7317,-1605,195
46,ADT,2020-11-25,0 days 15:58:30.258142,65826,8.0,7.99,11994,7409,894,-1506
47,ADT,2020-11-25,0 days 15:58:31.257400,64520,8.0,7.99,12294,5580,-1306,894
48,ADT,2020-11-25,0 days 15:59:05.259140,67418,8.0,7.99,10599,10670,11620,-1264
49,ADT,2020-11-25,0 days 15:59:06.259940,67238,8.0,7.99,10695,10670,-180,11620
50,ADT,2020-11-25,0 days 15:59:07.258755,67418,8.0,7.99,10666,10670,2872,-180
51,AEE,2020-11-25,0 days 15:55:00.248242,187890,80.37,80.35,905,601,2781,-12763
52,AEE,2020-11-25,0 days 15:56:56.252755,167464,80.47,80.46,100,100,-23513,6387
53,AEE,2020-11-25,0 days 15:56:57.252979,190877,80.46,80.43,200,148,3587,-23513
54,AEE,2020-11-25,0 days 15:59:02.259766,229268,80.57,80.55,100,100,5091,-277
55,AEE,2020-11-25,0 days 15:59:15.259221,238085,80.57,80.55,306,831,-6588,644
56,AEE,2020-11-25,0 days 15:59:16.258828,245320,80.56,80.55,100,558,6965,-6588
57,AEE,2020-11-25,0 days 15:59:50.264414,249161,80.59,80.58,300,200,-5251,5449
58,AEG,2020-11-25,0 days 15:59:37.237047,6739,3.65,3.64,37748,227145,1037,-143
59,AEO,2020-11-25,0 days 15:59:50.312705,435224,18.46,18.45,600,3800,18371,-43429
60,AER,2020-11-25,0 days 15:55:00.232255,88503,40.65,40.64,300,100,-1685,14695
61,AER,2020-11-25,0 days 15:57:18.235076,90739,40.72,40.69,105,500,9,-54
62,AER,2020-11-25,0 days 15:57:20.235160,90748,40.74,40.72,100,160,-591,9
63,AES,2020-11-25,0 days 15:56:07.244571,289893,21.02,21.01,2580,12021,2912,-183
64,AES,2020-11-25,0 days 15:57:35.245860,303522,21.03,21.02,8817,5666,-3692,1408
65,AES,2020-11-25,0 days 15:57:45.246616,312614,21.03,21.02,12022,2623,2008,-6692
66,AES,2020-11-25,0 days 15:58:08.247621,317522,21.02,21.01,8017,4617,-78414,2108
67,AES,2020-11-25,0 days 15:58:09.247097,384636,21.01,21.0,9273,2500,5586,-78414
68,AES,2020-11-25,0 days 15:58:10.247839,378222,21.01,21.0,11932,1600,-5219,5586
69,AES,2020-11-25,0 days 15:58:19.248212,301737,21.0,20.99,4487,8506,2355,-5544
70,AES,2020-11-25,0 days 15:58:36.248121,306592,21.0,20.99,2317,10256,-72544,3656
71,AES,2020-11-25,0 days 15:58:40.249132,302638,21.0,20.99,6430,4620,73143,-3246
72,AES,2020-11-25,0 days 15:58:41.249076,300092,21.0,20.99,5028,4926,-1644,73143
73,AES,2020-11-25,0 days 15:58:56.249376,302062,21.0,20.99,4498,6317,2682,-2318
74,AES,2020-11-25,0 days 15:59:00.253639,307086,21.01,21.0,6532,8073,-21076,2582
75,AES,2020-11-25,0 days 15:59:05.250971,327804,21.01,21.0,6443,6944,-819,73612
76,AES,2020-11-25,0 days 15:59:16.251905,404196,21.0,20.99,6199,5348,9535,-3783
77,AES,2020-11-25,0 days 15:59:17.251185,402031,21.0,20.99,4588,4514,-1265,9535
78,AES,2020-11-25,0 days 15:59:29.251099,403190,21.0,20.99,11224,3422,-58,9142
79,AES,2020-11-25,0 days 15:59:43.252445,403248,20.99,20.98,10306,6548,10261,-6229
80,AES,2020-11-25,0 days 15:59:46.254629,407809,20.99,20.98,15745,4330,-6596,2761
81,AES,2020-11-25,0 days 15:59:48.253833,414405,20.99,20.98,13906,2196,19146,-6596
82,AES,2020-11-25,0 days 15:59:50.256005,405476,20.99,20.98,9406,5019,-1429,7171
83,AFL,2020-11-25,0 days 15:56:50.232001,598814,45.58,45.57,4085,549,23101,-31499
84,AFL,2020-11-25,0 days 15:56:51.232023,595915,45.59,45.58,2465,3577,-2899,23101
85,AFL,2020-11-25,0 days 15:57:25.233021,600814,45.6,45.59,4484,291,2385,-3115
86,AFL,2020-11-25,0 days 15:57:26.232540,598399,45.6,45.59,4224,768,-2415,2385
87,AFL,2020-11-25,0 days 15:58:29.236168,636914,45.56,45.55,1571,2907,45661,-7161
88,AFL,2020-11-25,0 days 15:58:30.235941,634725,45.58,45.57,1683,2629,-49189,45661
89,AFL,2020-11-25,0 days 15:59:06.236400,661843,45.6,45.59,3205,300,1394,-1692
90,AFL,2020-11-25,0 days 15:59:07.236987,660337,45.6,45.59,3084,300,-1506,1394
91,AFL,2020-11-25,0 days 15:59:28.236200,662343,45.6,45.59,524,1710,4249,-298
92,AG,2020-11-25,0 days 15:59:06.251310,96286,10.23,10.22,17308,8233,13,-2361
93,AG,2020-11-25,0 days 15:59:40.253570,96699,10.23,10.22,7204,39697,-5387,913
94,AG,2020-11-25,0 days 15:59:41.251825,96186,10.23,10.22,16604,33797,513,-5387
95,AG,2020-11-25,0 days 15:59:46.254891,96699,10.23,10.22,27449,4800,-5394,513
96,AGI,2020-11-25,0 days 15:56:07.237869,81667,8.13,8.12,44888,8572,-5627,2294
97,AGI,2020-11-25,0 days 15:56:08.237701,66094,8.13,8.12,44888,8672,15573,-5627
98,AGI,2020-11-25,0 days 15:59:28.242804,94115,8.12,8.11,29970,24172,-1483,3075
99,AGI,2020-11-25,0 days 15:59:29.242920,92498,8.12,8.11,29970,23772,1617,-1483
100,AGI,2020-11-25,0 days 15:59:40.243976,94115,8.12,8.11,21670,33272,-483,1617
101,AGI,2020-11-25,0 days 15:59:47.243990,93698,8.12,8.11,26088,26164,618,-4382
102,AGS,2020-11-25,0 days 15:55:00.244136,8466,5.05,5.02,307,1300,148,-347
103,AIG,2020-11-25,0 days 15:57:44.246559,317831,40.18,40.17,1635,1166,-713,430
104,AIG,2020-11-25,0 days 15:59:18.251255,336501,40.17,40.16,2486,403,5263,-9094
105,AIG,2020-11-25,0 days 15:59:34.252195,342983,40.15,40.13,2038,2900,-892,6382
106,AIG,2020-11-25,0 days 15:59:46.255301,345902,40.12,40.11,2144,1500,-821,10327
107,AIG,2020-11-25,0 days 15:59:50.256746,320150,40.15,40.13,4614,1500,24911,-52389
108,ALK,2020-11-25,0 days 15:55:00.235389,80276,52.41,52.37,360,200,-1298,13590
109,ALK,2020-11-25,0 days 15:57:05.239583,82157,52.45,52.44,226,110,596,-1104
110,ALK,2020-11-25,0 days 15:57:34.237395,82953,52.49,52.46,200,323,-1194,606
111,ALK,2020-11-25,0 days 15:58:45.239865,81947,52.47,52.45,100,146,1861,-2747
112,ALK,2020-11-25,0 days 15:59:03.241215,85098,52.46,52.44,100,100,-1849,2287
