,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,ABBV,2020-04-27,0 days 15:59:51.305440,1596356,84.7,84.69,300,700,-11112,38840
1,ABBV,2020-04-27,0 days 15:59:52.308230,1588865,84.64,84.62,400,200,9491,-11112
2,ABT,2020-04-27,0 days 15:57:32.881450,493455,94.97,94.95,1379,1352,1625,-3027
3,ATI,2020-04-27,0 days 15:57:26.895375,110919,7.45,7.44,1500,3000,6811,-289
4,BABA,2020-04-27,0 days 15:57:32.973625,1289042,202.98,202.95,351,110,16076,-2227
5,BABA,2020-04-27,0 days 15:57:59.034510,1275475,203.47,203.45,200,414,-13567,11127
6,BABA,2020-04-27,0 days 15:58:02.042399,1289042,203.38,203.35,1337,900,14279,-1415
7,BABA,2020-04-27,0 days 15:58:05.049398,1287627,203.44,203.42,400,400,-1415,10275
8,BABA,2020-04-27,0 days 15:58:11.063959,1287627,203.43,203.42,1300,900,-1415,10275
9,BAC,2020-04-27,0 days 15:58:02.002084,3666868,23.59,23.58,78768,23522,44384,-14797
10,BMY,2020-04-27,0 days 15:59:55.248445,1326343,62.54,62.53,200,1460,5279,-4936
11,BMY,2020-04-27,0 days 15:59:56.250699,1310330,62.56,62.55,100,932,-18433,5279
12,C,2020-04-27,0 days 15:59:55.269474,1540251,46.58,46.57,4100,3177,4756,-5328
13,CIM,2020-04-27,0 days 15:59:52.212287,92325,7.3,7.29,13990,5539,-796,8504
14,CNK,2020-04-27,0 days 15:57:31.972745,387837,13.26,13.25,8462,3193,12328,-10447
15,CTVA,2020-04-27,0 days 15:59:51.241632,369423,25.58,25.57,2423,4216,210,-542
16,CVE,2020-04-27,0 days 15:58:44.052785,33504,3.04,3.03,147855,55396,7571,-7805
17,CVX,2020-04-27,0 days 15:57:36.893939,1477862,89.92,89.91,400,200,-5283,10414
18,DIS,2020-04-27,0 days 15:59:25.149296,734789,106.18,106.14,700,400,-9375,472
19,EGO,2020-04-27,0 days 15:59:46.246388,28415,9.74,9.73,11100,1600,83,-1917
20,EQR,2020-04-27,0 days 15:50:02.826682,171378,65.38,65.3,232,615,-206202,41507
21,EQR,2020-04-27,0 days 15:51:48.077412,131871,65.3,65.28,100,177,42178,-205151
22,EQR,2020-04-27,0 days 15:53:42.346882,131871,65.31,65.28,316,700,42178,-203531
23,EQR,2020-04-27,0 days 15:53:44.352113,174049,65.35,65.33,338,100,-203531,42178
24,EQR,2020-04-27,0 days 15:54:18.433337,131871,65.31,65.3,530,100,43720,-201989
25,EQR,2020-04-27,0 days 15:54:46.499609,131871,65.31,65.28,832,100,43720,-201989
26,EQR,2020-04-27,0 days 15:55:00.531928,131871,65.31,65.25,100,1916,43720,-201989
27,EQR,2020-04-27,0 days 15:56:06.688990,131871,65.3,65.27,600,200,45318,-200391
28,EQR,2020-04-27,0 days 15:59:31.172846,193150,65.32,65.3,500,232,-184430,61279
29,EQR,2020-04-27,0 days 15:59:34.179734,131871,65.3,65.28,300,232,63996,-181713
30,EQR,2020-04-27,0 days 15:59:49.215688,195191,65.31,65.3,200,310,-182389,64833
31,EQR,2020-04-27,0 days 15:59:50.219879,131871,65.31,65.28,400,337,73226,-182389
32,EQR,2020-04-27,0 days 15:59:51.221061,210083,65.31,65.29,200,300,-167497,73226
33,EQR,2020-04-27,0 days 15:59:54.228164,131871,65.31,65.26,200,100,81095,-167497
34,EQT,2020-04-27,0 days 15:55:52.643097,222902,13.78,13.77,8531,2400,8415,-10323
35,EQT,2020-04-27,0 days 15:59:53.212160,223002,13.78,13.77,1100,200,25060,-3478
36,ET,2020-04-27,0 days 15:59:49.253646,3682947,7.22,7.21,19922,22358,7872,-5658
37,ET,2020-04-27,0 days 15:59:50.257199,3675103,7.23,7.22,15943,41673,-7844,7872
38,ET,2020-04-27,0 days 15:59:51.259836,3682947,7.23,7.22,25100,42773,78339,-7844
39,EURN,2020-04-27,0 days 15:58:41.052847,75236,12.14,12.13,2300,100,5523,-6042
40,FET,2020-04-27,0 days 15:53:21.378861,31119,0.34,0.33,79462,4500,-18924,12748
41,FET,2020-04-27,0 days 15:55:36.702054,31119,0.33,0.32,400,38300,-4624,12748
42,FET,2020-04-27,0 days 15:57:33.975663,18371,0.33,0.32,24400,13600,12748,-4624
43,FET,2020-04-27,0 days 15:58:07.054312,18371,0.33,0.32,24400,13500,12748,-4624
44,FET,2020-04-27,0 days 15:58:14.071335,31119,0.33,0.32,39500,13200,-4624,12748
45,FET,2020-04-27,0 days 15:59:06.195529,18371,0.33,0.32,82246,16900,12748,-4624
46,FNF,2020-04-27,0 days 15:58:42.054519,152710,26.84,26.83,1500,1205,17285,-17244
47,FTSI,2020-04-27,0 days 15:52:31.260152,16724,0.29,0.28,400,31010,4538,-4234
48,GEL,2020-04-27,0 days 15:59:51.207616,573144,5.03,4.99,1266,10700,20686,-58443
49,GIS,2020-04-27,0 days 15:59:51.220947,306428,60.0,59.99,980,1106,-9188,1304
50,GPS,2020-04-27,0 days 15:57:25.896173,327094,7.8,7.79,20658,28109,4703,-97
51,HRL,2020-04-27,0 days 15:59:51.243049,771597,46.64,46.63,100,100,-11534,13430
52,JNJ,2020-04-27,0 days 15:57:31.906881,944367,154.29,154.26,1779,725,3291,-21282
53,JPM,2020-04-27,0 days 15:56:06.733378,2092144,94.53,94.52,100,410,615,-616
54,JPM,2020-04-27,0 days 15:56:35.802832,2092759,94.59,94.57,700,2000,-183,334
55,JPM,2020-04-27,0 days 15:57:30.933652,2093997,94.62,94.61,599,1300,18362,-1238
56,JPM,2020-04-27,0 days 15:57:33.933599,2173559,94.68,94.67,700,300,-20609,99082
57,JPM,2020-04-27,0 days 15:57:34.936054,2194272,94.67,94.66,600,800,5287,-20609
58,KGC,2020-04-27,0 days 15:58:41.052787,154571,6.99,6.98,243004,160437,-2755,21850
59,KGC,2020-04-27,0 days 15:59:45.205455,159152,6.97,6.96,274958,176859,8695,-3510
60,KO,2020-04-27,0 days 15:56:22.724052,2129541,46.83,46.82,4494,9092,378,-1038
61,KO,2020-04-27,0 days 15:56:56.805261,2131590,46.86,46.85,6514,2617,4712,-1936
62,LUV,2020-04-27,0 days 15:57:38.987439,490647,29.11,29.1,100,1595,648,-7952
63,LUV,2020-04-27,0 days 15:59:36.269031,490747,29.11,29.09,800,700,4602,-3898
64,LUV,2020-04-27,0 days 15:59:39.276094,490747,29.11,29.1,400,1200,4602,-3898
65,MAS,2020-04-27,0 days 15:50:21.952856,106776,41.59,41.58,483,1813,11504,-15457
66,MAS,2020-04-27,0 days 15:51:19.089238,106776,41.59,41.58,1367,419,11504,-15457
67,NEE,2020-04-27,0 days 15:59:44.193074,382751,243.45,243.37,100,290,2382,-2118
68,NEE,2020-04-27,0 days 15:59:45.194829,379133,243.7,243.59,100,1237,-3618,2382
69,NEE,2020-04-27,0 days 15:59:50.209231,382751,243.52,243.42,103,490,2200,-234
70,NLY,2020-04-27,0 days 15:58:41.073627,375855,5.94,5.93,89330,27278,-4950,19550
71,PAA,2020-04-27,0 days 15:53:00.235078,1132607,8.05,8.04,7200,2630,1412,-988
72,PAA,2020-04-27,0 days 15:58:08.967821,1132607,8.05,8.04,7005,5449,1412,-988
73,PFE,2020-04-27,0 days 15:50:32.934428,2693495,38.44,38.43,6720,13410,-46808,50390
74,PFE,2020-04-27,0 days 15:58:06.010689,2694495,38.34,38.33,8995,12615,-10926,3143
75,PFE,2020-04-27,0 days 15:59:49.254146,2692400,38.32,38.31,4805,5232,2395,-11674
76,PFE,2020-04-27,0 days 15:59:53.264035,2694495,38.34,38.33,896,8772,-11674,2395
77,PFE,2020-04-27,0 days 15:59:59.278752,2684731,38.28,38.26,851,5575,111264,-11674
78,PM,2020-04-27,0 days 15:59:15.155411,359596,75.03,75.0,200,200,781,-7581
79,PRTY,2020-04-27,0 days 15:55:59.671948,31772,0.45,0.44,55200,700,1421,-1949
80,PRTY,2020-04-27,0 days 15:56:16.712479,29823,0.45,0.44,55800,5014,-1949,1121
81,PRTY,2020-04-27,0 days 15:56:32.750544,31772,0.45,0.44,47200,2014,1421,-1949
82,RIG,2020-04-27,0 days 15:51:02.988402,257239,0.83,0.82,200,1000,84801,-180936
83,RIG,2020-04-27,0 days 15:52:31.199834,342040,0.82,0.81,1067,275565,-180936,84801
84,RIG,2020-04-27,0 days 15:55:33.634821,257239,0.82,0.81,2497,53063,84801,-180936
85,RIG,2020-04-27,0 days 15:55:41.653727,342040,0.84,0.83,62251,13250,-182636,84801
86,RIG,2020-04-27,0 days 15:56:40.794591,258439,0.83,0.82,300,200,83601,-182636
87,RIG,2020-04-27,0 days 15:56:52.824070,342040,0.84,0.83,15050,9600,-182636,83601
88,RIG,2020-04-27,0 days 15:58:05.990112,258439,0.84,0.83,4050,4400,83601,-182636
89,RIG,2020-04-27,0 days 15:58:08.996781,342040,0.84,0.83,2950,6782,-182636,83601
90,RIG,2020-04-27,0 days 15:59:20.166584,258439,0.85,0.84,53794,1400,83601,-182636
91,RIG,2020-04-27,0 days 15:59:23.174423,342040,0.85,0.84,17693,1300,-182636,83601
92,RIG,2020-04-27,0 days 15:59:32.197944,258439,0.84,0.83,1000,1322,83601,-182636
93,RIG,2020-04-27,0 days 15:59:35.203443,342040,0.84,0.83,500,1322,-182636,83601
94,RIG,2020-04-27,0 days 15:59:41.217400,258439,0.84,0.83,1224,1322,83601,-182636
95,RIG,2020-04-27,0 days 15:59:42.219287,342040,0.84,0.83,2300,1322,-182636,83601
96,RIG,2020-04-27,0 days 15:59:47.231386,258439,0.84,0.83,1900,1322,83601,-182636
97,RIG,2020-04-27,0 days 15:59:50.240818,342040,0.85,0.84,65594,18900,-182636,83601
98,RIG,2020-04-27,0 days 15:59:51.243153,258439,0.84,0.83,25565,15622,83601,-182636
99,RIG,2020-04-27,0 days 15:59:52.244601,342040,0.84,0.83,27165,1322,-182636,83601
100,RIG,2020-04-27,0 days 15:59:53.246820,258439,0.84,0.83,27165,1322,83601,-182636
101,RIG,2020-04-27,0 days 15:59:57.257042,342040,0.85,0.83,136538,4227,-182636,83601
102,TGT,2020-04-27,0 days 15:59:51.207475,343721,109.86,109.81,1000,400,3260,-4585
103,TRGP,2020-04-27,0 days 15:59:40.194147,222691,10.05,10.04,5180,1300,2605,-2353
104,TRGP,2020-04-27,0 days 15:59:44.203502,222691,10.04,10.03,1123,800,4252,-1185
105,UNH,2020-04-27,0 days 15:59:16.135412,548600,294.39,294.27,1210,100,8541,-67587
106,UNH,2020-04-27,0 days 15:59:17.138198,547177,294.71,294.62,200,369,-5865,8541
107,UNH,2020-04-27,0 days 15:59:35.181661,551174,294.4,294.23,509,1660,8081,-1058
108,UNH,2020-04-27,0 days 15:59:36.183979,551891,294.47,294.41,100,200,-1058,8081
109,UNH,2020-04-27,0 days 15:59:39.190782,551400,294.34,294.24,700,300,5855,-1058
110,UNP,2020-04-27,0 days 15:57:34.894983,416511,160.02,159.97,400,831,-5347,2253
111,UNP,2020-04-27,0 days 15:58:59.095249,416528,159.75,159.68,614,300,383,-317
112,UNP,2020-04-27,0 days 15:59:00.099023,416911,159.75,159.71,714,300,-317,383
113,UNP,2020-04-27,0 days 15:59:02.103333,416528,159.67,159.63,725,322,384,-317
114,UNP,2020-04-27,0 days 15:59:06.111559,416952,159.6,159.59,305,243,-1576,4184
115,UNP,2020-04-27,0 days 15:59:09.118785,414153,159.56,159.49,100,200,2759,-1576
