,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-08-19,0 days 15:59:07.780150,290601,98.02,98.0,1150,564,4564,-5487
1,A,2020-08-19,0 days 15:59:08.782964,287616,98.03,98.0,150,903,-2985,4564
2,A,2020-08-19,0 days 15:59:16.799878,292158,98.04,98.0,647,3880,39781,-15036
3,A,2020-08-19,0 days 15:59:17.802078,289258,98.09,98.08,150,442,-8031,39781
4,A,2020-08-19,0 days 15:59:22.814260,294158,98.09,98.06,364,740,1306,-5431
5,A,2020-08-19,0 days 15:59:23.816560,291264,98.09,98.06,199,1040,-2894,1306
6,A,2020-08-19,0 days 15:59:41.860066,303043,98.04,98.02,798,100,4234,-4315
7,A,2020-08-19,0 days 15:59:42.862594,301377,98.06,98.02,1500,150,-1666,4234
8,A,2020-08-19,0 days 15:59:45.870257,303043,98.03,98.0,1840,100,452,-134
9,A,2020-08-19,0 days 15:59:48.877212,301495,98.01,97.96,1800,647,-1548,452
10,AA,2020-08-19,0 days 15:55:00.869397,104083,15.32,15.31,2145,8497,19803,-27651
11,AA,2020-08-19,0 days 15:55:01.869752,101186,15.32,15.31,1573,10097,-2897,19803
12,AA,2020-08-19,0 days 15:59:21.496530,120958,15.3,15.29,9639,2788,9944,-1765
13,AAP,2020-08-19,0 days 15:55:00.592132,154804,160.82,160.75,200,251,-1342,9581
14,AAP,2020-08-19,0 days 15:59:10.196127,170818,160.88,160.81,689,660,1252,-948
15,AAP,2020-08-19,0 days 15:59:11.198290,169670,160.87,160.83,349,300,-1148,1252
16,AAP,2020-08-19,0 days 15:59:16.209193,170822,160.88,160.84,798,1,1135,-1061
17,AAP,2020-08-19,0 days 15:59:17.211755,169657,160.88,160.84,1158,1,-1165,1135
18,AAP,2020-08-19,0 days 15:59:22.224073,170822,160.86,160.82,223,13,6864,-1165
19,AAP,2020-08-19,0 days 15:59:23.226382,169877,160.87,160.83,240,363,-1445,6864
