,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-09-30,0 days 15:55:23.246233,169314,11.67,11.66,3218,11168,-13282,318
1,AA,2020-09-30,0 days 15:55:24.244299,167296,11.68,11.67,9080,8098,2018,-13282
2,AA,2020-09-30,0 days 15:56:19.246214,168742,11.7,11.69,795,16459,-905,495
3,AA,2020-09-30,0 days 15:58:07.237717,300447,11.66,11.65,8411,7333,2450,-8098
4,AA,2020-09-30,0 days 15:58:08.237626,288997,11.66,11.65,7285,8656,-11450,2450
5,AA,2020-09-30,0 days 15:59:04.241082,296017,11.66,11.65,10176,5925,1177,-4023
6,AA,2020-09-30,0 days 15:59:05.241621,297194,11.66,11.65,11329,1525,-6095,1177
7,AA,2020-09-30,0 days 15:59:46.231710,321172,11.64,11.63,3130,13906,-1402,30326
8,ABT,2020-09-30,0 days 15:55:00.618172,1068183,108.87,108.85,803,800,-22553,33786
9,ABT,2020-09-30,0 days 15:55:25.623433,1080423,108.94,108.92,120,632,61763,-6526
10,ABT,2020-09-30,0 days 15:56:08.624204,1164294,109.14,109.12,168,154,-676,16
11,ABT,2020-09-30,0 days 15:56:11.624483,1165470,109.12,109.1,300,500,827,-676
12,ABT,2020-09-30,0 days 15:56:20.624506,1168387,109.16,109.15,109,200,-1748,117
13,ABT,2020-09-30,0 days 15:56:21.623913,1164691,109.15,109.14,100,100,3696,-1748
14,ABT,2020-09-30,0 days 15:56:48.624178,1169456,109.22,109.21,110,200,-43619,649
15,ABT,2020-09-30,0 days 15:56:49.630911,1169154,109.23,109.22,200,300,302,-43619
16,ABT,2020-09-30,0 days 15:58:03.627388,1322586,109.19,109.17,100,200,611,-29689
17,ACB,2020-09-30,0 days 15:59:21.259600,28614,4.66,4.65,13053,5577,1542,-1206
18,ACB,2020-09-30,0 days 15:59:22.259530,27456,4.66,4.65,12553,5577,-1158,1542
19,ACN,2020-09-30,0 days 15:55:00.118102,416796,226.21,226.15,426,125,-4883,15775
20,ACN,2020-09-30,0 days 15:55:25.119848,442517,226.29,226.15,100,493,1085,-4074
21,ACN,2020-09-30,0 days 15:56:28.120491,457345,226.64,226.57,225,431,-1247,343
22,ACN,2020-09-30,0 days 15:56:29.120168,454992,226.65,226.57,321,832,2353,-1247
23,ACN,2020-09-30,0 days 15:56:33.119553,457345,226.64,226.57,225,832,-2647,2853
24,ACN,2020-09-30,0 days 15:56:34.119913,454992,226.64,226.57,225,731,2353,-2647
25,ACN,2020-09-30,0 days 15:56:48.120404,457729,226.62,226.55,291,400,-16870,2437
26,ACN,2020-09-30,0 days 15:56:49.121659,455309,226.55,226.48,325,200,2420,-16870
27,ACN,2020-09-30,0 days 15:57:16.122013,461167,226.64,226.57,200,282,-832,758
28,ACN,2020-09-30,0 days 15:57:17.122024,460299,226.63,226.57,100,125,1187,-832
29,ACN,2020-09-30,0 days 15:57:36.122547,462820,226.57,226.51,338,100,-2614,1211
30,ACN,2020-09-30,0 days 15:58:02.125636,469358,226.59,226.48,125,129,84,-7355
31,ACN,2020-09-30,0 days 15:58:04.123362,469640,226.53,226.46,325,325,-2818,782
32,ACN,2020-09-30,0 days 15:58:14.124530,474763,226.51,226.46,125,125,1802,-2415
33,ACN,2020-09-30,0 days 15:58:21.129135,474863,226.49,226.41,225,125,1702,-7265
34,ACN,2020-09-30,0 days 15:58:23.125110,476565,226.49,226.45,125,100,-3098,202
35,ACN,2020-09-30,0 days 15:58:24.124792,476363,226.49,226.45,125,200,202,-3098
36,ACN,2020-09-30,0 days 15:58:42.124307,476565,226.48,226.44,125,125,-1023,177
37,ACN,2020-09-30,0 days 15:59:01.130810,475994,226.43,226.4,125,125,986,-214
38,ADT,2020-09-30,0 days 15:59:21.631056,853708,8.19,8.18,3919,4422,12952,-12666
39,ADT,2020-09-30,0 days 15:59:44.633870,914160,8.16,8.15,4800,6600,-4378,3977
40,ADT,2020-09-30,0 days 15:59:45.635511,803634,8.13,8.12,800,12654,165476,-4378
41,ADT,2020-09-30,0 days 15:59:49.633570,866660,8.19,8.18,1657,11376,-240765,92302
42,AEG,2020-09-30,0 days 15:59:36.260807,83926,2.57,2.56,181290,155064,27569,-32531
43,AEG,2020-09-30,0 days 15:59:37.260592,82195,2.57,2.56,162140,155631,-1731,27569
44,AEG,2020-09-30,0 days 15:59:45.263237,83926,2.57,2.56,168448,158884,7119,-1731
45,AEG,2020-09-30,0 days 15:59:47.261939,73411,2.57,2.56,164923,158884,-13244,2919
46,AES,2020-09-30,0 days 15:55:27.120131,1150100,18.19,18.18,4352,7946,23857,-1357
47,AES,2020-09-30,0 days 15:56:39.120515,908060,18.22,18.21,9281,3902,-258174,23926
48,AES,2020-09-30,0 days 15:59:01.130930,1199954,18.13,18.12,3149,7893,6897,-2122
49,AES,2020-09-30,0 days 15:59:02.128681,1189451,18.13,18.12,2949,8014,-8563,6897
50,AES,2020-09-30,0 days 15:59:28.129562,1249986,18.13,18.12,3924,7607,541,-5585
51,AFL,2020-09-30,0 days 15:55:23.253364,560307,36.37,36.36,2314,1500,13841,-2662
52,AFL,2020-09-30,0 days 15:55:24.251858,558348,36.37,36.36,1814,2100,-1959,13841
53,AFL,2020-09-30,0 days 15:55:25.252257,560307,36.38,36.37,2800,1601,6375,-1959
54,AFL,2020-09-30,0 days 15:56:49.254350,585273,36.43,36.42,412,2502,-260,965
55,AFL,2020-09-30,0 days 15:56:55.253444,582673,36.41,36.4,690,2601,-961,1639
56,AFL,2020-09-30,0 days 15:57:09.254873,583634,36.42,36.41,4065,500,1418,-879
57,AFL,2020-09-30,0 days 15:57:10.254380,582852,36.42,36.41,4065,500,-782,1418
58,AFL,2020-09-30,0 days 15:57:20.253855,583634,36.42,36.41,5471,134,609,-343
59,AFL,2020-09-30,0 days 15:57:21.252862,583043,36.42,36.41,4957,134,-591,609
60,AFL,2020-09-30,0 days 15:57:26.253314,583634,36.4,36.39,1950,1604,6909,-591
61,AFL,2020-09-30,0 days 15:57:27.253365,583343,36.4,36.39,1669,2606,-291,6909
62,AFL,2020-09-30,0 days 15:57:34.253447,584334,36.39,36.38,1131,3022,109,-491
63,AFL,2020-09-30,0 days 15:57:38.253489,589043,36.39,36.38,1210,3464,-1691,509
64,AFL,2020-09-30,0 days 15:57:39.253666,592734,36.39,36.38,1010,3666,7209,-1691
65,AFL,2020-09-30,0 days 15:57:53.253472,615337,36.41,36.4,3112,1120,-197,3703
66,AFL,2020-09-30,0 days 15:58:02.254945,617166,36.42,36.41,3324,1609,2519,-3002
67,AFL,2020-09-30,0 days 15:58:04.254933,619685,36.42,36.41,3122,1309,-1981,2519
68,AFL,2020-09-30,0 days 15:58:05.254926,616626,36.42,36.41,2922,1309,3059,-1981
69,AFL,2020-09-30,0 days 15:58:57.257069,618638,36.42,36.41,2969,805,-68,381
70,AFL,2020-09-30,0 days 15:58:58.257869,616085,36.42,36.41,3368,805,2553,-68
71,AFL,2020-09-30,0 days 15:59:37.260457,692653,36.42,36.41,5068,630,-2555,6544
72,AFL,2020-09-30,0 days 15:59:45.263067,683823,36.42,36.41,2982,2180,8835,-3818
73,AFL,2020-09-30,0 days 15:59:49.262610,696146,36.42,36.41,5195,111,333,-5767
74,AG,2020-09-30,0 days 15:55:49.122020,63611,9.54,9.53,13981,23031,-267,1574
75,AG,2020-09-30,0 days 15:55:51.120579,63878,9.54,9.53,14781,23220,160,-183
76,AG,2020-09-30,0 days 15:56:11.121344,64038,9.54,9.53,27177,4626,-1740,160
77,AG,2020-09-30,0 days 15:56:12.120775,60478,9.54,9.53,27577,5226,3560,-1740
78,AG,2020-09-30,0 days 15:59:46.132180,68679,9.51,9.5,5847,17526,-1490,1743
79,AG,2020-09-30,0 days 15:59:48.134409,68339,9.51,9.5,5860,29326,40,-1490
80,AIG,2020-09-30,0 days 15:55:00.120095,783564,27.53,27.52,2618,1318,43376,-5842
81,AIG,2020-09-30,0 days 15:55:01.119509,778713,27.53,27.52,3118,2125,-3651,43376
82,AIG,2020-09-30,0 days 15:55:25.120176,833879,27.54,27.53,2015,3119,23595,-39320
83,AIG,2020-09-30,0 days 15:55:26.119556,827347,27.54,27.53,1616,3333,-5932,23595
84,AIG,2020-09-30,0 days 15:55:35.119831,805879,27.56,27.55,1814,2200,21322,-6605
85,AIG,2020-09-30,0 days 15:55:36.119585,802074,27.56,27.55,3015,1214,-3805,21322
86,AIG,2020-09-30,0 days 15:55:38.119569,805879,27.56,27.55,2923,1500,1361,-3805
87,AIG,2020-09-30,0 days 15:55:39.119707,802613,27.56,27.55,2923,1828,-3266,1361
88,AIG,2020-09-30,0 days 15:56:19.120823,836686,27.58,27.57,1007,4035,14687,-2713
89,AIG,2020-09-30,0 days 15:56:44.121063,852668,27.6,27.59,3702,1607,-896,4104
90,AIG,2020-09-30,0 days 15:56:45.120964,851164,27.6,27.59,3802,1801,1504,-896
91,AIG,2020-09-30,0 days 15:56:49.121986,859388,27.6,27.59,3503,1601,-2822,2024
92,AIG,2020-09-30,0 days 15:57:27.122419,860764,27.56,27.55,3408,1001,1186,-204
93,AIG,2020-09-30,0 days 15:57:28.123578,860150,27.56,27.55,3508,1501,-614,1186
94,AIG,2020-09-30,0 days 15:57:35.122875,864864,27.56,27.55,4171,568,186,-241
95,AIG,2020-09-30,0 days 15:57:39.122614,872923,27.56,27.55,3814,1110,-3941,1086
96,AIG,2020-09-30,0 days 15:57:41.122688,872464,27.56,27.55,4682,880,287,-7140
97,AIG,2020-09-30,0 days 15:57:42.124203,872751,27.56,27.55,4022,1681,-2113,287
98,AIG,2020-09-30,0 days 15:57:43.123279,871564,27.56,27.55,3825,1181,1187,-2113
99,AIG,2020-09-30,0 days 15:57:46.123169,872751,27.56,27.55,3930,2395,-7313,1187
100,AIG,2020-09-30,0 days 15:57:47.123013,868564,27.56,27.55,4122,1595,4187,-7313
101,AIG,2020-09-30,0 days 15:57:50.123276,872751,27.56,27.55,4440,1825,-1113,1087
102,AIG,2020-09-30,0 days 15:57:51.124280,871664,27.56,27.55,3922,3192,1087,-1113
103,AIG,2020-09-30,0 days 15:57:59.123546,877724,27.56,27.55,3824,3819,-140,1087
104,AIG,2020-09-30,0 days 15:58:01.125573,873054,27.57,27.56,1612,3936,65,-4745
105,AIG,2020-09-30,0 days 15:58:03.123874,873219,27.57,27.56,3610,3993,-9745,4165
106,ALL,2020-09-30,0 days 15:59:18.128269,542095,94.19,94.13,200,200,147,-445
107,ALL,2020-09-30,0 days 15:59:21.129885,528771,94.2,94.18,610,200,-13355,40267
108,ALL,2020-09-30,0 days 15:59:22.129847,542126,94.16,94.13,200,200,3226,-13355
109,AM,2020-09-30,0 days 15:59:16.240764,684277,5.4,5.39,6871,14117,1724,-12988
110,AM,2020-09-30,0 days 15:59:32.233796,666101,5.4,5.39,7205,22519,-18176,2488
111,AM,2020-09-30,0 days 15:59:47.231253,675268,5.4,5.39,6942,18378,-9809,42891
112,AMC,2020-09-30,0 days 15:59:44.633488,300540,4.72,4.71,5017,5097,1725,-2714
113,AMT,2020-09-30,0 days 15:55:00.119809,605508,241.61,241.46,125,600,-14157,113392
114,AMT,2020-09-30,0 days 15:55:27.120250,626075,241.67,241.59,225,300,724,-10898
115,AMT,2020-09-30,0 days 15:55:45.122568,633980,241.6,241.51,420,135,-5154,1300
116,AMT,2020-09-30,0 days 15:55:48.120715,630734,241.6,241.55,125,300,146,-2254
117,AMT,2020-09-30,0 days 15:55:50.121200,635780,241.53,241.47,100,200,-12934,146
118,AMT,2020-09-30,0 days 15:57:38.123219,673467,241.49,241.43,162,102,-3394,1406
119,AMT,2020-09-30,0 days 15:57:44.122555,678661,241.52,241.46,101,100,2170,-4330
120,AMT,2020-09-30,0 days 15:57:45.123859,673331,241.61,241.5,300,238,-11130,2170
121,AMT,2020-09-30,0 days 15:57:46.123169,671961,241.6,241.5,125,200,1370,-11130
122,AMT,2020-09-30,0 days 15:57:51.124280,683281,241.59,241.51,125,310,-4180,8620
123,AMT,2020-09-30,0 days 15:57:52.122789,680961,241.59,241.51,125,310,4120,-4180
124,AMT,2020-09-30,0 days 15:57:53.123192,685681,241.59,241.52,125,135,-2180,4120
125,AMT,2020-09-30,0 days 15:57:54.122695,683161,241.59,241.52,225,244,2520,-2180
126,AMT,2020-09-30,0 days 15:57:55.123737,685681,241.59,241.52,225,492,-6180,2520
127,AMT,2020-09-30,0 days 15:57:56.122884,683161,241.59,241.52,225,383,2520,-6180
128,AMT,2020-09-30,0 days 15:57:57.123357,678945,241.64,241.54,100,269,-4216,2520
129,AMT,2020-09-30,0 days 15:57:58.122750,677061,241.64,241.54,100,269,1884,-4216
130,AMT,2020-09-30,0 days 15:58:00.125217,680145,241.67,241.56,100,240,-2116,3084
131,AMT,2020-09-30,0 days 15:58:01.125562,678161,241.71,241.58,225,278,1984,-2116
132,AMT,2020-09-30,0 days 15:58:05.124643,681045,241.71,241.58,425,1046,-816,2084
133,AMT,2020-09-30,0 days 15:58:06.125588,678961,241.71,241.6,525,306,2084,-816
134,AMT,2020-09-30,0 days 15:58:07.124716,684457,241.71,241.6,425,214,-1204,2084
135,AMT,2020-09-30,0 days 15:58:09.125519,670995,241.83,241.69,100,409,2621,-6145
136,AMT,2020-09-30,0 days 15:58:12.124909,675077,241.82,241.72,225,1021,-1878,822
137,AMT,2020-09-30,0 days 15:58:13.125416,673955,241.81,241.75,100,296,1122,-1878
138,AMT,2020-09-30,0 days 15:58:14.124884,675777,241.8,241.72,282,942,-2878,1122
139,AMT,2020-09-30,0 days 15:58:15.125202,674555,241.8,241.72,100,743,1222,-2878
140,AMT,2020-09-30,0 days 15:58:17.124708,656536,241.9,241.8,301,196,-18360,1222
141,AMT,2020-09-30,0 days 15:58:25.126423,664055,241.76,241.68,326,100,10875,-7860
142,AMT,2020-09-30,0 days 15:58:54.127478,670329,241.82,241.75,241,400,-4667,833
143,AMT,2020-09-30,0 days 15:59:03.129198,676485,241.91,241.81,183,100,959,-5924
144,AMT,2020-09-30,0 days 15:59:59.133046,713784,241.75,241.63,100,166,-3064,19691
145,AMT,2020-09-30,0 days 16:00:00.204526,716882,241.73,241.51,100,100,30244,-3064
146,AMX,2020-09-30,0 days 15:59:16.240753,153043,12.5,12.49,23489,9335,-28502,45842
147,AMX,2020-09-30,0 days 15:59:17.239297,181545,12.5,12.49,27599,4035,73185,-28502
148,AMX,2020-09-30,0 days 15:59:18.236447,175030,12.5,12.49,26935,4277,-6215,73185
149,AMX,2020-09-30,0 days 15:59:28.229430,181545,12.5,12.49,24035,7996,20268,-2315
150,AMX,2020-09-30,0 days 15:59:29.229459,176913,12.5,12.49,24035,9096,-4332,20268
151,AMX,2020-09-30,0 days 15:59:43.231212,193866,12.5,12.49,35696,1457,14241,-3721
152,AMX,2020-09-30,0 days 15:59:44.230723,190907,12.5,12.49,35696,1057,-2659,14241
153,AMX,2020-09-30,0 days 15:59:46.231854,193866,12.5,12.49,32100,4799,29456,-2389
154,AMX,2020-09-30,0 days 15:59:47.231147,192522,12.5,12.49,29300,6033,-1044,29456
155,AMX,2020-09-30,0 days 15:59:48.231896,195072,12.5,12.49,29486,6009,44097,-1044
156,ANF,2020-09-30,0 days 15:55:05.148436,167769,13.96,13.95,3499,1400,-5450,3350
157,ANF,2020-09-30,0 days 15:55:06.147334,166519,13.96,13.95,3999,600,1250,-5450
158,ANF,2020-09-30,0 days 15:55:52.151289,179758,13.94,13.93,4094,4436,-7960,3040
159,ANF,2020-09-30,0 days 15:55:53.150601,178218,13.94,13.93,3694,4836,1540,-7960
160,ANF,2020-09-30,0 days 15:55:55.150598,179768,13.94,13.93,5198,4836,-3477,1540
161,ANF,2020-09-30,0 days 15:55:56.150795,178745,13.94,13.93,3751,6358,1023,-3477
162,ANF,2020-09-30,0 days 15:57:55.151388,180512,13.94,13.93,4657,5139,-1433,1467
163,ANF,2020-09-30,0 days 15:57:56.151061,179545,13.94,13.93,4157,5039,967,-1433
164,ANF,2020-09-30,0 days 15:58:10.152467,180330,13.95,13.94,3849,3319,318,-18
165,ANF,2020-09-30,0 days 15:58:11.152802,180648,13.95,13.94,1923,4052,-1101,318
166,ANF,2020-09-30,0 days 15:58:12.152610,179849,13.95,13.94,3776,2651,799,-1101
167,ANF,2020-09-30,0 days 15:58:52.153516,181748,13.94,13.93,2103,13072,-4254,746
168,AR,2020-09-30,0 days 15:57:14.121825,310405,2.76,2.75,35320,31013,263,-4637
169,AR,2020-09-30,0 days 15:57:31.122851,305434,2.76,2.75,42186,28385,-4971,263
170,AR,2020-09-30,0 days 15:57:46.122849,310405,2.76,2.75,45286,21413,11763,-4971
171,AR,2020-09-30,0 days 15:57:47.122826,306868,2.76,2.75,42386,20513,-3537,11763
172,AR,2020-09-30,0 days 15:58:13.125196,320205,2.76,2.75,37579,25885,5430,-4437
173,AR,2020-09-30,0 days 15:58:14.124602,316735,2.76,2.75,42179,24813,-3470,5430
174,AR,2020-09-30,0 days 15:59:19.128261,318245,2.75,2.74,41405,48733,-3524,2508
175,ARCO,2020-09-30,0 days 15:59:19.128191,35275,4.11,4.1,2312,2165,56,-2620
176,ARCO,2020-09-30,0 days 15:59:47.130379,34631,4.11,4.1,3464,2674,-644,3456
177,ARMK,2020-09-30,0 days 15:59:30.247616,590203,26.49,26.48,442,1209,9085,-15388
178,ARMK,2020-09-30,0 days 15:59:31.242882,587088,26.49,26.48,424,1841,-3015,9085
179,ARMK,2020-09-30,0 days 15:59:45.243962,590103,26.49,26.48,1586,659,1585,-1715
180,ARMK,2020-09-30,0 days 15:59:47.242216,584926,26.49,26.48,686,1591,-5214,13398
