,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-02-11,0 days 15:55:39.299957,119544,15.74,15.73,9160,6617,1336,-1022
1,AA,2020-02-11,0 days 15:55:40.301977,119080,15.74,15.73,9360,6788,-464,1336
2,AA,2020-02-11,0 days 15:55:54.335409,119044,15.74,15.73,3007,11349,36,-464
3,AA,2020-02-11,0 days 15:55:55.338107,118580,15.74,15.73,3007,10887,-464,36
4,AA,2020-02-11,0 days 15:57:07.512541,125633,15.75,15.74,11424,3105,3553,-1247
5,AA,2020-02-11,0 days 15:57:08.515008,124886,15.75,15.74,13524,3327,-747,3553
6,AA,2020-02-11,0 days 15:57:21.546588,121568,15.73,15.72,8000,4700,4482,-367
7,AA,2020-02-11,0 days 15:57:22.548607,118750,15.73,15.72,7800,4600,-2818,4482
8,AA,2020-02-11,0 days 15:58:07.659159,125504,15.71,15.7,9058,4748,1261,-1103
9,AA,2020-02-11,0 days 15:58:10.666012,122165,15.72,15.71,7210,4633,-3339,1261
10,AA,2020-02-11,0 days 15:58:18.685753,125504,15.72,15.71,8248,2632,561,-439
11,AA,2020-02-11,0 days 15:58:19.687780,125065,15.72,15.71,8248,2732,-439,561
12,AA,2020-02-11,0 days 15:58:40.738877,125201,15.71,15.7,5847,4606,-303,2061
13,AA,2020-02-11,0 days 15:58:41.741323,125504,15.71,15.7,5947,4706,2797,-303
14,AA,2020-02-11,0 days 15:59:29.858397,147686,15.73,15.72,3325,14087,-938,2762
15,ABBV,2020-02-11,0 days 15:55:05.109065,1035249,95.91,95.89,2572,1700,-1222,1261
16,ABBV,2020-02-11,0 days 15:55:06.111239,1034271,95.91,95.89,2018,2524,978,-1222
17,ABBV,2020-02-11,0 days 15:56:12.270681,1048526,95.85,95.83,2161,2615,-1351,1308
18,ABBV,2020-02-11,0 days 15:56:13.273116,1046800,95.84,95.83,1200,2164,1726,-1351
19,ABBV,2020-02-11,0 days 15:56:45.350862,1056532,95.84,95.83,1810,2476,-47368,6132
20,ABBV,2020-02-11,0 days 15:56:46.352913,1052700,95.84,95.83,1497,2436,3832,-47368
21,ABBV,2020-02-11,0 days 15:58:41.633507,1203750,95.86,95.85,1784,3485,-2726,11374
22,ABBV,2020-02-11,0 days 15:58:42.635844,1202976,95.87,95.86,1411,371,774,-2726
