,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-11-20,0 days 15:55:00.563005,259449,18.89,18.88,6918,3508,-120107,125907
1,AA,2020-11-20,0 days 15:57:48.567581,287894,18.86,18.85,8977,1500,1235,-10465
2,AA,2020-11-20,0 days 15:58:53.570461,251049,18.84,18.83,2900,2964,56171,-214452
3,AA,2020-11-20,0 days 15:58:54.570885,303759,18.86,18.85,4300,7300,-7890,56171
4,ABBV,2020-11-20,0 days 15:58:37.596204,734174,100.82,100.8,200,1500,1491,-1293
5,ABBV,2020-11-20,0 days 15:58:39.597572,715706,100.84,100.83,196,260,-20058,1491
6,ABBV,2020-11-20,0 days 15:58:45.596518,734174,100.82,100.8,500,1000,2191,-15957
7,ABBV,2020-11-20,0 days 15:58:48.597262,719665,100.84,100.82,1010,2300,-16073,2075
8,ABBV,2020-11-20,0 days 15:59:06.598629,749039,100.83,100.81,100,540,12303,-4734
9,ABBV,2020-11-20,0 days 15:59:11.600137,682170,100.83,100.81,410,100,-66727,9804
10,ABBV,2020-11-20,0 days 15:59:33.597303,779020,100.84,100.81,200,716,23362,-38768
11,ABBV,2020-11-20,0 days 15:59:34.596946,774323,100.84,100.82,100,300,-6287,23362
12,ABBV,2020-11-20,0 days 15:59:40.598242,778295,100.83,100.81,300,300,-2173,15746
13,ABBV,2020-11-20,0 days 15:59:41.597276,779020,100.82,100.79,200,800,15975,-2173
14,ABBV,2020-11-20,0 days 16:00:00.595348,799659,101.46,100.83,100,100,-9995,5021
15,ABT,2020-11-20,0 days 15:59:15.264132,544232,111.09,111.07,520,100,-89426,54350
16,ABT,2020-11-20,0 days 15:59:43.264006,609035,110.9,110.87,1212,600,811,-4844
17,ABT,2020-11-20,0 days 15:59:47.264718,607591,110.95,110.89,200,900,-5919,4956
18,ABT,2020-11-20,0 days 15:59:50.267931,609003,110.9,110.87,100,300,-1371,2229
19,ADT,2020-11-20,0 days 15:55:51.254568,174605,7.76,7.75,13372,11037,-3779,2021
20,ADT,2020-11-20,0 days 15:55:52.255700,173284,7.76,7.75,18172,11247,1321,-3779
21,ADT,2020-11-20,0 days 15:56:11.255434,174605,7.77,7.76,8360,15828,-117,483
22,ADT,2020-11-20,0 days 15:56:12.255705,172022,7.77,7.76,7960,17836,2583,-117
23,ADT,2020-11-20,0 days 15:56:53.257683,174635,7.78,7.77,7110,13542,-307,613
24,ADT,2020-11-20,0 days 15:56:54.257445,173842,7.78,7.77,6810,13542,793,-307
25,ADT,2020-11-20,0 days 15:57:44.258507,174635,7.78,7.77,4341,17177,-1207,1493
26,AEO,2020-11-20,0 days 15:55:00.242556,166216,16.97,16.96,6321,1565,1138,-3131
27,AEO,2020-11-20,0 days 15:55:44.244402,170754,16.98,16.97,1549,6061,-189,952
28,AEO,2020-11-20,0 days 15:55:45.243912,169843,16.98,16.97,2149,5556,911,-189
29,AEO,2020-11-20,0 days 15:56:12.245132,170795,16.97,16.96,6967,2202,-7407,293
30,AEO,2020-11-20,0 days 15:56:13.245865,170302,16.96,16.95,5600,911,493,-7407
31,AEO,2020-11-20,0 days 15:56:53.246662,171595,16.94,16.93,4487,2507,-1927,493
32,AEO,2020-11-20,0 days 15:56:54.246438,168922,16.94,16.93,4387,2607,2673,-1927
33,AEO,2020-11-20,0 days 15:57:11.246786,171769,16.94,16.93,2492,3921,-176,324
34,AEO,2020-11-20,0 days 15:57:12.246691,169045,16.94,16.93,2692,3553,2724,-176
35,AEO,2020-11-20,0 days 15:58:28.250184,180890,16.94,16.93,4927,4987,-813,687
36,AEO,2020-11-20,0 days 15:58:29.250751,179903,16.94,16.93,4627,4987,987,-813
37,AEO,2020-11-20,0 days 15:59:05.252970,190072,16.94,16.93,1735,10726,-195,8905
38,AEO,2020-11-20,0 days 15:59:14.252964,190581,16.94,16.93,5659,4792,1524,-509
39,AEO,2020-11-20,0 days 15:59:40.252639,194399,16.94,16.93,8910,1900,2939,-3261
40,AES,2020-11-20,0 days 15:55:00.244312,298246,20.47,20.46,5200,5542,-1111,44211
