,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-07-22,0 days 15:59:15.798495,207911,96.32,96.29,416,200,-4247,6485
1,A,2020-07-22,0 days 15:59:21.811385,210258,96.31,96.29,138,361,78,-22
2,A,2020-07-22,0 days 15:59:26.823427,210336,96.31,96.29,650,200,-2022,78
3,A,2020-07-22,0 days 15:59:27.826049,210258,96.31,96.29,650,200,78,-2022
4,A,2020-07-22,0 days 15:59:31.836288,210336,96.34,96.32,250,359,-5915,78
5,AA,2020-07-22,0 days 15:58:47.824872,208183,13.09,13.08,14138,4905,2159,-7771
6,AA,2020-07-22,0 days 15:58:48.826845,201242,13.09,13.08,13395,7353,-3241,2159
7,AA,2020-07-22,0 days 15:59:21.906306,215016,13.08,13.07,19612,5300,212,-488
8,AA,2020-07-22,0 days 15:59:23.910229,212631,13.08,13.07,21012,7903,-2385,212
9,ABBV,2020-07-22,0 days 15:59:15.788753,451404,97.7,97.69,597,300,-3804,29960
10,ABBV,2020-07-22,0 days 15:59:19.798173,454708,97.68,97.66,300,1071,9604,-3052
11,ABBV,2020-07-22,0 days 15:59:24.810353,469239,97.7,97.69,400,300,-3642,8758
12,ABBV,2020-07-22,0 days 15:59:25.812478,467607,97.7,97.68,600,500,1632,-3642
13,ABBV,2020-07-22,0 days 15:59:44.854487,498026,97.67,97.66,295,496,-1469,491
14,ABBV,2020-07-22,0 days 15:59:46.858978,497002,97.68,97.66,600,696,1034,-4076
15,ABBV,2020-07-22,0 days 15:59:59.892943,474099,97.72,97.68,400,100,-8558,22581
16,ABEV,2020-07-22,0 days 15:59:36.764824,118396,2.9,2.89,626574,609995,-57503,67497
17,ABEV,2020-07-22,0 days 15:59:37.767839,114999,2.9,2.89,630774,607645,3397,-57503
18,ABT,2020-07-22,0 days 15:55:45.210096,425620,100.31,100.3,800,103,21,-176
19,ABT,2020-07-22,0 days 15:56:02.250237,425447,100.3,100.29,276,1075,-173,21
20,ABT,2020-07-22,0 days 15:56:05.257933,427820,100.3,100.29,509,600,727,-2373
21,ABT,2020-07-22,0 days 15:56:13.276788,419792,100.32,100.31,300,443,-8525,130
22,ABT,2020-07-22,0 days 15:58:26.597647,437371,100.35,100.34,288,588,272,-28
23,ABT,2020-07-22,0 days 15:58:35.618860,437943,100.35,100.34,718,300,-4828,572
24,ABT,2020-07-22,0 days 15:59:01.682780,441744,100.3,100.29,1306,791,1658,-2884
25,ABT,2020-07-22,0 days 15:59:03.687894,443309,100.31,100.3,700,1338,-175,1525
26,ABT,2020-07-22,0 days 15:59:17.719383,456493,100.23,100.22,900,300,808,-2753
27,ABT,2020-07-22,0 days 15:59:20.726374,433864,100.27,100.26,426,100,-22629,12303
28,ABT,2020-07-22,0 days 15:59:27.743419,459807,100.26,100.25,100,483,1548,-3272
29,ABT,2020-07-22,0 days 15:59:31.753711,460755,100.27,100.26,303,1400,-10534,948
30,ABT,2020-07-22,0 days 15:59:40.776255,471289,100.22,100.21,734,260,9624,-10074
31,ABT,2020-07-22,0 days 15:59:41.777647,467413,100.22,100.21,600,200,-3876,9624
32,ABT,2020-07-22,0 days 15:59:45.787930,471294,100.2,100.19,600,942,2258,-5777
33,ABT,2020-07-22,0 days 15:59:48.793565,469336,100.26,100.24,200,1514,-2537,5978
34,ACB,2020-07-22,0 days 15:59:05.719122,15940,11.18,11.17,1325,529,1100,-1310
35,ACB,2020-07-22,0 days 15:59:06.721286,13440,11.18,11.17,1225,637,-2500,1100
36,ACI,2020-07-22,0 days 15:55:00.099973,7630,16.0,15.99,2015,1053,-4016,338
37,ACI,2020-07-22,0 days 15:59:05.693640,10580,16.0,15.99,350,1310,171,-329
38,ACI,2020-07-22,0 days 15:59:36.764824,10751,16.0,15.99,100,9709,-29,171
39,ACI,2020-07-22,0 days 15:59:37.767881,10680,16.0,15.99,100,9709,71,-29
40,ADS,2020-07-22,0 days 15:55:04.234713,67687,42.37,42.35,177,578,453,-547
41,ADS,2020-07-22,0 days 15:57:00.506029,68477,42.55,42.53,600,306,-42,52
42,ADS,2020-07-22,0 days 15:57:03.513030,68519,42.54,42.51,300,100,158,-42
43,ADS,2020-07-22,0 days 15:57:15.542418,68677,42.52,42.49,613,300,-346,158
44,ADS,2020-07-22,0 days 15:57:33.586313,69023,42.5,42.48,106,532,354,-346
45,ADS,2020-07-22,0 days 15:57:58.643211,68104,42.55,42.51,400,605,-1019,181
46,ADS,2020-07-22,0 days 15:58:10.673612,70623,42.53,42.48,100,200,1381,-219
47,ADS,2020-07-22,0 days 15:58:11.675268,70304,42.53,42.48,100,200,-319,1381
48,ADS,2020-07-22,0 days 15:59:23.847365,70845,42.68,42.53,100,100,-815,236
49,ADS,2020-07-22,0 days 15:59:24.849831,71660,42.68,42.52,300,213,185,-815
50,ADS,2020-07-22,0 days 15:59:32.869356,73345,42.63,42.57,200,100,-213,185
51,AEG,2020-07-22,0 days 15:59:00.706330,3297,3.15,3.14,40230,190381,-2555,1047
52,AEO,2020-07-22,0 days 15:55:24.284256,233607,10.08,10.07,11777,6036,-672,8228
53,AEO,2020-07-22,0 days 15:55:25.286672,226379,10.07,10.06,11950,9119,7228,-672
54,AEO,2020-07-22,0 days 15:59:15.829114,243845,10.1,10.09,34363,4477,-4757,6362
55,AEO,2020-07-22,0 days 15:59:16.830806,241402,10.09,10.08,6995,11360,2443,-4757
56,AEO,2020-07-22,0 days 15:59:44.899372,243945,10.09,10.08,15051,16749,-83,739
57,AES,2020-07-22,0 days 15:59:07.878903,977567,15.6,15.59,15744,6612,634,-10058
58,AES,2020-07-22,0 days 15:59:16.899864,972939,15.61,15.6,13662,8143,-4652,211712
59,AES,2020-07-22,0 days 15:59:30.934516,996520,15.61,15.6,12877,6006,-2271,10329
60,AES,2020-07-22,0 days 15:59:40.958017,1012466,15.6,15.59,11177,10853,631,-1419
61,AES,2020-07-22,0 days 15:59:43.964999,1011623,15.6,15.59,8416,13553,-843,3457
62,AES,2020-07-22,0 days 15:59:44.969000,1012466,15.6,15.59,8416,13653,267,-843
63,AFL,2020-07-22,0 days 15:55:18.167854,177089,36.66,36.65,1644,3100,-9313,1123
64,AFL,2020-07-22,0 days 15:55:19.170391,176102,36.66,36.65,1845,3400,987,-9313
65,AFL,2020-07-22,0 days 15:55:23.180845,177089,36.66,36.65,2237,2900,-3713,787
66,AFL,2020-07-22,0 days 15:55:24.183811,176602,36.65,36.64,1258,2300,487,-3713
67,AFL,2020-07-22,0 days 15:56:26.332246,177381,36.68,36.67,1958,1659,-50,21
68,AFL,2020-07-22,0 days 15:56:27.334295,176931,36.68,36.67,2358,1459,488,-50
69,AFL,2020-07-22,0 days 15:56:31.343972,177419,36.68,36.67,1228,2956,-178,488
70,AFL,2020-07-22,0 days 15:56:32.346782,176997,36.68,36.67,2124,1756,422,-178
71,AFL,2020-07-22,0 days 15:57:22.466896,177421,36.69,36.68,610,3361,-228,72
72,AFL,2020-07-22,0 days 15:57:33.493704,178049,36.69,36.68,2193,3033,172,-628
73,AFL,2020-07-22,0 days 15:57:57.552226,186307,36.7,36.69,1801,868,-442,1358
74,AFL,2020-07-22,0 days 15:57:58.553776,185349,36.7,36.69,1901,968,658,-442
75,AFL,2020-07-22,0 days 15:58:00.560727,184989,36.7,36.69,2301,922,-360,658
76,AFL,2020-07-22,0 days 15:58:01.562792,184249,36.7,36.69,2601,1018,440,-360
77,AFL,2020-07-22,0 days 15:59:04.716760,187504,36.67,36.66,2849,800,-7171,300
78,AFL,2020-07-22,0 days 15:59:11.732882,193575,36.67,36.66,2569,1842,-1750,3730
79,AFL,2020-07-22,0 days 15:59:36.782793,197436,36.66,36.65,1006,3302,-279,521
80,AFL,2020-07-22,0 days 15:59:50.818454,195087,36.66,36.65,1510,1500,2349,-471
81,AGI,2020-07-22,0 days 15:55:42.273237,45971,11.09,11.08,15404,7104,-1149,1874
82,AGI,2020-07-22,0 days 15:55:43.276093,44220,11.09,11.08,15504,7304,1751,-1149
83,AGI,2020-07-22,0 days 15:58:52.732971,45133,11.08,11.07,28769,147,-87,913
84,AGI,2020-07-22,0 days 15:58:53.735487,43520,11.08,11.07,28769,146,1613,-87
85,AIG,2020-07-22,0 days 15:59:15.898795,562082,32.21,32.2,2711,100,-5765,5385
86,AIG,2020-07-22,0 days 15:59:16.900078,554747,32.21,32.19,4706,4100,7335,-5765
87,AIG,2020-07-22,0 days 15:59:46.972209,617458,32.18,32.17,445,2287,-9342,12573
88,ALLY,2020-07-22,0 days 15:55:18.268720,142652,21.44,21.43,3441,9561,-11267,3222
