,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-11-16,0 days 15:55:01.250751,218305,17.55,17.54,1938,19049,959,-4041
1,AA,2020-11-16,0 days 15:57:21.253448,234152,17.57,17.56,4392,4515,961,-539
2,AA,2020-11-16,0 days 15:59:44.249801,406286,17.64,17.63,1561,9500,3623,-25577
3,ABBV,2020-11-16,0 days 15:59:33.132114,1208342,98.49,98.47,500,400,41714,-9322
4,ABBV,2020-11-16,0 days 15:59:35.130310,1247856,98.5,98.48,200,785,-5986,49222
5,ABBV,2020-11-16,0 days 15:59:47.122944,1266783,98.48,98.47,400,100,-8658,49333
6,ABBV,2020-11-16,0 days 15:59:57.117577,1248241,98.46,98.35,500,1797,89792,-52427
7,ABEV,2020-11-16,0 days 15:58:07.269573,65152,2.87,2.86,578789,658626,11730,-23724
8,ACB,2020-11-16,0 days 15:59:08.261902,155758,6.81,6.8,4200,29554,-1037,2963
9,ACM,2020-11-16,0 days 15:55:00.152679,67244,50.58,50.46,210,700,-1513,16842
10,ACM,2020-11-16,0 days 15:55:01.153420,66157,50.58,50.46,210,700,1087,-1513
11,ACM,2020-11-16,0 days 15:57:46.151185,69861,50.49,50.46,482,500,-2439,161
12,ACM,2020-11-16,0 days 15:57:47.150463,69400,50.49,50.46,482,400,461,-2439
13,ACM,2020-11-16,0 days 15:58:10.151198,72361,50.5,50.48,200,637,-1898,802
14,ACM,2020-11-16,0 days 15:58:11.150877,71759,50.5,50.48,200,637,602,-1898
15,ACM,2020-11-16,0 days 15:58:23.150952,72361,50.5,50.46,112,1000,-1461,1139
16,ACM,2020-11-16,0 days 15:58:24.151271,72322,50.5,50.46,112,1000,39,-1461
17,ACM,2020-11-16,0 days 15:58:48.152991,72361,50.5,50.48,142,100,-1461,3439
18,ACM,2020-11-16,0 days 15:58:49.153131,72322,50.5,50.47,142,302,339,-1461
19,ACM,2020-11-16,0 days 15:59:15.153541,77460,50.56,50.49,100,100,-571,329
20,ACM,2020-11-16,0 days 15:59:18.130046,76957,50.61,50.49,100,100,503,-397
21,ACM,2020-11-16,0 days 15:59:32.132131,83044,50.56,50.5,100,400,-1904,1054
22,ACM,2020-11-16,0 days 15:59:33.132087,82648,50.56,50.48,100,348,396,-1904
23,ACM,2020-11-16,0 days 15:59:47.122866,82627,50.59,50.5,900,1100,417,-2783
24,ADT,2020-11-16,0 days 15:59:18.271305,256250,7.59,7.58,5908,3332,14803,-16722
25,ADT,2020-11-16,0 days 15:59:40.274023,256250,7.59,7.58,5635,12435,687,-2113
26,ADT,2020-11-16,0 days 15:59:47.276648,251664,7.59,7.58,5535,12785,-4586,18414
27,AEO,2020-11-16,0 days 15:59:27.288024,242077,16.02,16.01,3437,7129,4391,-2009
28,AEO,2020-11-16,0 days 15:59:40.288593,245477,16.03,16.02,2100,6029,991,-11609
29,AER,2020-11-16,0 days 15:56:05.237336,75768,39.27,39.25,1578,2440,-2393,1207
30,AER,2020-11-16,0 days 15:56:06.237383,74061,39.27,39.25,1678,2440,1707,-2393
31,AER,2020-11-16,0 days 15:56:09.237335,76806,39.27,39.25,1678,2440,-334,1472
32,AER,2020-11-16,0 days 15:56:10.237538,75240,39.27,39.25,1594,2440,1666,-334
33,AER,2020-11-16,0 days 15:57:26.234843,81092,39.28,39.26,509,500,-932,568
34,AER,2020-11-16,0 days 15:57:27.234661,79624,39.28,39.26,509,300,1468,-932
35,AER,2020-11-16,0 days 15:57:35.235013,81092,39.28,39.26,737,600,-2132,1468
36,AER,2020-11-16,0 days 15:57:36.235175,79924,39.28,39.26,741,600,1168,-2132
37,AER,2020-11-16,0 days 15:58:58.238877,82320,39.33,39.3,100,200,-28,155
38,AER,2020-11-16,0 days 15:58:59.238982,81248,39.32,39.3,426,300,1182,-28
39,AER,2020-11-16,0 days 15:59:20.238626,86099,39.32,39.3,591,287,-20459,1051
40,AER,2020-11-16,0 days 15:59:34.239419,107402,39.28,39.25,1100,300,16147,-20853
41,AER,2020-11-16,0 days 15:59:35.239060,105649,39.32,39.28,100,787,-1753,16147
42,AES,2020-11-16,0 days 15:59:20.052618,789800,21.35,21.34,657,13810,51319,-150441
43,AES,2020-11-16,0 days 15:59:21.051542,767195,21.35,21.34,6800,6599,-18405,51319
44,AES,2020-11-16,0 days 15:59:25.051735,789800,21.35,21.34,7071,6098,15038,-10905
45,AES,2020-11-16,0 days 15:59:26.051202,776901,21.35,21.34,6472,7823,-8699,15038
46,AES,2020-11-16,0 days 15:59:50.060024,721555,21.36,21.35,5000,6989,-119431,769
47,AFL,2020-11-16,0 days 15:59:04.266310,601416,43.19,43.18,1800,1200,-8103,10459
48,AFL,2020-11-16,0 days 15:59:05.260990,589958,43.18,43.17,2400,2136,11458,-8103
49,AFL,2020-11-16,0 days 15:59:18.261785,601610,43.18,43.17,812,4036,-6879,4470
50,AFL,2020-11-16,0 days 15:59:24.253291,601910,43.19,43.18,2312,2093,-2353,6781
51,AFL,2020-11-16,0 days 15:59:25.253951,597563,43.19,43.18,1912,1493,4648,-2353
52,AFL,2020-11-16,0 days 15:59:39.254886,610500,43.21,43.2,500,2965,2463,-2937
53,AFL,2020-11-16,0 days 15:59:46.255091,624623,43.23,43.22,797,4674,-20275,2149
54,AG,2020-11-16,0 days 15:59:46.053137,42488,10.91,10.9,8741,35724,-1258,1242
55,AG,2020-11-16,0 days 15:59:47.053413,41746,10.91,10.9,7431,36024,742,-1258
56,AHT,2020-11-16,0 days 15:56:34.287522,13429,4.05,4.04,914,700,-6302,1020
57,AIG,2020-11-16,0 days 15:56:28.043409,449382,38.32,38.31,2405,3829,-151,8349
58,AIG,2020-11-16,0 days 15:56:47.044416,440033,38.3,38.29,3168,1801,9349,-351
59,AIG,2020-11-16,0 days 15:57:27.044970,453630,38.47,38.46,687,3542,-5336,6154
60,AIG,2020-11-16,0 days 15:57:28.044635,445666,38.45,38.44,496,781,7964,-5336
61,AIG,2020-11-16,0 days 15:57:40.045235,453710,38.42,38.41,700,1800,-697,4703
62,AIG,2020-11-16,0 days 15:57:41.045108,451698,38.42,38.41,440,1500,2012,-697
63,AIG,2020-11-16,0 days 15:58:17.047328,454125,38.41,38.4,630,2200,-4527,4000
64,AIG,2020-11-16,0 days 15:58:19.047786,449825,38.41,38.4,1170,1704,4300,-2227
65,AIG,2020-11-16,0 days 15:58:21.047644,454125,38.41,38.4,1311,1704,-2527,4300
66,AIG,2020-11-16,0 days 15:58:22.047743,449825,38.41,38.4,1745,1204,4300,-2527
67,AIG,2020-11-16,0 days 15:58:24.047699,454125,38.41,38.4,1811,1004,-3127,4300
68,AIG,2020-11-16,0 days 15:58:25.048723,449825,38.41,38.4,1745,1577,4300,-3127
69,AIG,2020-11-16,0 days 15:59:15.051201,496196,38.49,38.48,843,1198,3946,-17910
70,AIG,2020-11-16,0 days 15:59:23.051164,501039,38.49,38.48,1394,136,-8489,957
