,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-09-22,0 days 15:55:00.236659,161659,12.21,12.2,25535,11295,3786,-19980
1,ABB,2020-09-22,0 days 15:57:32.888948,10616,25.2,25.19,8745,10897,-362,718
2,ABB,2020-09-22,0 days 15:59:36.897395,19144,25.2,25.19,21113,4234,423,-1077
3,ABBV,2020-09-22,0 days 15:59:32.248213,685044,88.58,88.57,1000,400,18160,-15648
4,ABEV,2020-09-22,0 days 15:59:38.225357,56315,2.36,2.35,1424834,579872,52,-448
5,ABEV,2020-09-22,0 days 15:59:47.225394,56367,2.36,2.35,1398969,576455,-125,52
6,ABEV,2020-09-22,0 days 15:59:48.225919,56292,2.36,2.35,1398969,576455,75,-125
7,ABR,2020-09-22,0 days 15:55:46.229254,32653,11.44,11.43,1100,1263,222,-378
8,ABR,2020-09-22,0 days 15:55:47.229217,32275,11.44,11.43,600,1463,-378,222
9,ABR,2020-09-22,0 days 15:58:01.234157,31736,11.43,11.42,1414,2205,2339,-482
10,ABR,2020-09-22,0 days 15:58:02.234196,29775,11.43,11.42,1414,2100,-1961,2339
11,ABR,2020-09-22,0 days 15:58:10.234766,31736,11.44,11.42,2262,3405,3893,-1961
12,ABR,2020-09-22,0 days 15:59:36.238941,43733,11.46,11.45,1700,2010,-774,450
13,ABR,2020-09-22,0 days 15:59:37.239140,43407,11.46,11.45,2700,510,326,-774
14,ABT,2020-09-22,0 days 15:55:00.216763,585023,104.79,104.78,208,878,4747,-89731
15,ABT,2020-09-22,0 days 15:55:52.217971,591890,104.89,104.87,200,200,1433,-537
16,ABT,2020-09-22,0 days 15:58:29.224038,636706,104.84,104.83,200,600,-5,3495
17,ABT,2020-09-22,0 days 15:58:30.223889,634211,104.83,104.81,636,639,2495,-5
18,ABT,2020-09-22,0 days 15:59:39.225369,669926,104.83,104.81,357,500,-1147,8087
19,ABT,2020-09-22,0 days 15:59:40.225306,668273,104.83,104.81,757,700,1953,-1147
20,ACM,2020-09-22,0 days 15:57:48.242235,173626,38.62,38.61,532,100,-664,526
21,ACM,2020-09-22,0 days 15:57:49.242029,171590,38.62,38.6,532,900,2036,-664
22,ACM,2020-09-22,0 days 15:59:20.248248,182331,38.6,38.59,114,280,-2910,1380
23,ACM,2020-09-22,0 days 15:59:46.249409,185915,38.58,38.57,538,100,428,-3256
24,ACN,2020-09-22,0 days 15:59:45.898381,294978,236.99,236.92,125,575,-2992,2431
25,ACN,2020-09-22,0 days 15:59:48.897064,294606,236.96,236.91,123,100,372,-1792
26,ADM,2020-09-22,0 days 15:55:00.886142,1401502,46.8,46.79,3094,473,526390,-939282
27,ADM,2020-09-22,0 days 15:58:58.892919,1957652,46.97,46.96,1053,100,-13743,34420
28,ADM,2020-09-22,0 days 15:58:59.894203,1945095,46.95,46.94,800,500,13528,-13743
29,ADM,2020-09-22,0 days 15:59:04.894955,1960294,46.96,46.95,205,800,-35501,12262
30,ADM,2020-09-22,0 days 15:59:05.895810,1923958,46.94,46.93,3099,2159,35721,-35501
31,ADM,2020-09-22,0 days 15:59:06.895354,1959323,46.96,46.95,805,1448,-11351,35721
32,ADM,2020-09-22,0 days 15:59:11.895303,1953931,46.99,46.98,500,451,5836,-23881
33,ADM,2020-09-22,0 days 15:59:13.894952,1959767,47.0,46.99,550,499,-10564,5836
34,ADM,2020-09-22,0 days 15:59:14.895227,1953531,46.99,46.98,200,1000,6236,-10564
35,ADM,2020-09-22,0 days 15:59:17.895441,1959767,47.0,46.99,302,900,-17683,7388
36,ADM,2020-09-22,0 days 15:59:18.895760,1954150,46.99,46.98,213,1300,5617,-17683
37,ADT,2020-09-22,0 days 15:59:47.225534,335719,8.64,8.63,4855,9284,2308,-17492
38,AEM,2020-09-22,0 days 15:57:33.241845,95941,78.98,78.94,420,1100,82,-518
39,AEM,2020-09-22,0 days 15:57:34.241673,95523,78.98,78.94,420,1100,-418,82
40,AEM,2020-09-22,0 days 15:57:46.241749,95941,78.97,78.95,100,100,682,-218
41,AEM,2020-09-22,0 days 15:57:47.242849,95823,78.98,78.96,300,400,-118,682
42,AEM,2020-09-22,0 days 15:57:51.242160,95941,78.98,78.96,100,400,382,-218
43,AEM,2020-09-22,0 days 15:58:01.243526,98023,79.01,78.98,100,400,-318,282
44,AEM,2020-09-22,0 days 15:58:36.245308,96141,78.99,78.96,227,100,466,-534
45,AEM,2020-09-22,0 days 15:58:38.245549,95707,78.99,78.96,327,100,-434,466
46,AEM,2020-09-22,0 days 15:59:14.248246,97255,79.02,78.98,100,472,1698,-166
47,AEO,2020-09-22,0 days 15:57:34.286645,183552,14.0,13.99,4105,6764,-14949,11686
48,AEO,2020-09-22,0 days 15:57:48.287246,198501,14.0,13.99,7881,4926,151,-1149
49,AEO,2020-09-22,0 days 15:57:50.288102,197652,14.0,13.99,7981,4426,-849,851
50,AEO,2020-09-22,0 days 15:58:43.290087,374270,13.99,13.98,9826,10881,-15185,4409
51,AEO,2020-09-22,0 days 15:59:35.291484,397759,14.01,14.0,8503,16969,864,-1364
52,AEO,2020-09-22,0 days 15:59:47.291542,389516,14.0,13.99,14016,11941,-7978,10122
53,AEP,2020-09-22,0 days 15:59:36.225275,186936,79.84,79.83,528,200,617,-1941
54,AEP,2020-09-22,0 days 15:59:57.228564,186608,79.87,79.84,100,100,-786,1772
55,AES,2020-09-22,0 days 15:55:00.885158,695938,18.22,18.21,1230,15239,134377,-162446
56,AES,2020-09-22,0 days 15:55:01.883966,689715,18.24,18.23,8231,4060,-6223,134377
