,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-05-26,0 days 15:55:00.558419,236195,86.17,86.15,400,132,2330,-66059
1,A,2020-05-26,0 days 15:55:14.592859,239225,86.19,86.17,478,219,966,-81
2,A,2020-05-26,0 days 15:57:31.923769,237619,86.07,86.06,1700,296,-1406,94
3,A,2020-05-26,0 days 15:58:04.000265,251175,86.01,86.0,100,530,1644,-2956
4,A,2020-05-26,0 days 15:58:05.003221,251919,86.01,86.0,400,530,-835,1644
5,A,2020-05-26,0 days 15:59:10.161386,258048,86.02,86.0,100,900,263,-1394
6,AA,2020-05-26,0 days 15:55:01.741638,219534,8.77,8.76,20824,6907,5932,-6768
7,ABB,2020-05-26,0 days 15:57:36.928923,25619,19.4,19.39,9507,14880,-4129,6171
8,ABB,2020-05-26,0 days 15:57:37.931233,24848,19.4,19.39,11507,14880,771,-4129
9,ABB,2020-05-26,0 days 15:59:01.132676,25619,19.4,19.39,23982,2575,-3651,5049
10,ABB,2020-05-26,0 days 15:59:02.134460,25170,19.4,19.39,24382,2375,649,-3651
11,ABBV,2020-05-26,0 days 15:57:50.973097,3615386,90.44,90.41,436,730,15919,-4581
12,ABBV,2020-05-26,0 days 15:57:51.975826,3611302,90.49,90.48,200,100,-4084,15919
13,ABBV,2020-05-26,0 days 15:57:53.980265,3615386,90.46,90.44,500,1000,181,-4084
14,ABBV,2020-05-26,0 days 15:57:54.982810,3613767,90.48,90.46,1513,100,-1619,181
15,ABBV,2020-05-26,0 days 15:58:04.005559,3643702,90.46,90.45,120,2000,-10884,24717
16,ABBV,2020-05-26,0 days 15:58:05.009091,3634486,90.43,90.42,300,200,9917,-10884
17,ABBV,2020-05-26,0 days 15:58:25.056825,3669186,90.4,90.39,500,284,19699,-7936
18,ABBV,2020-05-26,0 days 15:58:28.064011,3669186,90.43,90.42,400,100,5052,-7836
19,ABBV,2020-05-26,0 days 15:58:37.086054,3661186,90.45,90.44,910,1305,4026,-3638
20,ABBV,2020-05-26,0 days 15:58:52.122225,3666886,90.4,90.39,100,100,4997,-8503
21,ABBV,2020-05-26,0 days 15:59:02.145533,3686544,90.35,90.34,203,1508,-2224,6501
22,ABBV,2020-05-26,0 days 15:59:03.148583,3681168,90.39,90.38,300,400,5150,-2224
23,ABBV,2020-05-26,0 days 15:59:08.160797,3670103,90.41,90.4,100,200,-12023,2586
24,ABBV,2020-05-26,0 days 15:59:09.162784,3666826,90.39,90.37,586,904,17712,-12023
25,ABEV,2020-05-26,0 days 15:59:46.241136,419289,2.36,2.35,452749,1148748,41476,-7819
26,ABEV,2020-05-26,0 days 15:59:47.243555,409265,2.36,2.35,376564,1160253,-10024,41476
27,ABT,2020-05-26,0 days 15:56:52.828290,1012108,89.27,89.25,2200,682,116046,-79279
28,ABT,2020-05-26,0 days 15:57:35.931389,1055354,89.28,89.26,701,985,-5380,2820
29,ABT,2020-05-26,0 days 15:57:36.934107,1050934,89.29,89.27,967,787,4320,-5380
30,ABT,2020-05-26,0 days 15:57:43.950708,1055254,89.3,89.29,1307,700,-280,2884
31,ABT,2020-05-26,0 days 15:57:44.953159,1056434,89.3,89.28,1720,2022,2984,-280
32,ABT,2020-05-26,0 days 15:57:49.965995,1052818,89.33,89.32,530,1100,-7416,3284
33,ABT,2020-05-26,0 days 15:57:50.968261,1050134,89.33,89.32,537,1000,2584,-7416
34,ABT,2020-05-26,0 days 15:57:55.979561,1050134,89.34,89.32,986,1538,2584,-9316
35,ABT,2020-05-26,0 days 15:57:56.982046,1052818,89.34,89.32,1200,1638,-1116,2584
36,ABT,2020-05-26,0 days 15:57:57.984957,1050134,89.32,89.31,1262,700,2684,-1116
37,ABT,2020-05-26,0 days 15:58:04.000930,1059018,89.3,89.29,1200,2228,-3716,3184
38,ABT,2020-05-26,0 days 15:58:05.004921,1055734,89.28,89.27,700,5800,3284,-3716
39,ABT,2020-05-26,0 days 15:58:07.009332,1062854,89.28,89.27,1787,901,-2080,3284
40,ABT,2020-05-26,0 days 15:58:08.011724,1059234,89.26,89.25,907,200,3620,-2080
41,ABT,2020-05-26,0 days 15:58:24.049696,1058963,89.33,89.31,400,513,-371,3665
42,ABT,2020-05-26,0 days 15:58:25.052557,1055734,89.33,89.31,1303,937,3129,-371
43,ABT,2020-05-26,0 days 15:58:33.071778,1045634,89.34,89.33,1082,1797,2229,-7871
44,ABT,2020-05-26,0 days 15:58:52.120434,1050934,89.26,89.25,400,100,2723,-2477
45,ABT,2020-05-26,0 days 15:59:03.144816,1068457,89.25,89.23,604,611,-8177,1209
46,ABT,2020-05-26,0 days 15:59:06.153137,1071634,89.22,89.21,500,300,14182,-1818
47,ABT,2020-05-26,0 days 15:59:12.165953,1077107,89.23,89.22,100,718,3933,-5767
48,ABT,2020-05-26,0 days 15:59:16.171909,1070040,89.26,89.25,301,200,-7067,3933
49,ABT,2020-05-26,0 days 15:59:17.171958,1067007,89.27,89.26,200,820,129360,-7067
50,ACB,2020-05-26,0 days 15:58:18.023005,3201,15.67,15.65,6214,5801,7667,-14
51,ADSW,2020-05-26,0 days 15:59:03.669721,131272,31.89,31.88,1203,2602,-4529,3971
52,ADSW,2020-05-26,0 days 15:59:04.671174,129101,31.89,31.88,1403,2002,2371,-4529
53,ADSW,2020-05-26,0 days 15:59:14.695523,137972,31.89,31.88,703,2440,-3256,2671
54,ADSW,2020-05-26,0 days 15:59:15.697155,135728,31.89,31.88,1503,710,2244,-3256
55,AEO,2020-05-26,0 days 15:55:30.637782,180604,9.51,9.5,31742,19524,-6814,2886
56,AEO,2020-05-26,0 days 15:55:31.640826,179118,9.51,9.5,32442,16765,1486,-6814
57,AEO,2020-05-26,0 days 15:57:49.972598,179446,9.52,9.51,12230,22732,1320,-280
58,AEO,2020-05-26,0 days 15:57:53.981896,180766,9.52,9.51,9575,24178,-380,1320
59,AEO,2020-05-26,0 days 15:57:54.984156,179446,9.52,9.51,7708,25131,1320,-380
60,AEO,2020-05-26,0 days 15:58:01.000964,180766,9.52,9.51,23034,27755,-380,1320
61,AEO,2020-05-26,0 days 15:58:02.002800,179446,9.52,9.51,25603,23242,1320,-380
62,AEO,2020-05-26,0 days 15:58:13.029358,183366,9.5,9.49,49919,18274,-5532,6968
63,AEO,2020-05-26,0 days 15:58:14.031485,173098,9.5,9.49,50819,18275,9968,-5532
64,AEO,2020-05-26,0 days 15:59:16.177345,187566,9.5,9.49,43670,25156,-786,945
65,AEO,2020-05-26,0 days 15:59:24.193739,184652,9.5,9.49,34231,25337,414,-1386
66,AEP,2020-05-26,0 days 15:58:01.997364,217789,79.99,79.98,566,420,-2671,12629
67,AEP,2020-05-26,0 days 15:58:45.105462,214732,79.93,79.91,292,303,1247,-3981
68,AEP,2020-05-26,0 days 15:58:46.103594,212179,79.93,79.92,489,500,-653,1247
69,AEP,2020-05-26,0 days 15:59:02.141942,210338,79.9,79.87,800,1415,-1794,3406
70,AEP,2020-05-26,0 days 15:59:04.148246,215332,79.94,79.91,900,300,3091,-10309
71,AEP,2020-05-26,0 days 15:59:05.150439,213323,79.92,79.91,400,200,-2009,3091
72,AEP,2020-05-26,0 days 15:59:09.160121,214632,79.88,79.87,518,100,193,-507
73,AEP,2020-05-26,0 days 15:59:11.165786,212740,79.9,79.89,100,600,-1892,5108
74,AEP,2020-05-26,0 days 15:59:34.214165,215245,79.93,79.92,264,882,-87,4813
75,AEP,2020-05-26,0 days 15:59:42.232402,215145,79.93,79.9,1546,896,-187,1613
76,AEP,2020-05-26,0 days 15:59:43.236245,215332,79.93,79.92,100,569,113,-187
77,AEP,2020-05-26,0 days 15:59:44.238097,215245,79.96,79.95,200,400,-5587,113
78,AEP,2020-05-26,0 days 15:59:46.241241,220832,79.96,79.93,300,1420,1813,-2915
79,AEP,2020-05-26,0 days 15:59:47.243654,220380,79.97,79.95,800,449,-452,1813
80,AES,2020-05-26,0 days 15:59:17.162732,535326,12.87,12.86,14833,24096,7328,-21338
81,AES,2020-05-26,0 days 15:59:18.164682,524754,12.87,12.86,13633,31722,-10572,7328
82,AES,2020-05-26,0 days 15:59:36.208815,537213,12.89,12.88,15218,17934,7660,-24551
83,AES,2020-05-26,0 days 15:59:47.235089,533386,12.88,12.87,19410,19138,-3827,8580
84,AFL,2020-05-26,0 days 15:55:00.559814,326974,36.23,36.22,2008,1218,-19872,22756
85,AFL,2020-05-26,0 days 15:55:57.700135,357556,36.21,36.2,1158,1401,1352,-2047
86,AFL,2020-05-26,0 days 15:55:58.703349,354908,36.21,36.2,1558,1101,-1748,1352
87,AFL,2020-05-26,0 days 15:57:06.868467,358893,36.17,36.16,2500,1121,915,-3085
88,AFL,2020-05-26,0 days 15:57:07.871303,356208,36.17,36.16,2600,2021,-2685,915
89,AFL,2020-05-26,0 days 15:58:11.003415,359293,36.15,36.14,4247,1920,1157,-1643
90,AFL,2020-05-26,0 days 15:58:14.010941,358105,36.15,36.14,5203,936,-788,1562
91,AFL,2020-05-26,0 days 15:58:15.012853,359293,36.14,36.13,1483,3004,1257,-788
92,AFL,2020-05-26,0 days 15:58:45.090280,356084,36.15,36.14,901,2144,-816,1984
93,AFL,2020-05-26,0 days 15:59:23.162823,357551,36.19,36.18,785,3035,3255,-654
94,AG,2020-05-26,0 days 15:56:55.830700,30935,9.18,9.17,14062,18747,-1963,2073
95,ALK,2020-05-26,0 days 15:55:06.580801,127716,34.99,34.96,523,1162,361,-1126
96,ALK,2020-05-26,0 days 15:55:07.583272,125977,34.98,34.96,200,1163,-1739,361
97,ALK,2020-05-26,0 days 15:59:08.160692,140322,35.06,35.03,700,723,-795,405
98,ALK,2020-05-26,0 days 15:59:10.165945,140017,35.03,35.02,300,200,305,-795
99,ALK,2020-05-26,0 days 15:59:50.252077,138400,35.02,35.0,100,3010,-1617,7683
