,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AFL,2020-04-09,0 days 15:57:32.907159,622937,38.09,38.08,1691,3626,336,-3655
1,AGN,2020-04-09,0 days 15:59:21.698977,596235,182.69,182.64,200,421,-31874,33269
2,AMC,2020-04-09,0 days 15:51:01.962550,24866,2.6,2.59,3004,9055,147793,-181838
3,AVTR,2020-04-09,0 days 15:54:32.011130,63695,13.92,13.89,700,611,-956,3010
4,BAC,2020-04-09,0 days 15:59:53.266726,4354908,24.88,24.87,45276,1500,42533,-73306
5,BBD,2020-04-09,0 days 15:58:54.098890,239734,4.38,4.37,169452,422029,-14662,36629
6,BDXA,2020-04-09,0 days 15:50:28.916244,100,59.05,58.92,300,1000,105,-95
7,BDXA,2020-04-09,0 days 15:53:06.279658,5,59.2,59.1,100,400,-95,105
8,BDXA,2020-04-09,0 days 15:53:09.287431,100,59.2,59.07,424,300,105,-95
9,BDXA,2020-04-09,0 days 15:53:37.354223,100,59.16,59.03,224,500,105,-95
10,BDXA,2020-04-09,0 days 15:54:42.506038,5,59.17,59.1,100,400,-95,105
11,BDXA,2020-04-09,0 days 15:54:48.520770,100,59.17,59.06,100,700,105,-95
12,BDXA,2020-04-09,0 days 15:54:50.526037,5,59.2,59.1,100,500,-95,105
13,BDXA,2020-04-09,0 days 15:55:01.546858,100,59.24,59.06,100,1200,105,-95
14,BDXA,2020-04-09,0 days 15:55:22.599029,100,59.16,59.06,100,1300,105,-95
15,BDXA,2020-04-09,0 days 15:56:36.776281,100,59.18,59.06,224,700,105,-95
16,BDXA,2020-04-09,0 days 15:56:51.813151,5,59.22,59.1,947,1900,-95,105
17,BDXA,2020-04-09,0 days 15:57:20.882852,100,59.19,59.07,324,300,105,-95
18,BDXA,2020-04-09,0 days 15:57:48.941943,100,59.19,59.06,424,200,105,-95
19,BDXA,2020-04-09,0 days 15:57:52.952006,100,59.21,59.08,424,300,105,-95
20,BDXA,2020-04-09,0 days 15:58:27.034375,5,59.19,59.09,424,300,-95,105
21,BDXA,2020-04-09,0 days 15:58:33.048179,100,59.17,59.06,100,600,105,-95
22,BDXA,2020-04-09,0 days 15:59:15.149559,100,59.16,59.06,200,200,105,-95
23,BDXA,2020-04-09,0 days 15:59:49.228950,5,59.19,59.09,724,1500,-95,105
24,BK,2020-04-09,0 days 15:59:51.230681,626419,37.17,37.16,1307,4366,3468,-5838
25,BSX,2020-04-09,0 days 15:57:31.438869,862368,36.89,36.88,2463,700,-22253,25681
26,C,2020-04-09,0 days 15:59:15.176243,1316829,47.46,47.45,2679,3741,32787,-674
27,CARR,2020-04-09,0 days 15:59:59.791469,477855,14.8,14.76,27327,14900,2912,-3488
28,CCL,2020-04-09,0 days 15:58:46.054022,644581,12.41,12.4,15976,23231,9189,-1811
29,CCL,2020-04-09,0 days 15:59:46.196288,644681,12.43,12.42,7171,66617,3615,-5285
30,CCO,2020-04-09,0 days 15:59:15.176289,87388,0.74,0.72,1982,32000,-446022,55278
31,CCO,2020-04-09,0 days 15:59:16.178810,32110,0.73,0.72,324311,17200,55278,-446022
32,CLDR,2020-04-09,0 days 15:59:22.167195,430277,8.38,8.37,9565,1107,-43156,97927
33,CLR,2020-04-09,0 days 15:59:28.179717,548719,12.21,12.2,600,2499,83319,-49172
34,COTY,2020-04-09,0 days 16:00:00.791750,632035,6.03,6.02,80299,61811,5196,-7615
35,DAL,2020-04-09,0 days 15:50:22.867081,611063,24.11,24.1,1800,15827,41122,-34348
36,DD,2020-04-09,0 days 15:57:42.929706,734838,40.81,40.8,400,700,-19108,188753
37,DHI,2020-04-09,0 days 15:59:22.164705,594750,41.2,41.19,200,1092,-24808,170422
38,DO,2020-04-09,0 days 15:50:07.844687,89982,1.69,1.68,134785,1580,-1157,41064
39,DO,2020-04-09,0 days 15:53:41.356613,89982,1.69,1.68,134156,4650,-1157,41064
40,ELAN,2020-04-09,0 days 15:59:51.235126,155438,24.49,24.47,843,518,3206,-8325
41,EQH,2020-04-09,0 days 15:59:54.215315,503044,16.62,16.58,1398,813,1880,-3730
42,EQH,2020-04-09,0 days 15:59:55.217253,498506,16.62,16.58,1501,813,-3730,1880
43,ET,2020-04-09,0 days 15:59:51.263223,3811529,5.73,5.72,18137,4304,252865,-90779
44,GE,2020-04-09,0 days 15:57:31.440555,4489039,7.16,7.15,236040,142171,231369,-65092
45,GS,2020-04-09,0 days 15:59:51.229829,336257,184.47,184.4,1264,100,-10612,2605
46,GS,2020-04-09,0 days 15:59:53.232906,335412,184.39,184.24,2060,1050,845,-8393
47,GS,2020-04-09,0 days 15:59:54.236506,336257,184.39,184.22,507,800,-8393,845
48,GS,2020-04-09,0 days 15:59:55.238401,335412,184.32,184.22,1151,1114,845,-8393
49,HD,2020-04-09,0 days 15:59:51.210570,557414,201.64,201.54,550,100,2436,-1074
50,HON,2020-04-09,0 days 15:59:51.230551,297184,143.38,143.35,271,200,3330,-7722
51,HON,2020-04-09,0 days 15:59:52.232029,290978,143.51,143.4,500,210,-5792,3330
52,HON,2020-04-09,0 days 15:59:55.239612,298284,143.48,143.29,700,3024,3848,-2515
53,HON,2020-04-09,0 days 16:00:00.251551,294855,143.44,143.43,1625,4056,-1915,4448
54,INVH,2020-04-09,0 days 15:59:56.240228,568637,24.31,24.27,2864,1973,-6713,6001
55,JNJ,2020-04-09,0 days 15:59:51.235429,1143129,141.28,141.22,900,300,-2996,2192
56,JPM,2020-04-09,0 days 15:59:52.265072,5161339,102.9,102.87,200,711,3887,-1152
57,KEY,2020-04-09,0 days 15:58:22.021458,877852,12.02,12.01,16078,30085,8717,-3483
58,KEY,2020-04-09,0 days 15:58:40.064832,877852,12.03,12.02,38054,22514,3448,-3483
59,KR,2020-04-09,0 days 15:57:30.440078,965640,31.09,31.08,3607,1209,656,-4661
60,KSS,2020-04-09,0 days 15:59:26.175147,355815,19.89,19.88,224,1133,3474,-1518
61,LOW,2020-04-09,0 days 15:59:46.218472,426179,95.34,95.3,200,850,-6818,2405
62,LOW,2020-04-09,0 days 15:59:51.230770,435479,95.36,95.33,632,1750,938,-8818
63,LUV,2020-04-09,0 days 15:50:48.943409,339976,36.38,36.36,900,861,-6258,41342
64,LUV,2020-04-09,0 days 15:50:56.209537,296234,36.35,36.32,1000,805,41342,-6058
65,LUV,2020-04-09,0 days 15:51:14.003813,296234,36.36,36.34,600,300,41342,-6058
66,MDT,2020-04-09,0 days 15:59:56.220205,604138,100.96,100.92,200,484,450,-11944
67,MDT,2020-04-09,0 days 15:59:59.226415,596688,101.06,100.98,6778,1462,-7044,850
68,MET,2020-04-09,0 days 15:59:52.237155,1066453,35.5,35.48,800,1550,2075,-4015
69,MET,2020-04-09,0 days 15:59:53.238967,1066224,35.51,35.49,1229,300,-696,2075
70,MET,2020-04-09,0 days 15:59:54.242849,1066628,35.48,35.47,900,200,5217,-696
71,MO,2020-04-09,0 days 15:50:05.855797,746809,40.94,40.93,200,200,6382,-18750
72,MOS,2020-04-09,0 days 15:59:51.251520,908183,12.96,12.95,897,5849,2629,-8333
73,MRK,2020-04-09,0 days 15:59:16.151974,870891,82.41,82.39,200,800,2613,-118971
74,MRK,2020-04-09,0 days 15:59:17.152879,861904,82.46,82.44,146,700,-9111,2613
75,MTDR,2020-04-09,0 days 16:00:00.255592,221362,3.21,3.2,8903,20802,1946,-12924
76,NKE,2020-04-09,0 days 15:59:52.211339,535135,86.92,86.91,550,291,469,-2971
77,NLSN,2020-04-09,0 days 15:50:50.935408,200859,14.06,14.05,600,1200,-1111,2900
78,PAA,2020-04-09,0 days 15:57:41.901644,569412,5.74,5.73,5579,1300,-1730,51112
79,PEB,2020-04-09,0 days 15:59:51.235476,265904,11.51,11.5,2158,22264,-13673,32981
80,PEB,2020-04-09,0 days 15:59:54.242482,268827,11.47,11.43,3321,1095,2580,-11308
81,PFE,2020-04-09,0 days 15:58:14.032947,2679148,35.4,35.39,12100,3021,8535,-48509
82,PFE,2020-04-09,0 days 15:58:19.045080,2687783,35.41,35.4,6942,9854,-48509,8535
83,PFE,2020-04-09,0 days 15:59:54.270192,2675688,35.38,35.37,1564,1922,11995,-50849
84,PG,2020-04-09,0 days 15:59:42.212159,1598348,114.43,114.42,888,20254,13613,-6950
85,PM,2020-04-09,0 days 15:59:22.180512,1377529,75.63,75.61,120,431,-61489,49017
86,PRU,2020-04-09,0 days 15:59:16.154224,307407,58.68,58.64,200,450,1,-894
87,PXD,2020-04-09,0 days 15:59:51.772027,150951,75.43,75.32,200,1000,4631,-4000
88,RBS,2020-04-09,0 days 15:59:41.210911,32791,3.08,3.07,65158,76274,287,-2722
89,SHOP,2020-04-09,0 days 15:50:24.907908,10719,416.72,416.13,300,300,-920,4021
