,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-05-21,0 days 15:51:05.989107,151689,80.69,80.68,100,460,-5461,10439
1,A,2020-05-21,0 days 15:54:51.528736,157150,80.75,80.74,200,520,2358,-77940
2,A,2020-05-21,0 days 15:54:54.535471,159508,80.78,80.76,100,720,-77840,2358
3,AA,2020-05-21,0 days 15:57:30.924734,1525882,8.3,8.29,15369,33172,-64654,24795
4,ABBV,2020-05-21,0 days 15:50:05.844707,1239987,92.81,92.79,200,1017,501,-662
5,ABEV,2020-05-21,0 days 15:59:48.207351,220652,2.15,2.14,904973,166455,-6388,4630
6,AEO,2020-05-21,0 days 15:51:56.110948,243935,9.0,8.99,10907,8917,1182,-2118
7,AES,2020-05-21,0 days 15:57:23.880260,783669,12.31,12.3,18718,20973,-18093,59324
8,ALLY,2020-05-21,0 days 15:59:56.254368,606151,16.12,16.11,15929,3331,2013,-6092
9,APY,2020-05-21,0 days 15:58:35.036269,329213,8.86,8.83,1308,1041,379,-2524
10,APY,2020-05-21,0 days 15:58:49.068603,329213,8.85,8.83,100,600,379,-2524
11,APY,2020-05-21,0 days 15:59:41.185926,322813,8.85,8.81,800,2500,7279,-2524
12,AVTR,2020-05-21,0 days 16:00:00.230448,1878567,16.53,16.52,2737,106466,59990,-128348
13,BAC,2020-05-21,0 days 15:58:28.061784,5916748,22.92,22.91,40180,171690,-128638,71858
14,BAC,2020-05-21,0 days 15:59:38.227374,5868629,22.91,22.9,118087,108304,48239,-147174
15,BK,2020-05-21,0 days 15:59:51.232164,770894,34.98,34.97,318,5000,4408,-27168
16,CAG,2020-05-21,0 days 16:00:00.253162,310624,32.25,32.24,10867,11042,-242,886
17,CARR,2020-05-21,0 days 15:59:51.210164,784192,19.5,19.49,9326,4438,-8651,86792
18,CARR,2020-05-21,0 days 16:00:00.231181,774322,19.46,19.43,656,16478,9870,-1147
19,CCL,2020-05-21,0 days 15:59:51.214870,375053,14.6,14.59,47115,19626,3153,-4834
20,CNP,2020-05-21,0 days 15:59:51.220651,684550,16.76,16.75,9262,10410,6188,-5123
21,COF,2020-05-21,0 days 15:50:07.849985,209424,60.95,60.93,236,400,-11,89
22,COF,2020-05-21,0 days 15:50:12.862063,209435,60.94,60.93,112,100,89,-11
