,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-06-05,0 days 15:56:16.745722,244331,90.35,90.33,2761,816,-983,2117
1,A,2020-06-05,0 days 15:56:17.749930,242314,90.35,90.33,2861,1216,2017,-983
2,A,2020-06-05,0 days 15:57:46.962691,254750,90.31,90.3,2891,491,-571,2529
3,A,2020-06-05,0 days 15:57:47.965149,252221,90.3,90.29,300,649,3929,-571
4,A,2020-06-05,0 days 15:58:39.089877,255494,90.31,90.3,2032,606,-307,593
5,A,2020-06-05,0 days 15:58:40.092399,253101,90.31,90.3,2032,706,1993,-307
6,A,2020-06-05,0 days 15:58:57.134723,256280,90.31,90.3,1729,2119,-1301,2179
7,A,2020-06-05,0 days 15:59:04.151280,258444,90.32,90.31,3107,2039,-449,196
8,A,2020-06-05,0 days 15:59:05.155465,267230,90.3,90.28,650,401,1014,-449
9,A,2020-06-05,0 days 15:59:06.156861,266644,90.3,90.28,1650,407,-586,1014
10,A,2020-06-05,0 days 15:59:08.161818,267230,90.33,90.32,1270,358,42210,-579
11,A,2020-06-05,0 days 15:59:16.180939,318320,90.37,90.36,4500,100,-484,1316
12,A,2020-06-05,0 days 15:59:34.225001,315703,90.44,90.43,120,594,-3163,110
13,A,2020-06-05,0 days 15:59:35.228111,314566,90.43,90.4,1159,1350,1137,-3163
14,A,2020-06-05,0 days 15:59:36.230419,315703,90.43,90.4,700,1787,-1163,1137
15,AA,2020-06-05,0 days 15:59:09.164177,362935,12.01,12.0,7011,19948,-5875,11525
16,AA,2020-06-05,0 days 15:59:10.168019,352710,12.01,12.0,6901,23969,10225,-5875
17,AA,2020-06-05,0 days 15:59:50.267622,331555,12.05,12.04,17170,30425,46524,-24076
18,ABBV,2020-06-05,0 days 15:55:00.547274,862277,93.75,93.73,613,1500,-8194,102449
19,ABBV,2020-06-05,0 days 15:55:47.661361,804202,93.78,93.76,400,400,59844,-6125
20,ABBV,2020-06-05,0 days 15:55:48.663788,802277,93.78,93.76,400,500,-125,59844
21,ABBV,2020-06-05,0 days 15:57:04.847442,872644,93.65,93.64,607,400,103,-567
22,ABBV,2020-06-05,0 days 15:58:02.989818,918426,93.78,93.76,400,900,-11473,31727
23,ABBV,2020-06-05,0 days 15:58:03.991401,914199,93.77,93.75,200,700,4227,-11473
24,ABBV,2020-06-05,0 days 15:58:05.996882,909295,93.78,93.76,200,600,-6704,4227
25,ABBV,2020-06-05,0 days 15:58:06.999176,906286,93.79,93.77,1201,300,2809,-6704
26,ABBV,2020-06-05,0 days 15:58:18.026811,909824,93.78,93.76,1100,200,-9042,1889
27,ABBV,2020-06-05,0 days 15:58:19.028793,908266,93.75,93.74,100,800,2776,-9042
28,ABBV,2020-06-05,0 days 15:58:34.065049,909453,93.8,93.79,200,200,1389,-5724
29,ABBV,2020-06-05,0 days 15:58:43.086233,910202,93.82,93.81,500,200,360,-3040
30,ABBV,2020-06-05,0 days 15:58:52.108179,910562,93.84,93.82,530,1159,-22971,360
31,ABBV,2020-06-05,0 days 15:59:06.143386,956040,93.83,93.82,806,502,-1366,2347
32,ABBV,2020-06-05,0 days 15:59:09.150350,1004692,93.85,93.84,203,200,5275,-15737
33,ABBV,2020-06-05,0 days 15:59:33.209103,1017143,93.91,93.89,300,200,-3433,587
34,ABBV,2020-06-05,0 days 15:59:34.210858,1012996,93.89,93.86,1000,600,4152,-3433
35,ABBV,2020-06-05,0 days 15:59:41.227619,1017148,93.89,93.88,2079,274,-1384,2842
36,ABBV,2020-06-05,0 days 15:59:47.241864,1014765,93.94,93.92,374,883,6276,-3338
37,ABBV,2020-06-05,0 days 15:59:49.246568,1021041,93.96,93.94,1222,442,-3422,5261
38,ABBV,2020-06-05,0 days 15:59:50.252159,1006563,93.95,93.94,100,188,14478,-3422
39,ABEV,2020-06-05,0 days 15:59:36.206419,189770,2.83,2.82,665347,150839,14644,-18956
40,ABEV,2020-06-05,0 days 15:59:45.228421,190370,2.83,2.82,609563,118520,4532,-156
41,ABR,2020-06-05,0 days 15:57:46.970266,71559,9.73,9.72,2189,213,1518,-412
42,ABR,2020-06-05,0 days 15:57:47.972836,70777,9.73,9.72,1989,513,-382,1518
