,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-11-23,0 days 15:55:00.758641,199503,112.07,112.05,300,113,-553,6754
1,A,2020-11-23,0 days 15:55:23.756822,200111,111.96,111.92,963,215,3391,-109
2,A,2020-11-23,0 days 15:56:24.758297,207941,111.94,111.91,550,601,-4223,2486
3,A,2020-11-23,0 days 15:59:01.764926,307159,111.89,111.83,100,200,26884,-41386
4,A,2020-11-23,0 days 15:59:26.762130,336179,112.07,112.02,113,201,1713,-487
5,A,2020-11-23,0 days 15:59:28.763011,340966,112.1,112.05,200,100,-2091,2587
6,A,2020-11-23,0 days 15:59:40.764299,340118,112.06,112.01,628,399,848,-1352
7,A,2020-11-23,0 days 15:59:41.762319,340966,112.06,112.02,579,243,-1352,848
8,AA,2020-11-23,0 days 15:56:23.239493,139007,19.88,19.87,7529,400,-624,4669
9,AA,2020-11-23,0 days 15:57:22.240059,140031,19.85,19.84,2868,3155,4572,-1428
10,AA,2020-11-23,0 days 15:57:39.239866,141703,19.85,19.84,3707,3462,-1528,772
11,AA,2020-11-23,0 days 15:57:49.239679,146931,19.85,19.84,5469,519,72,-728
12,AA,2020-11-23,0 days 15:57:51.240431,146203,19.85,19.84,7038,319,-728,472
13,AA,2020-11-23,0 days 15:58:17.241726,148594,19.84,19.82,13213,505,365,-835
14,AA,2020-11-23,0 days 15:58:18.241873,147759,19.84,19.82,13254,205,-835,365
15,AA,2020-11-23,0 days 15:59:00.246521,146965,19.82,19.81,5704,1600,-1004,1553
16,AA,2020-11-23,0 days 15:59:46.230093,168275,19.82,19.81,11042,800,-10452,105
17,ABBV,2020-11-23,0 days 15:59:34.111803,727703,102.27,102.25,600,400,-14641,8748
18,ABBV,2020-11-23,0 days 15:59:50.117123,703552,102.33,102.31,100,750,-46574,9630
19,ABEV,2020-11-23,0 days 15:59:12.241783,51505,2.74,2.73,694635,961612,16588,-15932
20,ABT,2020-11-23,0 days 15:59:15.238211,408808,109.33,109.29,110,400,-21323,38917
21,ABT,2020-11-23,0 days 15:59:30.238480,421765,109.34,109.3,300,110,5843,-10971
22,ABT,2020-11-23,0 days 15:59:33.235511,419008,109.3,109.27,650,100,-757,1043
23,ABT,2020-11-23,0 days 15:59:39.235283,417601,109.27,109.24,410,200,3165,-170
24,ABT,2020-11-23,0 days 15:59:45.238835,415466,109.26,109.23,100,200,-4253,1801
25,ABT,2020-11-23,0 days 15:59:58.231374,428678,109.34,109.25,100,700,1688,-835
26,ABT,2020-11-23,0 days 16:00:00.259471,427843,109.33,109.22,300,600,-935,1688
27,ACB,2020-11-23,0 days 15:59:10.261099,71781,7.17,7.16,13092,10248,1477,-11123
28,ADT,2020-11-23,0 days 15:55:00.232940,53927,8.03,8.02,8464,2600,7765,-6393
29,AEO,2020-11-23,0 days 15:55:50.227567,346303,18.15,18.14,3212,7279,15730,-3801
30,AEO,2020-11-23,0 days 15:55:51.227398,344333,18.15,18.14,3112,7279,-1970,15730
31,AEO,2020-11-23,0 days 15:56:10.227529,346303,18.15,18.14,4328,8963,2614,-1970
32,AEO,2020-11-23,0 days 15:56:11.227391,344517,18.15,18.14,4117,9075,-1786,2614
33,AEO,2020-11-23,0 days 15:56:55.227927,350303,18.15,18.14,8051,4709,108,-2072
34,AEO,2020-11-23,0 days 15:57:09.228521,348411,18.15,18.14,7673,6488,-1892,108
35,AEO,2020-11-23,0 days 15:57:37.229432,351955,18.15,18.14,5844,10669,30,-844
36,AEO,2020-11-23,0 days 15:57:42.229164,351985,18.18,18.17,3809,7265,-2370,30
37,AEO,2020-11-23,0 days 15:59:32.233737,363361,18.19,18.18,6115,1700,-1541,7659
38,AEO,2020-11-23,0 days 15:59:46.233437,364902,18.18,18.17,400,7026,20154,-541
39,AES,2020-11-23,0 days 15:55:30.239938,448258,20.47,20.46,3874,8910,270,-6630
40,AES,2020-11-23,0 days 15:55:35.240633,448528,20.48,20.47,9464,6285,-2241,270
41,AES,2020-11-23,0 days 15:55:46.240244,451007,20.47,20.46,11265,1504,858,-1442
42,AES,2020-11-23,0 days 15:55:53.240593,448565,20.46,20.45,5809,6934,-2442,2658
43,AES,2020-11-23,0 days 15:56:21.240743,452718,20.46,20.45,6986,8510,13783,-1117
44,AES,2020-11-23,0 days 15:59:11.246297,462669,20.49,20.48,12976,7597,5658,-4490
45,AES,2020-11-23,0 days 15:59:12.246862,472427,20.49,20.47,22526,9095,-32477,5658
46,AES,2020-11-23,0 days 15:59:46.243842,518000,20.48,20.47,10210,7785,10958,-19638
47,AES,2020-11-23,0 days 15:59:50.246171,392458,20.48,20.47,9810,14381,-125542,10158
48,AFL,2020-11-23,0 days 15:59:24.253811,728408,44.37,44.36,1161,1700,24,-199
49,AFL,2020-11-23,0 days 15:59:50.258510,758867,44.47,44.46,2000,100,-16639,19393
50,AFL,2020-11-23,0 days 15:59:57.257303,776206,44.47,44.46,400,400,13429,-19939
51,AG,2020-11-23,0 days 15:55:00.238281,76475,9.71,9.7,7393,28316,-120091,10497
52,AGI,2020-11-23,0 days 15:55:00.110403,19425,8.24,8.23,7006,22622,-5529,6882
53,AGI,2020-11-23,0 days 15:58:59.113903,26925,8.23,8.22,20937,23431,-3273,471
54,AIG,2020-11-23,0 days 15:55:02.238108,268923,39.86,39.85,2491,100,-101,4144
55,AIG,2020-11-23,0 days 15:55:39.240462,268084,39.82,39.81,1889,1310,-65,1042
56,AIG,2020-11-23,0 days 15:55:41.241311,269749,39.81,39.8,527,2200,1235,-65
57,AIG,2020-11-23,0 days 15:57:36.241126,276920,39.79,39.78,902,1853,603,-2897
58,AIG,2020-11-23,0 days 15:57:37.241870,277523,39.79,39.78,2082,1172,-1297,603
59,AIG,2020-11-23,0 days 15:57:38.240936,277251,39.78,39.77,501,2076,272,-1297
60,AIG,2020-11-23,0 days 15:57:39.240978,277523,39.78,39.77,301,2350,-1628,272
61,AIG,2020-11-23,0 days 15:57:43.241657,284351,39.78,39.77,2702,362,572,-3228
62,AIG,2020-11-23,0 days 15:57:45.242019,283723,39.78,39.77,2154,1849,-1239,572
63,AIG,2020-11-23,0 days 15:57:47.241698,286862,39.78,39.77,2254,1866,1661,-2539
64,AIG,2020-11-23,0 days 15:57:48.241587,286023,39.78,39.77,1555,2066,-839,1661
65,AIG,2020-11-23,0 days 15:57:53.242112,287362,39.78,39.77,1957,2268,661,-1139
66,AIG,2020-11-23,0 days 15:57:54.241771,286423,39.78,39.77,1627,2366,-939,661
67,AIG,2020-11-23,0 days 15:57:58.242268,287362,39.78,39.77,1729,1685,161,-939
68,AIG,2020-11-23,0 days 15:58:00.243566,286423,39.78,39.77,2358,1045,-939,661
69,AIG,2020-11-23,0 days 15:59:16.241823,319255,39.76,39.75,3800,100,3077,-38107
70,AIG,2020-11-23,0 days 15:59:27.240706,326077,39.79,39.78,2557,400,673,-7923
71,AIG,2020-11-23,0 days 15:59:37.241373,332897,39.77,39.76,779,2000,-3536,2605
72,AIG,2020-11-23,0 days 15:59:39.242021,331160,39.76,39.75,2379,418,1737,-3536
73,ALLY,2020-11-23,0 days 15:55:39.226885,205956,29.85,29.84,5230,1386,4937,-4294
74,ALLY,2020-11-23,0 days 15:55:50.227595,210121,29.85,29.84,5850,1776,-10394,4123
75,ALLY,2020-11-23,0 days 15:56:54.228027,225562,29.84,29.83,1659,2400,714,-1786
76,ALLY,2020-11-23,0 days 15:57:01.228405,210710,29.85,29.84,3545,2332,-14852,2748
77,ALLY,2020-11-23,0 days 15:58:02.230608,225562,29.84,29.83,3520,900,4313,-287
