,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-07-30,0 days 15:55:00.305437,205588,13.13,13.12,19401,635,954,-154102
1,AA,2020-07-30,0 days 15:57:09.617959,208603,13.13,13.12,21524,5573,5505,-804
2,AA,2020-07-30,0 days 15:57:39.690594,211190,13.15,13.14,968,29323,2120,-2125
3,AA,2020-07-30,0 days 15:59:04.898585,229726,13.19,13.18,701,18894,2103,-1197
4,AA,2020-07-30,0 days 15:59:44.994274,251167,13.19,13.18,17019,13807,699,-174
5,AA,2020-07-30,0 days 15:59:48.003980,250066,13.19,13.18,8760,18272,-1101,8499
6,AAN,2020-07-30,0 days 15:55:00.103841,61433,52.68,52.65,252,800,31391,-15025
7,AAN,2020-07-30,0 days 15:58:07.555764,92257,52.86,52.85,300,100,-106,422
8,AAN,2020-07-30,0 days 15:58:08.559104,90816,52.86,52.85,300,200,1441,-106
9,AAN,2020-07-30,0 days 15:58:53.667846,93954,52.85,52.83,1016,3196,-592,255
10,AAN,2020-07-30,0 days 15:58:54.670262,92799,52.85,52.83,1416,3096,1155,-592
11,AAN,2020-07-30,0 days 15:59:17.725064,96164,52.81,52.79,560,597,-2370,1786
12,AAN,2020-07-30,0 days 15:59:18.727729,95387,52.81,52.79,637,697,777,-2370
13,AAN,2020-07-30,0 days 15:59:45.792604,97092,52.75,52.74,1199,1257,-422,1447
14,AAN,2020-07-30,0 days 15:59:48.801071,96514,52.79,52.74,1432,1257,578,-422
15,ABBV,2020-07-30,0 days 15:55:55.299999,447550,95.96,95.95,946,1668,-2671,8417
16,ABBV,2020-07-30,0 days 15:55:56.302361,441421,95.96,95.95,887,2096,6129,-2671
17,ABBV,2020-07-30,0 days 15:58:52.729550,461513,95.94,95.93,924,2646,7325,-2675
18,ABBV,2020-07-30,0 days 15:59:04.758838,463798,95.99,95.98,903,1362,-13024,278
19,ABBV,2020-07-30,0 days 15:59:11.776882,476622,96.04,96.02,1200,1033,11407,-12542
20,ABBV,2020-07-30,0 days 15:59:12.778208,486770,96.04,96.02,200,2009,-1052,11407
21,ABBV,2020-07-30,0 days 15:59:13.780715,477922,96.04,96.02,200,3123,7553,-1052
22,ABBV,2020-07-30,0 days 15:59:33.828951,489241,96.0,95.99,692,435,703,-2625
23,ABBV,2020-07-30,0 days 15:59:39.844701,489944,95.99,95.98,200,811,-497,381
24,ABBV,2020-07-30,0 days 15:59:40.846707,489841,95.98,95.96,991,604,103,-497
25,ABBV,2020-07-30,0 days 15:59:43.853807,490222,95.99,95.97,756,310,-19,81
26,ABEV,2020-07-30,0 days 15:55:00.495344,122977,2.86,2.85,190295,290441,-12441,53106
27,ABEV,2020-07-30,0 days 15:57:28.852938,135418,2.87,2.86,276972,158313,13643,-11450
28,ABEV,2020-07-30,0 days 15:58:41.029449,160261,2.85,2.84,328571,291872,-6549,23342
29,ABT,2020-07-30,0 days 15:55:01.497736,289442,101.47,101.46,201,464,-2032,7868
30,ABT,2020-07-30,0 days 15:55:38.588149,297075,101.5,101.49,605,1177,2184,-1679
31,ABT,2020-07-30,0 days 15:55:39.590694,294959,101.5,101.49,500,1477,-2116,2184
32,ABT,2020-07-30,0 days 15:57:40.882818,305013,101.46,101.45,137,1602,214,-56
33,ABT,2020-07-30,0 days 15:57:41.884867,302257,101.47,101.46,491,400,-3257,214
34,ABT,2020-07-30,0 days 15:58:19.978632,307154,101.45,101.44,100,600,108,-5292
35,ABT,2020-07-30,0 days 15:58:20.981016,304562,101.46,101.45,304,700,-2592,108
36,ABT,2020-07-30,0 days 15:58:40.027580,307154,101.49,101.47,514,800,1478,-2222
37,ABT,2020-07-30,0 days 15:58:41.029390,305232,101.5,101.48,300,500,-1922,1478
38,ABT,2020-07-30,0 days 15:59:11.103011,325677,101.49,101.48,1325,200,20572,-3689
39,ABT,2020-07-30,0 days 15:59:12.105006,324749,101.49,101.48,200,573,-928,20572
40,ABT,2020-07-30,0 days 15:59:28.143446,332326,101.51,101.5,847,808,1212,-504
41,ABT,2020-07-30,0 days 15:59:33.155631,328238,101.51,101.5,531,1104,-4088,4812
42,ABT,2020-07-30,0 days 15:59:45.180513,333287,101.52,101.51,1223,465,586,-214
43,ABT,2020-07-30,0 days 15:59:46.182796,333130,101.52,101.5,723,2804,-157,586
44,ABT,2020-07-30,0 days 15:59:48.187247,333287,101.53,101.52,600,832,872,-157
45,ABT,2020-07-30,0 days 15:59:49.189190,333235,101.53,101.52,600,732,-52,872
46,ACI,2020-07-30,0 days 15:59:48.187327,34149,14.95,14.94,6500,27346,-513,887
47,ADM,2020-07-30,0 days 15:55:00.114555,203669,43.25,43.24,666,670,4196,-76648
48,ADM,2020-07-30,0 days 15:55:06.128970,207865,43.24,43.23,700,4186,-15,596
49,ADM,2020-07-30,0 days 15:55:07.131377,207580,43.24,43.23,1300,3110,285,-15
50,ADM,2020-07-30,0 days 15:56:18.302252,226957,43.28,43.27,2318,3481,-1402,898
51,ADM,2020-07-30,0 days 15:56:19.304355,225059,43.28,43.27,2418,3481,1898,-1402
52,ADM,2020-07-30,0 days 15:57:09.426807,226957,43.3,43.29,2375,2382,-24,872
53,ADM,2020-07-30,0 days 15:57:11.430326,220307,43.3,43.29,3011,2184,6650,-24
54,ADM,2020-07-30,0 days 15:57:36.490335,226957,43.32,43.31,975,5281,-2950,350
55,ADM,2020-07-30,0 days 15:57:37.494504,225707,43.32,43.31,847,6964,1250,-2950
56,ADM,2020-07-30,0 days 15:57:39.497341,226957,43.33,43.32,563,2361,-1350,1050
57,ADM,2020-07-30,0 days 15:57:41.502438,225907,43.33,43.32,516,2887,1050,-1350
58,ADM,2020-07-30,0 days 15:57:45.512021,226957,43.33,43.32,900,6607,-1050,350
59,ADM,2020-07-30,0 days 15:57:46.517079,226207,43.33,43.32,500,7972,750,-1050
60,ADM,2020-07-30,0 days 15:57:47.516826,226957,43.34,43.33,1410,1856,-550,750
61,ADM,2020-07-30,0 days 15:57:55.535796,230354,43.33,43.32,2800,4233,1003,-397
62,ADM,2020-07-30,0 days 15:57:56.538388,229957,43.33,43.32,3128,4154,-297,1003
63,ADM,2020-07-30,0 days 15:58:00.552494,230654,43.33,43.32,2901,6775,600,-397
64,ADM,2020-07-30,0 days 15:58:01.551685,230954,43.33,43.32,3517,5915,-600,600
65,ADM,2020-07-30,0 days 15:58:43.653270,229481,43.3,43.29,2664,3500,812,-367
66,ADM,2020-07-30,0 days 15:58:59.692269,230581,43.32,43.31,4688,9084,791,-788
67,ADM,2020-07-30,0 days 15:59:01.699221,230854,43.33,43.32,1498,406,-723,977
68,ADM,2020-07-30,0 days 15:59:04.704616,233452,43.33,43.32,1912,1120,685,-766
69,ADM,2020-07-30,0 days 15:59:30.768081,255025,43.35,43.34,4456,4659,165,-335
70,ADM,2020-07-30,0 days 15:59:41.794026,256440,43.33,43.32,2365,1368,-983,1843
71,ADM,2020-07-30,0 days 15:59:42.796343,256539,43.32,43.31,2481,7145,530,-983
