,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AL,2020-04-08,0 days 15:50:18.879059,44715,24.53,24.38,500,200,198,-6471
1,AL,2020-04-08,0 days 15:50:54.963251,38113,24.58,24.55,200,300,-6471,198
2,ALL,2020-04-08,0 days 15:50:14.873695,177632,98.28,98.06,100,100,-417,619
3,ALL,2020-04-08,0 days 15:50:16.879262,178648,98.17,98.06,100,100,619,-417
4,APA,2020-04-08,0 days 15:59:51.230236,865488,7.6,7.59,7811,5071,-5388,1016
5,APLE,2020-04-08,0 days 15:58:40.068501,313182,8.25,8.24,7713,6350,-1374,103
6,ARR,2020-04-08,0 days 15:56:11.697380,67266,8.52,8.51,4907,100,-61027,13773
7,ARR,2020-04-08,0 days 15:56:35.755283,67266,8.51,8.5,1407,500,-61027,13773
8,ATH,2020-04-08,0 days 15:50:33.896435,88639,26.84,26.77,100,700,-843,384
9,AUY,2020-04-08,0 days 15:59:48.235944,99701,3.39,3.38,217753,285356,-6506,2760
10,BBD,2020-04-08,0 days 15:59:47.207826,602742,4.38,4.37,143442,265789,18359,-20418
11,BJ,2020-04-08,0 days 15:51:24.700715,130712,26.02,26.01,629,200,4175,-2418
12,BJ,2020-04-08,0 days 15:52:20.835053,130712,26.03,26.0,102,206,4175,-2418
13,BJ,2020-04-08,0 days 15:54:03.080621,136694,26.03,25.97,702,1300,-2418,4175
14,BJ,2020-04-08,0 days 15:54:25.133331,130712,26.03,25.99,1006,406,4175,-2418
15,BJ,2020-04-08,0 days 15:54:32.150779,136694,26.1,26.03,200,400,-2418,4175
16,BJ,2020-04-08,0 days 15:54:53.197678,130712,26.03,25.97,507,300,4175,-2418
17,BK,2020-04-08,0 days 15:58:29.033737,630165,35.69,35.68,3500,1610,7108,-50391
18,BLL,2020-04-08,0 days 15:59:05.112020,844559,67.53,67.52,693,564,2339,-3918
19,BWA,2020-04-08,0 days 15:58:13.995052,128659,25.56,25.55,702,200,1193,-206
20,CAG,2020-04-08,0 days 16:00:00.248778,348094,31.32,31.31,76529,215920,-4279,5550
21,CARR,2020-04-08,0 days 15:59:51.213704,2353440,14.28,14.2,100,1300,11119,-133698
22,CARR,2020-04-08,0 days 15:59:52.214439,2330499,14.31,14.24,776,1225,-23041,11119
23,CARR,2020-04-08,0 days 15:59:53.216137,2353440,14.29,14.21,1241,400,23184,-23041
24,CLNY,2020-04-08,0 days 16:00:00.254275,1421766,1.74,1.73,40301,9924,-24128,85726
25,CVNA,2020-04-08,0 days 15:52:07.141645,563243,58.6,58.46,700,200,247,-284
26,CVNA,2020-04-08,0 days 15:52:14.159646,562460,59.14,58.57,100,100,-1214,247
27,CVX,2020-04-08,0 days 15:57:33.886514,1036098,86.3,86.26,2482,11759,-8810,6795
28,CVX,2020-04-08,0 days 15:57:37.895640,1014208,86.07,86.0,1592,980,23260,-993
29,CVX,2020-04-08,0 days 15:57:43.909698,1036498,86.25,86.18,200,400,-993,20190
30,CVX,2020-04-08,0 days 15:58:03.958743,1031270,86.13,86.11,400,6062,4828,-993
31,CVX,2020-04-08,0 days 15:58:11.976973,1036498,86.16,86.13,1115,623,-4202,13181
32,CVX,2020-04-08,0 days 15:58:53.076664,1025400,86.12,86.06,1200,700,10698,-6685
33,CVX,2020-04-08,0 days 15:59:51.213732,1036498,86.13,86.1,2540,2910,-18222,2834
34,DD,2020-04-08,0 days 15:57:34.922848,1404357,39.01,39.0,500,146,-20,3912
35,DD,2020-04-08,0 days 15:57:35.923328,1388792,38.98,38.93,420,1400,15112,-20
36,DD,2020-04-08,0 days 15:57:56.972796,1404357,39.01,39.0,600,200,-20,4212
37,DD,2020-04-08,0 days 15:57:57.974929,1399692,38.99,38.98,2494,2400,4212,-20
38,DXC,2020-04-08,0 days 15:56:36.787813,281538,15.72,15.71,200,1200,-8887,3042
39,ENIA,2020-04-08,0 days 15:59:14.806317,307761,7.91,7.9,7002,8969,6680,-9144
40,EOG,2020-04-08,0 days 15:57:32.898135,999531,45.29,45.28,283,988,-7193,6495
41,EPD,2020-04-08,0 days 15:59:50.892117,1214775,15.95,15.94,3419,1214,7954,-8146
42,EQH,2020-04-08,0 days 15:50:19.883494,175781,15.54,15.48,200,100,-3720,1412
43,EQT,2020-04-08,0 days 15:57:10.849135,410961,10.78,10.77,1600,802,-21476,58065
44,EQT,2020-04-08,0 days 15:57:36.901164,403636,10.76,10.75,1618,1400,24595,-9286
45,ET,2020-04-08,0 days 15:57:11.530618,495960,5.65,5.64,21689,26492,-19816,20023
46,GE,2020-04-08,0 days 15:59:51.213554,5644119,7.31,7.3,70362,163728,-161394,211551
47,GOLD,2020-04-08,0 days 16:00:00.232444,188247,20.41,20.4,95683,32869,763,-555
48,GPMT,2020-04-08,0 days 16:00:00.233273,95151,4.5,4.49,2075,8734,467,-7805
49,HLT,2020-04-08,0 days 15:59:51.234139,715617,70.04,70.01,300,800,7751,-13117
50,HPE,2020-04-08,0 days 15:51:30.053516,889471,10.29,10.28,3226,6785,-35962,85614
51,IBN,2020-04-08,0 days 15:56:06.689489,298875,8.6,8.59,97633,26270,545,-98265
52,KL,2020-04-08,0 days 15:55:31.611736,11857,33.8,33.79,300,218,-559,615
53,KMI,2020-04-08,0 days 15:57:30.891291,1835630,14.85,14.84,12809,14716,-1086,16442
54,KMI,2020-04-08,0 days 15:57:36.901079,1840988,14.83,14.82,9121,3500,2873,-16386
55,LOW,2020-04-08,0 days 15:59:50.226946,361441,94.38,94.31,340,1442,-5313,10841
56,LUV,2020-04-08,0 days 15:59:51.228520,424398,34.27,34.26,720,764,8471,-18259
57,MAS,2020-04-08,0 days 15:59:15.140509,372133,39.53,39.51,600,1400,-43339,6059
58,MAS,2020-04-08,0 days 15:59:34.187062,365472,39.5,39.49,600,698,6059,-43339
59,MFA,2020-04-08,0 days 16:00:00.264234,397971,1.78,1.77,509416,181576,-29533,4479
60,MPC,2020-04-08,0 days 15:59:51.244349,2588978,24.29,24.26,100,273,-9716,49038
61,MPLX,2020-04-08,0 days 15:59:52.245270,1235285,12.27,12.26,1000,3187,26445,-2309
62,MPW,2020-04-08,0 days 15:57:32.917099,312836,18.18,18.17,2947,2168,-1266,1035
63,MS,2020-04-08,0 days 15:59:53.899132,836170,39.3,39.29,1100,1480,3335,-6063
64,NBR,2020-04-08,0 days 15:59:27.160550,233422,0.35,0.34,197489,2541,-20059,141677
65,NBR,2020-04-08,0 days 15:59:42.196538,241181,0.35,0.34,197489,200,46277,-20059
66,NLSN,2020-04-08,0 days 15:54:40.502540,309295,15.0,14.99,528,3493,-162015,82777
67,NLSN,2020-04-08,0 days 15:58:20.003998,309695,14.91,14.9,2651,3472,-167915,76877
68,NLSN,2020-04-08,0 days 15:59:48.207447,239751,14.9,14.89,2766,1200,69944,-174848
69,NOV,2020-04-08,0 days 15:55:11.580665,396912,11.64,11.63,710,700,9437,-354
70,NOV,2020-04-08,0 days 15:55:13.585391,406349,11.67,11.66,1110,766,-354,9437
71,NOV,2020-04-08,0 days 15:57:07.859557,406349,11.66,11.65,100,3800,-354,9437
72,NOV,2020-04-08,0 days 15:57:24.898484,406349,11.66,11.65,500,1000,-354,9437
73,NVTA,2020-04-08,0 days 16:00:00.249128,170599,13.55,13.52,15346,33474,-1858,3062
74,OKE,2020-04-08,0 days 15:59:51.234244,404805,26.48,26.46,1400,300,-408,14143
75,OTIS,2020-04-08,0 days 15:59:51.213633,756163,44.05,43.88,131,420,6439,-59572
76,OTIS,2020-04-08,0 days 15:59:52.214343,755415,44.23,44.02,175,372,-1348,6439
77,OTIS,2020-04-08,0 days 15:59:53.216108,756763,44.23,44.02,175,372,92,-1348
78,PM,2020-04-08,0 days 15:50:37.925909,1135214,75.08,75.04,400,300,-13736,13775
79,PM,2020-04-08,0 days 15:51:50.100417,1151491,74.97,74.94,500,100,13775,-12936
80,PPG,2020-04-08,0 days 16:00:00.914948,185017,93.37,93.35,1400,4009,-87,1049
81,QSR,2020-04-08,0 days 15:56:59.839580,187125,41.94,41.93,400,400,4556,-96854
82,QSR,2020-04-08,0 days 15:57:00.842348,92281,41.98,41.97,800,400,-96254,4556
83,QSR,2020-04-08,0 days 15:58:19.025186,188325,41.95,41.93,1203,438,15691,-87119
84,QSR,2020-04-08,0 days 15:58:24.036892,104116,41.96,41.94,657,540,-84419,15691
85,QSR,2020-04-08,0 days 15:58:37.070737,188325,41.94,41.93,440,187,15691,-84419
86,RF,2020-04-08,0 days 15:59:51.213704,887302,10.12,10.11,23382,29224,-10690,23016
87,STWD,2020-04-08,0 days 15:50:17.858986,110913,12.57,12.53,200,602,4250,-4850
88,STWD,2020-04-08,0 days 15:50:18.861947,106363,12.63,12.61,900,200,-4850,4250
89,STWD,2020-04-08,0 days 15:55:08.547444,110913,12.59,12.58,709,200,4250,-4850
90,STWD,2020-04-08,0 days 15:58:11.982019,106363,12.62,12.61,1419,517,-4550,4250
91,SYF,2020-04-08,0 days 15:57:33.917327,428645,16.8,16.79,2600,3859,2914,-6286
92,TJX,2020-04-08,0 days 15:59:04.101553,695498,48.9,48.89,2500,1100,-5718,219
93,TJX,2020-04-08,0 days 15:59:52.214266,686843,49.09,49.08,400,500,-14373,25204
94,TJX,2020-04-08,0 days 15:59:58.228308,698023,49.12,49.07,600,250,-3193,8304
95,UE,2020-04-08,0 days 15:59:51.244518,161016,9.05,9.04,600,200,-3576,11632
96,VST,2020-04-08,0 days 15:50:04.834337,274089,17.47,17.42,897,1010,-5108,25
97,WORK,2020-04-08,0 days 15:50:09.857529,74066,24.96,24.94,400,300,-4223,7020
98,WORK,2020-04-08,0 days 15:51:22.030865,67073,24.91,24.86,300,700,7020,-3823
99,WORK,2020-04-08,0 days 15:53:08.285647,74466,24.96,24.93,200,1400,-3823,7020
100,WU,2020-04-08,0 days 15:59:51.244253,809692,20.26,20.25,9930,1994,48656,-14319
101,XAN,2020-04-08,0 days 15:54:20.461254,38959,3.02,3.0,592,200,-323,12496
102,XOM,2020-04-08,0 days 15:57:49.605257,2753778,43.96,43.95,900,2000,-23137,32592
103,XOM,2020-04-08,0 days 15:58:10.655879,2722386,43.93,43.92,1400,2200,31392,-24337
104,XOM,2020-04-08,0 days 15:58:11.657380,2753778,43.97,43.96,1525,3347,-24337,31392
105,XOM,2020-04-08,0 days 15:58:53.758685,2733074,43.93,43.92,597,3700,20704,-35025
106,XOM,2020-04-08,0 days 15:58:56.764953,2753778,43.96,43.95,1271,2100,-11699,20704
107,XOM,2020-04-08,0 days 15:59:59.914594,2750964,43.86,43.85,59297,1253,7941,-11907
