,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-06-22,0 days 15:59:16.907526,1232921,11.86,11.85,29764,3590,-416038,12948
1,ABBV,2020-06-22,0 days 15:55:00.163932,1176466,97.18,97.16,765,803,33191,-67137
2,ABBV,2020-06-22,0 days 15:56:08.327379,1211767,97.16,97.15,100,1711,-6967,14061
3,ABBV,2020-06-22,0 days 15:56:09.329912,1208187,97.15,97.13,300,503,3580,-6967
4,ABBV,2020-06-22,0 days 15:56:13.339640,1211920,97.14,97.13,600,911,-4039,1361
5,ABBV,2020-06-22,0 days 15:56:14.342047,1209559,97.13,97.12,100,1040,2361,-4039
6,ABBV,2020-06-22,0 days 15:57:33.531537,1212574,97.28,97.26,572,500,-8987,813
7,ABBV,2020-06-22,0 days 15:57:34.534287,1211461,97.27,97.26,200,300,1113,-8987
8,ABBV,2020-06-22,0 days 15:57:37.541311,1212574,97.28,97.26,320,1800,-3687,12313
9,ABBV,2020-06-22,0 days 15:57:38.544592,1211461,97.28,97.27,300,300,1113,-3687
10,ABBV,2020-06-22,0 days 15:57:41.551106,1212574,97.28,97.27,200,1141,-11129,771
11,ABBV,2020-06-22,0 days 15:57:42.553430,1210814,97.27,97.26,400,1003,1760,-11129
12,ABBV,2020-06-22,0 days 15:57:53.579982,1212926,97.29,97.27,6319,2817,-7288,11712
13,ABBV,2020-06-22,0 days 15:57:55.584886,1204690,97.26,97.24,300,2326,8236,-3788
14,ABBV,2020-06-22,0 days 15:57:57.589662,1212926,97.26,97.24,1100,1205,-2564,1836
15,ABBV,2020-06-22,0 days 15:57:58.592545,1212590,97.26,97.24,1201,1005,336,-2564
16,ABBV,2020-06-22,0 days 15:58:00.597637,1212926,97.25,97.24,200,1606,-2164,336
17,ABBV,2020-06-22,0 days 15:58:01.601085,1214490,97.2,97.17,410,670,2636,-2164
18,ABBV,2020-06-22,0 days 15:58:03.604794,1217126,97.23,97.21,500,600,-3164,2636
19,ABBV,2020-06-22,0 days 15:58:04.607093,1214590,97.23,97.21,600,600,2536,-3164
20,ABBV,2020-06-22,0 days 15:59:01.745460,1221099,97.19,97.17,619,500,-9573,1131
21,ABBV,2020-06-22,0 days 15:59:02.748356,1219571,97.17,97.15,1087,1072,1528,-9573
22,ABBV,2020-06-22,0 days 15:59:04.754016,1222934,97.16,97.15,500,920,-23686,1661
23,ABBV,2020-06-22,0 days 15:59:13.776750,1238324,97.13,97.1,547,200,725,-11375
24,ABBV,2020-06-22,0 days 15:59:16.781637,1291240,97.16,97.14,200,541,-6953,725
25,ABBV,2020-06-22,0 days 15:59:17.784115,1286993,97.17,97.15,500,502,4247,-6953
26,ABBV,2020-06-22,0 days 15:59:22.796465,1291492,97.21,97.19,600,400,-4670,2596
27,ABBV,2020-06-22,0 days 15:59:23.798622,1287862,97.21,97.2,800,155,3630,-4670
28,ABBV,2020-06-22,0 days 15:59:54.875637,1295079,97.28,97.26,671,4403,-22380,3499
29,ABBV,2020-06-22,0 days 15:59:55.876679,1291662,97.23,97.2,600,317,3499,-22380
30,ABBV,2020-06-22,0 days 15:59:58.883221,1295079,97.29,97.27,2600,200,-23680,2769
31,ABBV,2020-06-22,0 days 15:59:59.887723,1292086,97.27,97.25,100,300,2993,-23680
32,ABEV,2020-06-22,0 days 15:59:36.599643,129936,2.72,2.71,617707,1179308,31942,-37558
33,ABEV,2020-06-22,0 days 15:59:37.601981,128977,2.72,2.71,547976,1136363,-959,31942
34,ABEV,2020-06-22,0 days 15:59:40.609522,129936,2.72,2.71,545910,1075591,1841,-959
35,ABEV,2020-06-22,0 days 15:59:41.611802,128177,2.72,2.71,564741,1055791,-1759,1841
36,ABEV,2020-06-22,0 days 15:59:44.619119,129936,2.72,2.71,555098,1068557,3441,-1759
37,ABEV,2020-06-22,0 days 15:59:45.621195,128477,2.72,2.71,558206,1057657,-1459,3441
38,ABEV,2020-06-22,0 days 15:59:46.623399,154436,2.72,2.71,552406,1044757,1907,-1459
39,ABT,2020-06-22,0 days 15:59:43.617860,567794,90.33,90.31,200,1802,-6098,338
40,ABT,2020-06-22,0 days 15:59:44.619087,566192,90.31,90.3,300,700,1602,-6098
41,ACB,2020-06-22,0 days 15:57:55.535434,13464,13.71,13.7,1796,1800,938,-662
42,ACB,2020-06-22,0 days 15:59:39.778188,16504,13.7,13.68,2798,500,-5260,940
43,ACB,2020-06-22,0 days 15:59:40.780351,15864,13.7,13.68,2798,500,640,-5260
44,ACC,2020-06-22,0 days 15:58:42.722254,102133,36.45,36.43,1062,142,5139,-2205
45,ACC,2020-06-22,0 days 15:58:43.725174,98156,36.45,36.43,300,1329,-3977,5139
46,ACC,2020-06-22,0 days 15:59:07.783325,102235,36.44,36.42,600,100,196,-904
47,ACC,2020-06-22,0 days 15:59:13.798837,101431,36.45,36.43,601,887,-804,196
48,ACC,2020-06-22,0 days 15:59:15.802402,102235,36.45,36.43,829,1054,424,-804
49,ACC,2020-06-22,0 days 15:59:48.881002,102885,36.43,36.41,900,600,274,-226
50,ACC,2020-06-22,0 days 15:59:50.887028,98359,36.43,36.41,1098,675,-4526,274
51,ACEL,2020-06-22,0 days 15:59:07.712297,81482,10.09,10.08,571,2134,4885,-2147
52,ACEL,2020-06-22,0 days 15:59:08.715175,74805,10.11,10.09,100,1622,-7348,4885
53,ACN,2020-06-22,0 days 15:56:13.247591,214463,202.37,202.35,100,882,2699,-1601
54,ACN,2020-06-22,0 days 15:56:14.249711,211462,202.45,202.42,125,865,-3250,2699
55,ACN,2020-06-22,0 days 15:56:36.302333,218279,202.53,202.5,200,330,1383,-3117
56,ACN,2020-06-22,0 days 15:56:37.304729,214762,202.55,202.52,300,589,-3517,1383
