,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-08-13,0 days 15:55:28.673464,105669,14.49,14.48,11760,10543,-1483,217
1,AA,2020-08-13,0 days 15:55:29.677310,103552,14.49,14.48,10360,12447,2117,-1483
2,AA,2020-08-13,0 days 15:56:55.883049,105671,14.49,14.48,14708,6553,-6,672
3,AA,2020-08-13,0 days 15:57:05.907136,105677,14.5,14.49,6717,13039,294,-6
4,AA,2020-08-13,0 days 15:57:11.921617,110115,14.5,14.49,9637,8490,-8034,1922
5,AA,2020-08-13,0 days 15:58:02.043614,102317,14.5,14.49,12449,7971,-32,1358
6,AA,2020-08-13,0 days 15:58:37.128288,95593,14.5,14.49,12803,12366,-5794,119
7,AA,2020-08-13,0 days 15:59:23.241195,101924,14.5,14.49,15410,12071,441,-1859
8,AA,2020-08-13,0 days 15:59:45.295052,106069,14.49,14.48,11734,14346,-2347,1345
9,AA,2020-08-13,0 days 15:59:46.296576,105716,14.49,14.48,21825,2573,1043,-2347
10,ABBV,2020-08-13,0 days 15:59:14.791463,374644,94.72,94.71,1210,442,-6708,6577
11,ABBV,2020-08-13,0 days 15:59:24.814437,396200,94.67,94.66,1133,3055,-1563,636
12,ABBV,2020-08-13,0 days 15:59:47.870668,388220,94.67,94.66,56,2534,-14642,62416
13,ABBV,2020-08-13,0 days 15:59:55.890128,388924,94.67,94.64,623,200,-14440,57210
14,ABEV,2020-08-13,0 days 15:59:22.718821,48219,2.48,2.47,637427,839492,-16435,4456
15,ABEV,2020-08-13,0 days 15:59:36.752680,64654,2.48,2.47,701566,930198,13965,-16435
16,ABEV,2020-08-13,0 days 15:59:37.755345,63819,2.48,2.47,712011,931698,-835,13965
17,ABT,2020-08-13,0 days 15:55:34.167849,226342,101.13,101.1,700,1676,-3063,2917
18,ABT,2020-08-13,0 days 15:55:35.169840,224405,101.13,101.1,700,1674,1937,-3063
19,ABT,2020-08-13,0 days 15:58:04.531106,249791,101.06,101.03,911,300,-4832,1859
20,ABT,2020-08-13,0 days 15:58:21.572021,253286,101.09,101.08,100,2053,-1887,1613
21,ABT,2020-08-13,0 days 15:58:50.642360,253773,101.08,101.07,200,714,2142,-1231
22,ABT,2020-08-13,0 days 15:58:51.644591,253115,101.09,101.07,103,614,-658,2142
