,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,ABBV,2020-03-31,0 days 15:59:58.261502,6879046,76.31,75.9,100,1200,-36854,25458
1,ABBV,2020-03-31,0 days 15:59:59.263616,6552994,76.31,75.9,100,660,330655,-36854
2,ABT,2020-03-31,0 days 15:50:08.861176,1301075,79.14,79.09,400,418,-712,488
3,ABT,2020-03-31,0 days 15:50:11.868775,1300587,79.1,79.05,300,100,488,-712
4,ABT,2020-03-31,0 days 15:50:59.982579,1301075,79.1,79.07,300,500,-899,301
5,ABT,2020-03-31,0 days 15:51:01.988927,1300774,79.07,79.04,1100,200,301,-899
6,ABT,2020-03-31,0 days 15:51:02.990264,1301075,79.07,79.03,200,600,-8799,301
7,ABT,2020-03-31,0 days 15:52:03.133766,1301201,79.07,79.05,500,195,-10425,111246
8,ABT,2020-03-31,0 days 15:52:06.142630,1190555,78.97,78.93,400,100,110646,-10425
9,ABT,2020-03-31,0 days 15:52:23.182695,1301201,79.01,79.0,200,600,-11025,110646
10,ABT,2020-03-31,0 days 15:52:25.188088,1190461,78.92,78.9,500,100,110940,-11025
11,ABT,2020-03-31,0 days 15:53:52.395726,1301201,79.01,79.0,600,500,-27023,94648
12,ABT,2020-03-31,0 days 15:53:56.405439,1206553,78.99,78.97,300,10700,94648,-27023
13,ABT,2020-03-31,0 days 15:53:59.412007,1301201,79.02,79.01,300,500,-27023,94648
14,ABT,2020-03-31,0 days 15:54:01.417492,1206553,78.99,78.97,302,7344,94648,-27023
15,ABT,2020-03-31,0 days 15:54:05.427034,1301201,79.01,78.98,1800,1200,-27023,94648
16,ABT,2020-03-31,0 days 15:54:48.529796,1207943,79.0,78.99,600,100,93258,-28413
17,ABT,2020-03-31,0 days 15:54:50.535683,1301201,79.02,79.0,200,300,-28413,93258
18,ABT,2020-03-31,0 days 15:55:34.639447,1210362,79.0,78.98,200,800,90839,-30958
19,ABT,2020-03-31,0 days 15:55:47.669746,1210362,78.97,78.96,300,100,90839,-30958
20,ABT,2020-03-31,0 days 15:55:48.671988,1301201,79.02,78.99,1200,900,-30832,90839
21,ABT,2020-03-31,0 days 15:56:00.701187,1301201,79.03,79.02,120,200,-30832,91039
22,ABT,2020-03-31,0 days 15:57:39.931261,1301401,78.95,78.94,510,200,-3565,15135
23,ABT,2020-03-31,0 days 15:59:55.234054,1302801,78.84,78.72,100,542,-1247,25851
24,AEP,2020-03-31,0 days 15:57:33.917509,1667967,79.65,79.58,400,100,11306,-3843
25,AEP,2020-03-31,0 days 15:57:38.929034,1650890,79.95,79.87,501,700,-17077,1072
26,AEP,2020-03-31,0 days 15:57:47.943183,1667967,79.9,79.86,205,300,572,-14177
27,AEP,2020-03-31,0 days 15:58:00.967340,1652179,79.93,79.89,100,900,-15788,3161
28,AEP,2020-03-31,0 days 15:58:10.988168,1667967,79.86,79.83,100,100,4661,-13688
29,AEP,2020-03-31,0 days 15:58:17.003175,1654279,79.92,79.86,400,400,-13688,3961
30,AEP,2020-03-31,0 days 15:58:20.011025,1667967,79.91,79.84,300,100,4461,-13688
31,AEP,2020-03-31,0 days 15:58:21.012277,1654279,79.93,79.86,100,300,-13688,4461
32,AEP,2020-03-31,0 days 15:58:22.014654,1667967,79.89,79.84,300,100,5161,-13688
33,AEP,2020-03-31,0 days 15:58:23.017297,1651879,79.93,79.89,100,1100,-16088,5161
34,AEP,2020-03-31,0 days 15:58:27.026542,1667967,79.89,79.85,200,500,4461,-16088
35,AEP,2020-03-31,0 days 15:59:16.144423,1654529,79.96,79.91,300,100,-13438,4611
36,AEP,2020-03-31,0 days 15:59:17.147381,1668067,79.91,79.82,100,300,5411,-13438
37,AEP,2020-03-31,0 days 15:59:21.156226,1657429,79.96,79.83,200,600,-10538,7711
38,AEP,2020-03-31,0 days 15:59:22.157721,1668067,79.96,79.84,200,400,4111,-10538
39,AEP,2020-03-31,0 days 15:59:23.160247,1651429,79.96,79.94,200,440,-16538,4111
40,AEP,2020-03-31,0 days 15:59:24.162017,1668067,79.94,79.84,200,700,5311,-16538
41,AEP,2020-03-31,0 days 15:59:32.182922,1653307,79.96,79.88,200,300,-14660,5311
42,AEP,2020-03-31,0 days 15:59:38.197374,1668067,79.88,79.8,100,100,7289,-8660
43,AEP,2020-03-31,0 days 15:59:55.234319,1661424,79.96,79.82,200,245,-6543,14006
44,ALL,2020-03-31,0 days 15:58:36.130278,529791,91.57,91.5,100,100,6699,-9875
45,ALL,2020-03-31,0 days 15:59:52.309670,534489,91.64,91.45,206,1002,-2602,13380
46,AM,2020-03-31,0 days 15:57:36.267527,366182,2.08,2.07,4600,3146,-93686,8240
47,AMT,2020-03-31,0 days 15:59:00.189725,1590278,217.43,217.35,501,298,32117,-2165
48,AMT,2020-03-31,0 days 15:59:34.268634,1584668,217.67,217.41,200,1325,-5610,52635
49,AMT,2020-03-31,0 days 15:59:35.272005,1590278,217.51,217.24,100,300,10835,-5610
50,AR,2020-03-31,0 days 15:54:59.630484,231042,0.72,0.71,14400,6300,74852,-161136
51,AXTA,2020-03-31,0 days 16:00:00.610306,1395853,17.27,17.26,4200,109960,2212,-30332
52,BAC,2020-03-31,0 days 15:57:33.258874,9338037,21.21,21.2,37832,62844,82654,-81006
53,BBY,2020-03-31,0 days 15:59:55.234054,843084,56.9,56.77,300,400,-659,18338
54,BLL,2020-03-31,0 days 15:57:31.914581,1429210,64.39,64.3,500,100,14582,-1594
55,BLL,2020-03-31,0 days 15:57:57.958625,1424585,64.56,64.5,500,1607,-4915,11661
56,BLL,2020-03-31,0 days 15:57:58.960687,1429500,64.56,64.49,400,532,15961,-4915
57,BLL,2020-03-31,0 days 15:58:08.983156,1424585,64.57,64.49,300,303,-4915,11561
58,BLL,2020-03-31,0 days 15:58:10.988168,1429500,64.57,64.49,600,703,12661,-4915
59,BLL,2020-03-31,0 days 15:59:26.167452,1429500,64.56,64.52,100,700,12579,-7997
60,BLL,2020-03-31,0 days 15:59:31.183102,1429500,64.56,64.53,100,800,12579,-4697
61,BLL,2020-03-31,0 days 15:59:34.188329,1422857,64.64,64.58,200,800,-6643,13433
62,BLL,2020-03-31,0 days 15:59:42.206557,1429500,64.54,64.53,841,594,13933,-2543
63,BMY,2020-03-31,0 days 15:59:57.272933,10138270,55.74,55.72,100,1707,-74746,7296
64,BMY,2020-03-31,0 days 15:59:59.277490,9944714,55.74,55.69,100,500,194037,-78046
65,BRK.B,2020-03-31,0 days 15:59:18.148363,1187293,182.71,182.66,400,100,-2880,65819
66,BRK.B,2020-03-31,0 days 15:59:22.157338,1189282,182.67,182.51,403,100,749,-296
67,BRK.B,2020-03-31,0 days 15:59:25.164732,1187570,182.58,182.51,300,596,-1754,749
68,BRK.B,2020-03-31,0 days 15:59:28.172198,1189282,182.53,182.5,100,100,749,-296
69,BRK.B,2020-03-31,0 days 15:59:51.228737,1190644,182.25,182.19,134,200,-14269,3303
70,BSX,2020-03-31,0 days 15:59:56.235502,1744975,32.64,32.61,2605,1200,-43117,31683
71,BUD,2020-03-31,0 days 15:50:17.877558,42082,43.96,43.95,700,400,-731,157
72,C,2020-03-31,0 days 15:57:33.258810,2992491,42.06,42.05,3741,2978,44362,-17970
73,C,2020-03-31,0 days 15:57:42.280177,2930147,42.21,42.2,2088,1555,-64844,3794
74,C,2020-03-31,0 days 15:57:46.289516,2994491,42.16,42.15,1221,2700,12394,-18238
75,C,2020-03-31,0 days 15:59:57.605244,2952559,42.2,42.19,400,2800,-42432,129774
