,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,ARMK,2020-05-14,0 days 15:59:54.250668,134683,23.37,23.31,189,600,26,-1153
1,ARMK,2020-05-14,0 days 15:59:55.252855,132530,23.37,23.31,289,2300,-2153,26
2,ARMK,2020-05-14,0 days 15:59:57.256334,134683,23.37,23.31,200,8108,26,-2153
3,BAC,2020-05-14,0 days 15:51:32.080213,4388775,21.69,21.68,27546,34805,4951,-1109
4,BE,2020-05-14,0 days 15:50:27.894330,38679,8.03,8.02,300,2000,5390,-6207
5,BLK,2020-05-14,0 days 15:50:05.845039,2755793,499.99,498.37,100,100,100184,-113801
6,BLK,2020-05-14,0 days 15:50:08.851478,2856007,499.1,498.87,200,200,-3650,91222
7,BLK,2020-05-14,0 days 15:50:09.854207,2764785,499.19,498.63,110,100,91222,-3650
8,BLK,2020-05-14,0 days 15:50:22.885483,2856007,499.56,499.02,440,100,-1350,89022
9,BLK,2020-05-14,0 days 15:50:24.889998,2766985,499.4,498.98,100,500,89022,-1350
10,BLK,2020-05-14,0 days 15:50:25.891976,2856007,499.38,499.18,200,100,-95850,89022
11,BLK,2020-05-14,0 days 15:50:29.902321,2766985,498.95,498.39,851,100,89022,-40850
12,BLK,2020-05-14,0 days 15:51:32.051253,2766985,499.18,498.51,100,200,90218,-91854
13,BLK,2020-05-14,0 days 15:51:39.067093,2857203,499.17,498.51,600,811,-2454,90218
14,BLK,2020-05-14,0 days 15:51:46.083090,2762585,499.06,498.71,1100,100,94618,-2454
15,BLK,2020-05-14,0 days 15:52:00.116995,2857203,499.08,498.72,200,100,-2454,90218
16,BLK,2020-05-14,0 days 15:52:27.183859,2758085,498.68,498.36,200,400,99118,-39654
17,BLK,2020-05-14,0 days 15:52:43.217511,2857203,499.33,498.78,100,100,-39654,94618
18,BLK,2020-05-14,0 days 15:53:55.390167,2824428,499.21,498.99,100,100,32775,-39654
