,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-10-14,0 days 15:55:52.240919,203579,13.03,13.02,9518,3204,97,-3
1,AA,2020-10-14,0 days 15:56:03.241091,203599,13.03,13.02,10289,1846,-80,20
2,AA,2020-10-14,0 days 15:56:19.241344,204720,13.04,13.03,6830,5805,779,-1121
3,AA,2020-10-14,0 days 15:56:24.241437,205499,13.05,13.04,3100,10894,-2421,739
4,AA,2020-10-14,0 days 15:58:18.242138,233908,13.06,13.05,9329,11967,-13727,673
5,AA,2020-10-14,0 days 15:59:15.244817,238412,13.04,13.03,8065,4400,-5251,1192
6,AA,2020-10-14,0 days 15:59:36.245467,242622,13.01,13.0,8724,2609,390,-3910
7,ABBV,2020-10-14,0 days 15:55:00.208993,350697,86.25,86.24,2445,479,-1287,20682
8,ABBV,2020-10-14,0 days 15:55:01.209032,348684,86.25,86.24,2367,1066,357,-1287
9,ABBV,2020-10-14,0 days 15:57:50.213965,388951,86.12,86.11,1201,895,5419,-4481
10,ABBV,2020-10-14,0 days 15:58:36.216771,406173,86.11,86.09,500,800,-17520,5398
11,ABBV,2020-10-14,0 days 15:59:20.218003,464187,86.05,86.03,547,400,-412,906
12,ABBV,2020-10-14,0 days 15:59:35.218924,472950,86.04,86.02,336,500,6196,-2787
13,ABBV,2020-10-14,0 days 15:59:36.219147,471546,86.05,86.04,200,200,-1404,6196
14,ABBV,2020-10-14,0 days 15:59:42.219123,474403,86.07,86.06,524,398,5239,-2192
15,ABBV,2020-10-14,0 days 15:59:43.219078,472488,86.07,86.06,249,500,-1915,5239
16,ABBV,2020-10-14,0 days 15:59:45.220052,474403,86.06,86.05,232,400,1422,-2148
17,ABBV,2020-10-14,0 days 15:59:55.219821,472924,86.04,86.0,100,557,1022,-2512
18,ABEV,2020-10-14,0 days 15:59:36.236862,250197,2.51,2.5,321862,1304049,-56777,96423
19,ABT,2020-10-14,0 days 15:56:00.229841,417332,107.62,107.6,469,470,2771,-2690
20,ABT,2020-10-14,0 days 15:56:01.229155,412203,107.62,107.61,300,100,-5129,2771
21,ABT,2020-10-14,0 days 15:59:20.235669,462485,107.63,107.59,500,600,46783,-893
22,ABT,2020-10-14,0 days 15:59:37.238102,521571,107.67,107.65,405,100,-4718,52831
23,ABT,2020-10-14,0 days 15:59:38.238605,519755,107.69,107.67,420,554,877,-4718
24,ABT,2020-10-14,0 days 15:59:39.236827,520655,107.72,107.7,500,500,-500,877
25,ABT,2020-10-14,0 days 15:59:42.238020,519459,107.68,107.64,500,200,2196,-204
26,ABT,2020-10-14,0 days 15:59:45.239901,521750,107.69,107.67,900,300,-8625,12117
27,ABT,2020-10-14,0 days 15:59:46.238269,519975,107.67,107.63,707,300,15704,-8625
28,ACB,2020-10-14,0 days 15:56:06.236290,9725,4.55,4.54,17279,16375,-370,202
29,ACB,2020-10-14,0 days 15:57:09.238167,10095,4.55,4.54,16455,17313,730,-370
30,ACB,2020-10-14,0 days 15:59:00.246415,11455,4.55,4.54,29133,9590,-4330,1260
31,ACB,2020-10-14,0 days 15:59:36.243988,16849,4.55,4.54,33901,1284,2647,-4442
32,ADM,2020-10-14,0 days 15:55:36.229942,176551,48.81,48.8,1808,1963,-11936,4864
33,ADM,2020-10-14,0 days 15:55:37.229748,174387,48.81,48.8,2508,1063,2164,-11936
34,ADM,2020-10-14,0 days 15:57:42.233494,186699,48.83,48.82,1122,4640,-40,3260
35,ADM,2020-10-14,0 days 15:57:46.233908,184239,48.83,48.82,512,5344,3760,-40
36,ADM,2020-10-14,0 days 15:59:24.240419,247569,48.86,48.85,1800,1274,-158,3699
37,ADM,2020-10-14,0 days 15:59:34.240812,251740,48.86,48.85,2727,206,-1097,7144
38,ADM,2020-10-14,0 days 15:59:44.240331,250398,48.86,48.85,5360,100,1342,-2258
39,ADM,2020-10-14,0 days 15:59:45.242985,251740,48.85,48.84,1615,2202,-230,1342
40,ADM,2020-10-14,0 days 15:59:46.240673,252470,48.84,48.83,2750,100,5467,-230
41,ADT,2020-10-14,0 days 15:55:37.228066,87378,8.11,8.1,13121,4783,311,-1255
42,ADT,2020-10-14,0 days 15:55:38.228103,84589,8.11,8.1,12386,4583,-2789,311
43,ADT,2020-10-14,0 days 15:55:46.228884,84851,8.1,8.09,10410,4804,-1836,2364
44,ADT,2020-10-14,0 days 15:55:47.229482,86687,8.1,8.09,10410,4804,1064,-1836
45,ADT,2020-10-14,0 days 15:55:48.228511,85151,8.1,8.09,10510,4804,-1536,1064
46,ADT,2020-10-14,0 days 15:58:21.233844,89311,8.1,8.09,8799,7335,1604,-2096
47,ADT,2020-10-14,0 days 15:58:22.233508,88215,8.1,8.09,9099,7335,-1096,1604
48,ADT,2020-10-14,0 days 15:58:36.235278,89311,8.1,8.09,8475,7939,1804,-396
49,ADT,2020-10-14,0 days 15:58:37.236128,88415,8.1,8.09,8475,7156,-896,1804
50,ADT,2020-10-14,0 days 15:58:59.235034,89311,8.1,8.09,4148,7956,750,-896
51,ADT,2020-10-14,0 days 15:59:00.239313,88661,8.1,8.09,4548,7456,-650,750
52,AEG,2020-10-14,0 days 15:59:36.243900,47702,2.82,2.81,350301,123403,-22814,26886
53,AEG,2020-10-14,0 days 15:59:37.245689,46316,2.82,2.81,350301,123403,1386,-22814
