,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,A,2020-02-03,0 days 15:56:03.318225,114554,82.21,82.19,1172,619,318,-1074
1,A,2020-02-03,0 days 15:56:04.320392,113872,82.21,82.2,723,503,-682,318
2,A,2020-02-03,0 days 15:56:29.380325,114070,82.16,82.15,700,497,-384,216
3,A,2020-02-03,0 days 15:56:51.433987,114754,82.17,82.15,384,1371,107,-609
4,A,2020-02-03,0 days 15:56:52.436307,114261,82.18,82.15,918,1476,-493,107
5,A,2020-02-03,0 days 15:57:21.507743,115426,82.15,82.13,1516,876,222,-905
6,A,2020-02-03,0 days 15:57:22.510343,114948,82.15,82.13,1616,662,-478,222
7,A,2020-02-03,0 days 15:57:36.544971,115426,82.14,82.13,1016,302,346,-369
8,A,2020-02-03,0 days 15:58:07.621518,130436,82.21,82.2,135,1000,-1718,292
9,A,2020-02-03,0 days 15:58:08.623019,129354,82.21,82.2,135,1104,282,-1718
10,A,2020-02-03,0 days 15:58:52.729437,131352,82.16,82.15,600,500,-6010,5190
11,A,2020-02-03,0 days 15:58:53.731768,126262,82.15,82.13,300,800,5090,-6010
12,A,2020-02-03,0 days 15:59:06.766264,139020,82.13,82.12,100,1700,-176,724
13,A,2020-02-03,0 days 15:59:32.828359,163420,82.16,82.14,700,300,-547,4353
14,A,2020-02-03,0 days 15:59:35.835366,163967,82.15,82.13,800,1225,3158,-347
15,A,2020-02-03,0 days 15:59:49.869956,160314,82.15,82.13,137,2088,-3946,3959
16,A,2020-02-03,0 days 15:59:57.886041,163614,82.15,82.14,300,1300,-646,2859
17,AA,2020-02-03,0 days 15:55:33.266828,237880,14.22,14.21,5352,5895,2475,-3525
18,AA,2020-02-03,0 days 15:55:34.268542,237455,14.22,14.21,6154,6395,-425,2475
19,AA,2020-02-03,0 days 15:57:21.527719,243325,14.21,14.2,13314,11646,2151,-773
20,AA,2020-02-03,0 days 15:57:22.529968,242776,14.21,14.2,13514,11846,-549,2151
21,AA,2020-02-03,0 days 15:57:39.571610,246999,14.22,14.21,2600,16014,1293,-3187
22,AA,2020-02-03,0 days 15:57:40.573994,246292,14.23,14.22,9812,7789,-707,1293
23,ABBV,2020-02-03,0 days 15:55:00.121111,777818,82.22,82.21,500,1471,9467,-295275
24,ABBV,2020-02-03,0 days 15:55:01.123885,765682,82.24,82.23,777,1400,-14153,9467
25,ABBV,2020-02-03,0 days 15:55:34.204399,779870,82.23,82.22,2199,300,7691,-181
26,ABBV,2020-02-03,0 days 15:55:35.207572,770361,82.23,82.22,2853,100,-9509,7691
27,ABBV,2020-02-03,0 days 15:56:09.289274,782167,82.24,82.23,3700,1306,649,-251
28,ABBV,2020-02-03,0 days 15:56:10.291686,776794,82.24,82.23,2500,1414,-5373,649
29,ABBV,2020-02-03,0 days 15:58:54.691047,805690,82.21,82.2,1400,924,662,-12348
30,ABBV,2020-02-03,0 days 15:58:55.692802,801552,82.21,82.2,1500,919,-3922,662
31,ABBV,2020-02-03,0 days 15:59:05.719783,830741,82.23,82.22,1300,1000,53823,-6890
32,ABBV,2020-02-03,0 days 15:59:10.730126,828524,82.25,82.24,1300,100,-7599,86
33,ABBV,2020-02-03,0 days 15:59:11.732973,836123,82.25,82.24,400,899,6912,-7599
34,ABBV,2020-02-03,0 days 15:59:12.735921,832435,82.24,82.23,233,1600,-3688,6912
35,ABBV,2020-02-03,0 days 15:59:15.742457,846630,82.25,82.24,366,2805,7505,-11195
36,ABBV,2020-02-03,0 days 15:59:16.745347,848635,82.25,82.24,399,3824,-1684,7505
37,ABEV,2020-02-03,0 days 15:59:36.681330,270056,4.13,4.12,774309,407533,-111744,131846
38,ABEV,2020-02-03,0 days 15:59:37.684119,263400,4.13,4.12,779309,394322,6656,-111744
39,ABR,2020-02-03,0 days 15:57:44.516271,25397,14.92,14.91,3450,2908,948,-552
40,ABR,2020-02-03,0 days 15:57:45.518684,24945,14.92,14.91,3425,2908,-452,948
41,ABR,2020-02-03,0 days 15:59:08.720324,25497,14.91,14.9,1484,6409,73,-493
42,ABR,2020-02-03,0 days 15:59:09.722455,24770,14.91,14.9,1141,6809,-527,73
43,ABT,2020-02-03,0 days 15:59:42.695985,935998,87.05,87.04,1478,300,-4036,1870
44,ABT,2020-02-03,0 days 15:59:43.697966,935900,87.04,87.03,699,117,698,-4036
45,ACB,2020-02-03,0 days 15:59:39.753112,83717,2.0,1.99,625744,600696,-8935,1965
46,ACB,2020-02-03,0 days 15:59:40.757393,82152,2.0,1.99,625744,591096,1565,-8935
47,ACM,2020-02-03,0 days 15:55:00.121085,380765,47.64,47.62,803,789,12513,-6736
48,ACM,2020-02-03,0 days 15:55:01.123859,378778,47.64,47.62,872,789,-1987,12513
49,ACM,2020-02-03,0 days 15:56:47.381318,382640,47.64,47.62,1010,615,82,-3795
50,ACM,2020-02-03,0 days 15:56:49.385637,380922,47.64,47.62,1114,989,-1718,82
51,ACM,2020-02-03,0 days 15:57:34.495426,385992,47.64,47.63,901,10,730,-3021
52,ACM,2020-02-03,0 days 15:57:35.497932,384322,47.64,47.63,801,416,-1670,730
53,ACM,2020-02-03,0 days 15:57:37.503238,385992,47.64,47.63,197,980,2530,-1270
54,ACM,2020-02-03,0 days 15:57:38.505445,384322,47.65,47.63,1300,971,-1670,2530
55,ACM,2020-02-03,0 days 15:57:39.507845,386084,47.65,47.63,1300,1026,2038,-1670
56,ACM,2020-02-03,0 days 15:57:40.510358,385122,47.64,47.63,956,756,-1105,2038
57,ACM,2020-02-03,0 days 15:57:48.530244,386323,47.63,47.62,768,565,2402,-1501
58,ACM,2020-02-03,0 days 15:58:04.570319,396356,47.64,47.63,1016,667,-464,3027
59,ACM,2020-02-03,0 days 15:59:07.723207,411795,47.64,47.63,682,1713,180,-2620
