,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,ABT,2020-04-01,0 days 15:59:50.220521,926108,76.68,76.62,700,800,-4980,9420
1,AIG,2020-04-01,0 days 15:51:34.057197,673400,21.51,21.5,400,1260,-46592,13074
2,AIG,2020-04-01,0 days 15:51:41.073292,660326,21.54,21.53,2406,1100,13074,-46592
3,AMT,2020-04-01,0 days 15:52:30.190381,306687,206.02,205.86,505,200,4939,-1215
4,AMT,2020-04-01,0 days 15:52:32.195053,304517,206.08,205.88,100,200,-1215,4939
5,ANH,2020-04-01,0 days 16:00:00.255095,120589,1.01,0.96,7100,100,1757,-44605
6,APTV,2020-04-01,0 days 15:59:14.179849,150564,45.83,45.79,910,392,-1008,44133
7,APTV,2020-04-01,0 days 15:59:30.212404,150564,45.84,45.81,100,1004,-1008,44133
8,APTV,2020-04-01,0 days 15:59:32.218750,106431,45.84,45.83,237,500,44133,-1008
9,BAC,2020-04-01,0 days 15:58:47.116994,4692864,19.82,19.81,44451,28060,-3511,200
10,BAM,2020-04-01,0 days 15:55:37.449996,16487,41.81,41.78,400,300,-1058,3646
11,BAM,2020-04-01,0 days 15:55:39.455274,22841,41.8,41.76,700,600,3646,-1058
12,BMY,2020-04-01,0 days 15:56:02.687270,1238985,55.0,54.99,2000,400,52002,-7071
13,BMY,2020-04-01,0 days 15:59:32.181696,1293149,54.83,54.82,1474,280,-309,1636
14,BMY,2020-04-01,0 days 15:59:34.185285,1249858,54.78,54.77,1098,300,44237,-309
15,BMY,2020-04-01,0 days 15:59:41.204482,1293149,54.84,54.83,600,200,-909,43637
16,BRO,2020-04-01,0 days 15:51:33.038230,174122,34.44,34.38,700,729,-317,83
17,BRO,2020-04-01,0 days 15:52:33.182212,174122,34.42,34.39,700,500,-317,83
18,BRO,2020-04-01,0 days 15:52:41.202919,174439,34.4,34.36,400,1100,83,-317
19,BRO,2020-04-01,0 days 15:52:48.219431,174122,34.46,34.45,200,623,-317,83
20,BRO,2020-04-01,0 days 15:53:03.259579,174439,34.4,34.36,300,600,83,-317
21,BRO,2020-04-01,0 days 15:58:34.038553,174122,34.45,34.42,1540,100,-317,83
22,BRO,2020-04-01,0 days 15:59:44.202673,174122,34.45,34.43,157,207,-317,83
23,BXMT,2020-04-01,0 days 15:55:16.592685,141196,17.03,17.0,700,700,-2777,27411
24,BXMT,2020-04-01,0 days 15:57:26.900554,141196,17.04,17.01,801,100,-2777,27411
25,BXMT,2020-04-01,0 days 15:57:35.919938,141196,16.99,16.96,300,1600,-2677,27611
26,BXMT,2020-04-01,0 days 15:57:50.955121,141196,16.92,16.89,200,200,-2677,27811
27,BXMT,2020-04-01,0 days 15:57:52.959640,113385,16.97,16.96,611,800,27811,-2677
