,Symbol,Timestamp,TIME,iPaired,Ask_P,Bid_P,Ask_S,Bid_S,iShares,PreviShares
0,AA,2020-06-19,0 days 15:59:07.895410,1019950,11.49,11.48,16689,26624,-18584,35514
1,AA,2020-06-19,0 days 15:59:08.898130,1004128,11.49,11.48,22545,21292,15822,-18584
2,AA,2020-06-19,0 days 15:59:18.915639,1020950,11.49,11.48,24622,6727,-76113,15821
3,AA,2020-06-19,0 days 15:59:19.918496,1011757,11.48,11.47,8271,32786,9193,-76113
4,AA,2020-06-19,0 days 15:59:40.968685,1034786,11.49,11.48,23817,9461,-3320,5253
5,AA,2020-06-19,0 days 15:59:42.973276,1033733,11.49,11.48,27465,7000,1053,-3320
6,ABBV,2020-06-19,0 days 15:59:18.824550,2513069,96.98,96.95,100,100,-8166,203818
7,ABBV,2020-06-19,0 days 15:59:19.827033,2520627,96.94,96.92,200,687,2742,-8166
8,ABM,2020-06-19,0 days 15:57:04.499658,160760,38.27,38.25,633,813,3133,-2569
9,ABM,2020-06-19,0 days 15:57:05.501474,159393,38.27,38.25,610,813,-1367,3133
10,ABM,2020-06-19,0 days 15:59:00.782557,160720,38.34,38.33,250,322,4317,-2639
11,ABM,2020-06-19,0 days 15:59:01.785613,150477,38.35,38.33,1112,233,-10243,4317
12,ABM,2020-06-19,0 days 15:59:04.790982,157595,38.34,38.32,1207,522,-3125,3235
13,ABM,2020-06-19,0 days 15:59:17.821568,160720,38.34,38.33,847,572,882,-695
14,ABM,2020-06-19,0 days 15:59:18.823673,160172,38.34,38.33,490,655,-548,882
15,ABM,2020-06-19,0 days 15:59:53.906013,160720,38.34,38.29,2880,500,622,-148
16,ABT,2020-06-19,0 days 15:59:18.758433,3279968,90.82,90.8,1300,1851,-89655,191599
17,ACB,2020-06-19,0 days 15:59:04.733047,28543,13.37,13.36,1408,700,-955,4845
18,ACB,2020-06-19,0 days 15:59:05.735085,27114,13.37,13.36,3516,580,1429,-955
19,AEE,2020-06-19,0 days 15:59:59.845055,890278,69.86,69.79,4000,13615,8339,-87073
20,AES,2020-06-19,0 days 15:59:56.867687,1995675,13.41,13.4,49535,700,-203169,44034
21,AES,2020-06-19,0 days 15:59:57.870881,2097644,13.33,13.32,8700,33241,44034,-203169
22,AES,2020-06-19,0 days 15:59:58.873223,2102478,13.35,13.34,17900,9644,-58622,44034
23,AFL,2020-06-19,0 days 15:55:00.144504,2795461,36.7,36.69,1700,2224,96988,-301388
24,AFL,2020-06-19,0 days 15:55:37.232015,2921210,36.67,36.66,1172,3304,-5548,69052
25,AFL,2020-06-19,0 days 15:55:38.234879,2906958,36.67,36.66,600,4204,5952,-5548
26,AFL,2020-06-19,0 days 15:56:19.332413,2934688,36.63,36.62,1982,1382,-53387,12837
27,AFL,2020-06-19,0 days 15:56:20.334836,2925255,36.63,36.62,1696,2200,8908,-53387
